outer_seed,arm,fit_contract_hash,initialization_seed,initialization_hash,train_ids_hash,validation_ids_hash,train_rows,validation_rows,best_epoch,epochs_run,best_validation_combined_normalized_rmse,checkpoint_sha256,prediction_sha256,prediction_rows,training_seconds,test_labels_used_for_fit_or_checkpoint_selection,test_graph_label_state,model_variant,parameter_count
1297,random_control_4,7260c1bb303aa09555e47bd497c13f11045f647c6a18614e0dea1aa0ae85e62d,2001300,45e3ab11c1bccc6c041e57d67b023c0042cb04b358c9749cae5d901dbdb7cdbe,3a8ea349e9ab6ae4664ca4e9698402439dfd8dc64d1a9436941cd6c1064d5aba,51680fe5fff722808e76cdef1ff0dfcb5b54d9fa94e140748633940deff34282,666,416,98,198,0.5245717853002064,03d3c114688c697798321ca36cddcee7ff7c047a8b72dc8c855cc1309d357d77,1d8d536b74b920c34b3447f6ea4539a135bfe92f46c5b362017d69a93864a183,417,317.8578034589882,0,zero_sentinel,qgeognn_v2,458952
4093,baseline_l0,6ac56d633de8e02f0ece37e7dc208b4870bcda4769449a967e8df28e095ec271,2004096,b23f0463c9aab9a9b0cc9b01e25b9a9864e56f46b5d9def5144c7646dc13e91f,eb041eee2085ab25f42c0ec5a3668df36ff342335d42151604564d14ff69b3e5,d12867335acd195b3346a1fad7a208ebdbaa902b886f68dec997abd7a54b9f14,333,416,110,210,0.6281825290423574,6821d45b11fe3dc77beef01fd81498182fb9da388a3e824e785bcd3b0d2b0445,fb21b5c2edf24624dfef40b875231f6f768fc3922a74662e38ca4f1bff7ff6cd,1166,306.5953619159991,0,zero_sentinel,qgeognn_v2,458952
4093,lcmd,cd7164d9bca707c28961e948eac09941bd3096ee559cf466c64422b4b158cc1e,2004096,b23f0463c9aab9a9b0cc9b01e25b9a9864e56f46b5d9def5144c7646dc13e91f,7fd11b091a9c6557d089c606458c0351f0cfa244553115548d3b8d2efdf6f67a,d12867335acd195b3346a1fad7a208ebdbaa902b886f68dec997abd7a54b9f14,666,416,119,219,0.3593648913265282,31fc15a616a3e9d9b800789a294ab0175e4bd121e6d8d94bf54ae9f15a96e278,bb355f4705d4f834cf72a37a06706f011059cb6e40d4aa068630a939cf1437ea,417,249.6529108750401,0,zero_sentinel,qgeognn_v2,458952
4093,random_control_0,c0521b86d0db5e5fd86d0813a1dfab9fcec6b8148943528e6c59d779fe280da2,2004096,b23f0463c9aab9a9b0cc9b01e25b9a9864e56f46b5d9def5144c7646dc13e91f,11ed9b41cf1ff7ff1acb99358b950c9ca1d167eb15789c1725edf5b872aa745e,d12867335acd195b3346a1fad7a208ebdbaa902b886f68dec997abd7a54b9f14,666,416,91,191,0.4732085115511502,9c72ae8d2cadaa13420f60806ec98e1ba478ecf4fa8a448f40779f09ba9fad30,7ec3c3d6989c723d1611270ebef38e09908c6f10be414b98aded05f3e4a84e01,417,307.8207275829627,0,zero_sentinel,qgeognn_v2,458952
4093,random_control_1,1357376ddc6e09a91fded3a943152a8eb824e118a47065d4fbe8f34df5807528,2004096,b23f0463c9aab9a9b0cc9b01e25b9a9864e56f46b5d9def5144c7646dc13e91f,51f99619c58e73f580c1370e9fc3b62e56fca08221387cc1d092f7568f7cb7d9,d12867335acd195b3346a1fad7a208ebdbaa902b886f68dec997abd7a54b9f14,666,416,62,162,0.4461091451272505,4676b6b5b6cd7ea4efa1a3d66c411fed4d4138381321f0ece0d4f5590f8ddf57,df5d1b85a211acc150428a3259cc257f05152b3fd2321d20c3ea20b38ea7a5d1,417,273.9112329999916,0,zero_sentinel,qgeognn_v2,458952
4093,random_control_2,7f2bce3ae683c01a69c8d2336c57a4e1aa4e5f88b73c39231ecdc6069da26416,2004096,b23f0463c9aab9a9b0cc9b01e25b9a9864e56f46b5d9def5144c7646dc13e91f,deae373c4671901d4edfb2ca6c0267299181a9b96fbfcded20cd615d59994852,d12867335acd195b3346a1fad7a208ebdbaa902b886f68dec997abd7a54b9f14,666,416,117,217,0.5027774544009698,a78cc81591df40443feb4bc9df2daa7165c9112a78a8dcd10f2f88224f24273c,8a8da0ce1f1d71736e3763412a1f8855f58190345a6249235bdcfe37b7bdb8c8,417,348.6665411249851,0,zero_sentinel,qgeognn_v2,458952
4093,random_control_3,7aa01bdfa50f0e2dd2186362e732d6c60861597ed9275b1914ededa05f0aa2d7,2004096,b23f0463c9aab9a9b0cc9b01e25b9a9864e56f46b5d9def5144c7646dc13e91f,7b4087bcff6e517a23125e482ec2f61a594d496c82d3b98c379fa1c79295df39,d12867335acd195b3346a1fad7a208ebdbaa902b886f68dec997abd7a54b9f14,666,416,147,247,0.4465662530649924,b6c4755cfbdadff1120c7136b4822b9bf6b313272dd59aa6b032293cbe7890bc,8cec87462a57b2e59e01e9c5eba902a4ccbd5c36c94787b4c4ee1aa2638d2d1c,417,390.868040958012,0,zero_sentinel,qgeognn_v2,458952
4093,random_control_4,d7d4de7f36e7cb66103e37ee17781cb8ef8c05a2850d8b83c2824dc6bcc12200,2004096,b23f0463c9aab9a9b0cc9b01e25b9a9864e56f46b5d9def5144c7646dc13e91f,3273b6335fcddb1b89e05bb1ccb6929f692aebfd7e2f3476aa5bdd8f61762552,d12867335acd195b3346a1fad7a208ebdbaa902b886f68dec997abd7a54b9f14,666,416,79,179,0.5298565947785185,7383d731a110ebb934c4d806c7a9991cb63c72893148ad13693c676bc275882b,fce5943dee6db02995c1e4057d27c074d2bc5a19e6d2df9bf339a1c740f68bbb,417,288.9072322080028,0,zero_sentinel,qgeognn_v2,458952
8191,baseline_l0,5712f082ff72ceec3368250451cf66a5ca57d2f819d515ebc55c8dd6ad519dc2,2008194,b9a8df7230992f1376964881b0ae2f70ff476e44e125e823fbfd0fac00bd96a0,1984269150c1565a6474f4d86053ea64a975e806feaa96aca5c84a7ee31e6828,747bd7cae8302f26f095a57caf9a9aa0918fa21f38fa4c8b1e566aef9eff08a1,333,416,35,135,0.7875349590310653,4ec6a0706ab60f1ac1f799056dc2bef73356f416f2b96f19c539d8a58203f5b5,057039b478c8b761eb1bd8c7128676e7a18063e2fd69206ba255c6d1f54dd87b,1166,172.94356475002132,0,zero_sentinel,qgeognn_v2,458952
8191,lcmd,ad56833dd7cbc68ceea0e99e9d8ab305fc9b3683b43e7007186e0ba52919abc1,2008194,b9a8df7230992f1376964881b0ae2f70ff476e44e125e823fbfd0fac00bd96a0,972c1d2d6209567612d9c93836efd961998a4f6b11a3368c8141df5f7c93fb02,747bd7cae8302f26f095a57caf9a9aa0918fa21f38fa4c8b1e566aef9eff08a1,666,416,181,281,0.422275310320179,6e3538148231fdbb361f5a22ef4131c3334b4bb28c8e17c78ff2d623a1e54646,f0775d80b1d757b91b03aaed090dcbc43e73da391e531de3d441630f2ee25c61,417,359.3872862079879,0,zero_sentinel,qgeognn_v2,458952
8191,random_control_0,b2b015209129bf4901b7292b3f5866cbeeea6b29d03a4b96dcc534af1a71da6a,2008194,b9a8df7230992f1376964881b0ae2f70ff476e44e125e823fbfd0fac00bd96a0,fa672af6750ef2d80f50b885eed9b094cb87defc684346cfe54a2d1f9737f317,747bd7cae8302f26f095a57caf9a9aa0918fa21f38fa4c8b1e566aef9eff08a1,666,416,57,157,0.60640252182645,d2deebbd333411dff73655a6f5e330ecc545c3acf766be85ee77a1e35accb5df,a55b62076daf909710dfbc08e9014af64952e712cb881825ef68b709a0e9e691,417,261.6240616670111,0,zero_sentinel,qgeognn_v2,458952
8191,random_control_1,bf5b48f161c72eba2ce0766a6c1e4a0ed6edac1992c371a78231f372107799f9,2008194,b9a8df7230992f1376964881b0ae2f70ff476e44e125e823fbfd0fac00bd96a0,56157656efb193a59e68eb3eb27b6516e4d817cb747a41d390671a5395d6e4cd,747bd7cae8302f26f095a57caf9a9aa0918fa21f38fa4c8b1e566aef9eff08a1,666,416,65,165,0.5426418361569519,fe42d1833481587095df0f6d3d97942a9ce1f208ad5c6b96f6e8f356b595bda6,1ab71fa21ee916c842dcdeb569b55a30756f8ff39c1ec969824c69d9e37bfdba,417,262.11301116697723,0,zero_sentinel,qgeognn_v2,458952
8191,random_control_2,129b927a9f758e850649683126b7767430cda9b4fa3eec9c76d5230f2610ef27,2008194,b9a8df7230992f1376964881b0ae2f70ff476e44e125e823fbfd0fac00bd96a0,e961f1a0582ad6de45bb6f1e8918e41daedfb0dbb62dc9d20cf67ce4f3421568,747bd7cae8302f26f095a57caf9a9aa0918fa21f38fa4c8b1e566aef9eff08a1,666,416,84,184,0.5896912789165876,996c6676eb5c9e8959146c009450a38992a7a0c8f94c7b31b532b328d1f26168,43edec159d9d458fd8f0cda912e4d24f2a3e11bad6ad3330e5b9b3b9428d2c7d,417,295.7012265829835,0,zero_sentinel,qgeognn_v2,458952
8191,random_control_3,b4d6d8a7910a3ca50f3ef2b7a80f0813caafd673a68a3b3e41fbe6875596f9e1,2008194,b9a8df7230992f1376964881b0ae2f70ff476e44e125e823fbfd0fac00bd96a0,f986b4e3922133e88bfcb1df056d50df6b2753031201175889001f15df74c80d,747bd7cae8302f26f095a57caf9a9aa0918fa21f38fa4c8b1e566aef9eff08a1,666,416,172,272,0.5522322747799568,a45bf19071cdf01414e56be1c0f92576c58461c8f0a0104f3ae2f031ed86e80a,2aeacb6fe20c4dffd1c1428427c2785939b3d2461578f1b9165e47e5603c3c9f,417,428.83730187499896,0,zero_sentinel,qgeognn_v2,458952
8191,random_control_4,6026670dec00e3d0eb9e1c963a54b4894496474c4a9900d641eaa19eb780dead,2008194,b9a8df7230992f1376964881b0ae2f70ff476e44e125e823fbfd0fac00bd96a0,aef19c8ccfa73479f9cdba260a54459550a1ed85eb14c93c2afa0ebc74602341,747bd7cae8302f26f095a57caf9a9aa0918fa21f38fa4c8b1e566aef9eff08a1,666,416,67,167,0.7195468422752335,b305d0f9120423db5bc37f818b2915838584964437e60712009768f1540d940a,fa342f4f23c01c4d3ff8ad066aaf4258770dcc57cadec681b502936fd7f0eb9a,417,253.6892444580444,0,zero_sentinel,qgeognn_v2,458952
