parameter_name,parameter_count,requires_grad,gradient_tensor_observed,ever_nonzero_elements,shape,outer_seed
backbone.convs_bond_angle.2.eps,1,True,True,1,1,311
backbone.convs_bond_angle.2.mlp.0.weight,16384,True,True,16384,128x128,311
backbone.convs_bond_angle.2.mlp.0.bias,128,True,True,128,128,311
backbone.convs_bond_angle.2.mlp.1.weight,128,True,True,128,128,311
backbone.convs_bond_angle.2.mlp.1.bias,128,True,True,128,128,311
backbone.convs_bond_angle.2.mlp.3.weight,16384,True,True,15686,128x128,311
backbone.convs_bond_angle.2.mlp.3.bias,128,True,True,124,128,311
backbone.convs_bond_angle.3.eps,1,True,True,1,1,311
backbone.convs_bond_angle.3.mlp.0.weight,16384,True,True,16384,128x128,311
backbone.convs_bond_angle.3.mlp.0.bias,128,True,True,128,128,311
backbone.convs_bond_angle.3.mlp.1.weight,128,True,True,128,128,311
backbone.convs_bond_angle.3.mlp.1.bias,128,True,True,128,128,311
backbone.convs_bond_angle.3.mlp.3.weight,16384,True,True,16033,128x128,311
backbone.convs_bond_angle.3.mlp.3.bias,128,True,True,127,128,311
backbone.convs_bond_float.0.linear_list.0.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.0.linear_list.0.bias,128,True,True,128,128,311
backbone.convs_bond_float.0.linear_list.1.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.0.linear_list.1.bias,128,True,True,128,128,311
backbone.convs_bond_float.0.linear_list.2.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.0.linear_list.2.bias,128,True,True,128,128,311
backbone.convs_bond_float.0.linear_list.3.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.0.linear_list.3.bias,128,True,True,128,128,311
backbone.convs_bond_float.0.linear_list.4.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.0.linear_list.4.bias,128,True,True,128,128,311
backbone.convs_bond_float.0.rbf_list.0.gamma,1,True,True,1,1,311
backbone.convs_bond_float.0.rbf_list.1.gamma,1,True,True,1,1,311
backbone.convs_bond_float.0.rbf_list.2.gamma,1,True,True,1,1,311
backbone.convs_bond_float.0.rbf_list.3.gamma,1,True,True,1,1,311
backbone.convs_bond_float.0.rbf_list.4.gamma,1,True,True,1,1,311
backbone.convs_bond_float.1.linear_list.0.weight,2560,True,True,2560,128x20,311
backbone.convs_bond_float.1.linear_list.0.bias,128,True,True,128,128,311
