column,protocol,method,seed,evaluation_split,best_epoch,epochs_run,selection,column_spec_flag,combined_normalized_rmse,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae
25g,legacy_filtered,paper_transfer,1101,valid,63,163,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.6614042877771951,0.6294485023882486,7.0880279541015625,5.051153182983398,0.7424393632663444,9.958373069763184,6.773750305175781
25g,legacy_filtered,paper_transfer,1101,test,63,163,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.5746919165084362,0.6460916144689887,6.151125431060791,4.49124002456665,0.8087499349183285,8.669482231140137,6.618520736694336
25g,legacy_filtered,direct,2025,valid,205,305,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,1.265560333263039,-1.87652696180659,17.16560173034668,13.650238037109375,0.6658974549724621,9.140554428100586,6.926665306091309
25g,legacy_filtered,direct,2025,test,205,305,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,1.121706522629113,-1.1532601928240287,14.950363159179688,11.811629295349121,0.5967593246542867,9.584651947021484,7.635365009307861
25g,legacy_filtered,paper_transfer,2025,valid,74,174,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.5125324362561593,0.6390116486921289,6.080949783325195,4.754601001739502,0.7957450189662084,7.146920680999756,5.284497261047363
25g,legacy_filtered,paper_transfer,2025,test,74,174,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.6227442828755656,0.5003595724733132,7.201654434204102,4.9122796058654785,0.6295828977003888,9.186280250549316,6.542796611785889
25g,legacy_filtered,direct,2026,valid,205,305,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.8636694232107095,0.32529353543050266,9.509344100952148,7.255742073059082,0.7027825538166088,13.090505599975586,10.020341873168945
25g,legacy_filtered,direct,2026,test,205,305,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.6945762420677672,-0.3154470411367496,8.738109588623047,5.8897881507873535,0.6101681917157649,7.672074317932129,5.007083892822266
25g,legacy_filtered,paper_transfer,2026,valid,120,220,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.7639161146595287,0.4036130043894264,8.940404891967773,5.965275764465332,0.813809146778236,10.360922813415527,7.478157043457031
25g,legacy_filtered,paper_transfer,2026,test,120,220,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.41874013426036283,0.6758987059667575,4.337316989898682,3.41145396232605,0.6861349244969802,6.884076118469238,4.846019268035889
40g,legacy_filtered,direct,42,valid,175,275,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.47734910513828316,0.6288047341556389,14.224102020263672,9.670425415039062,0.7828158995775352,16.503318786621094,12.11420726776123
40g,legacy_filtered,direct,42,test,175,275,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.6300784309471475,0.21747761126451237,19.063282012939453,13.52221393585205,0.483887424542748,21.303260803222656,15.106871604919434
40g,legacy_filtered,paper_transfer,42,valid,402,500,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.371367057875183,0.8103721141822969,10.166577339172363,6.204398155212402,0.8396398597100172,14.18095588684082,9.233648300170898
40g,legacy_filtered,paper_transfer,42,test,402,500,validation_only_minimum_combined_normalized_rmse,25G_AND_40G_SHARE_LEGACY_COLUMN_SPEC_VALUES,0.5345384350867465,0.43225914291333734,16.237693786621094,10.264881134033203,0.6330880812159021,17.962003707885742,12.870074272155762
