outer_seed,method_a,method_b,overlap_count,overlap_fraction,jaccard,comparison_to_raw_gradient_lcmd
8191,gradient_farthest_first,gradient_norm_topB,13,0.40625,0.2549019607843137,False
8191,gradient_farthest_first,direction_lcmd,1,0.03125,0.015873015873015872,False
8191,gradient_farthest_first,tempered_lcmd_alpha_0p5,4,0.125,0.06666666666666667,False
8191,gradient_farthest_first,output_whitened_lcmd,7,0.21875,0.12280701754385964,False
8191,gradient_farthest_first,center_width_lcmd,6,0.1875,0.10344827586206896,False
8191,raw_gradient_lcmd,gradient_norm_topB,6,0.1875,0.10344827586206896,True
8191,raw_gradient_lcmd,direction_lcmd,1,0.03125,0.015873015873015872,True
8191,raw_gradient_lcmd,tempered_lcmd_alpha_0p5,11,0.34375,0.20754716981132076,True
8191,raw_gradient_lcmd,output_whitened_lcmd,9,0.28125,0.16363636363636364,True
8191,raw_gradient_lcmd,center_width_lcmd,9,0.28125,0.16363636363636364,True
8191,gradient_norm_topB,direction_lcmd,0,0.0,0.0,False
8191,gradient_norm_topB,tempered_lcmd_alpha_0p5,0,0.0,0.0,False
8191,gradient_norm_topB,output_whitened_lcmd,4,0.125,0.06666666666666667,False
8191,gradient_norm_topB,center_width_lcmd,4,0.125,0.06666666666666667,False
8191,direction_lcmd,tempered_lcmd_alpha_0p5,5,0.15625,0.0847457627118644,False
8191,direction_lcmd,output_whitened_lcmd,2,0.0625,0.03225806451612903,False
8191,direction_lcmd,center_width_lcmd,1,0.03125,0.015873015873015872,False
8191,tempered_lcmd_alpha_0p5,output_whitened_lcmd,7,0.21875,0.12280701754385964,False
8191,tempered_lcmd_alpha_0p5,center_width_lcmd,5,0.15625,0.0847457627118644,False
8191,output_whitened_lcmd,center_width_lcmd,13,0.40625,0.2549019607843137,False
