outer_seed,method,selection_order,canonical_row_id,sample_id,canonical_index,compound_id,canonical_smiles,acquisition_space,raw_gradient_norm,transformed_feature_norm,nearest_l0_distance_own_space,nearest_l0_raw_gradient_distance,nearest_l0_latent_distance,nearest_l0_condition_distance,exact_model_input_hash,exact_X_duplicate_to_L0_or_earlier_batch,loading_solvent,eluent_EA_ratio,loading_amount_density_x_volume,loading_volume_ul,predicted_V1_q50,predicted_V2_q50,ensemble_uncertainty,ensemble_uncertainty_rank,ensemble_uncertainty_top_25pct
73,latent_farthest_first,21,91b6bda771851a5c78ac,91b6bda771851a5c78ac,1864,OCCc1cccc2ccccc12,OCCc1cccc2ccccc12,latent,352.201737575129,122.55695887207472,37.89826058564832,254.1085362766485,37.89826058564832,0.027803437469667673,405b756fe34445584bcd2a6d122490a22cea3500a04fe28a198548eaa691abf6,False,DCM,2/1,148.5,400.0,26.446462631225586,40.756446838378906,0.4894043938285169,107,True
73,latent_farthest_first,22,aef5cafc63ca445e92fa,aef5cafc63ca445e92fa,2065,O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1,O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1,latent,161.82400819911632,107.17399014582139,36.8583897376182,116.48294914792208,36.8583897376182,2.00597149069129,e88d022084451aadb921d6887787da1f52ae9afd2718fb9e6e012824e3d6274c,False,DCM,10/1,210.89999999999998,1000.0,10.33780574798584,33.577728271484375,0.47418905449050797,119,True
73,latent_farthest_first,23,634f21e11a8442494ce3,634f21e11a8442494ce3,4119,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1,latent,154.42436118859834,66.64217705034403,36.63994813703347,140.24565754862198,36.63994813703347,0.08155663677855897,ca47d278b7dc63351af6b03b19f927a072e4f73d800d054e4bfe2ed1b49cb0c0,False,DCM,10/1,116.5,300.0,1.5701512098312378,21.875537872314453,0.1903600889348382,662,True
73,latent_farthest_first,24,5e276c1730fc0a9deba7,5e276c1730fc0a9deba7,2067,O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1,O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1,latent,294.7931920916584,128.8550870613225,35.672238501356986,156.80739349874975,35.672238501356986,2.076819623436608,3fb1663ac0892291d60c0e94672beb039eb7091d7af44f8555dfa9507b5a6224,False,DCM,20/1,210.89999999999998,1000.0,14.175840377807617,42.050941467285156,0.6425969450678555,41,True
73,latent_farthest_first,25,fa851bcd2cdb1d84b91f,fa851bcd2cdb1d84b91f,3643,CC(=O)CC(=O)c1ccccc1,CC(=O)CC(=O)c1ccccc1,latent,361.10927057330883,204.80563655209127,35.427292883568164,233.72444544245786,35.427292883568164,0.0,c97bf5a21e2502d53711bcd3c5bccd9c3ed0b77ca02ac624fccc2dd55162144c,False,DCM,50/1,100.0,300.0,24.241302490234375,71.7762680053711,0.7110850028925646,26,True
73,latent_farthest_first,26,59b54ad3a60a52cc2b2c,59b54ad3a60a52cc2b2c,2151,N#Cc1ccc(C(=O)c2ccccc2)cc1,N#Cc1ccc(C(=O)c2ccccc2)cc1,latent,423.21848596174345,130.74453681540587,35.38173475448945,233.18745065161167,35.38173475448945,0.6813904020801559,78afe41882ea5a78fa42d9b5e0c7fa1ca87a95f1bdfdaa144877381c7e6054d6,False,DCM,20/1,150.0,400.0,17.75421714782715,45.27985382080078,0.38524738154708843,219,True
73,latent_farthest_first,27,16cee53cbe16b60fb395,16cee53cbe16b60fb395,2997,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1,latent,86.09703928883616,61.009689014385735,35.145317127362844,77.06861014725918,35.145317127362844,0.0,029b7a6ef311bf4d3c33bc488e8073bca45b477c187b8ddfe23641619dad883c,False,DCM,5/1,150.0,500.0,3.391375780105591,13.477926254272461,0.17387917279347329,764,False
73,latent_farthest_first,28,547923973b121019625f,547923973b121019625f,204,CCOC(=O)c1ccccc1N,CCOC(=O)c1ccccc1N,latent,494.13057798187725,225.24782206681394,47.14165885864496,325.5413381489927,47.14165885864496,0.10285453328464979,65b3f7b440e5019fa4b27d0bd96b5576bb7e79de150b3b098ba3a3a5a81504e0,False,PE,50/1,167.55,200.0,27.299213409423828,77.2615966796875,0.4630336308819541,122,True
73,latent_farthest_first,29,b7cf293311f83700cd9a,b7cf293311f83700cd9a,2566,OCc1ccc2ccccc2c1,OCc1ccc2ccccc2c1,latent,479.20623552708497,284.93756753657897,34.62537471212249,284.5031867851572,34.62537471212249,2.9802322387695312e-08,a080faed35652d2c4e5fa16c4fa48f2f40ee1cee2d9112d5b921e4474ded8d30,False,DCM,10/1,150.0,300.0,40.8138427734375,100.16529846191406,1.3247482652978657,2,True
73,latent_farthest_first,30,1395836aef00d6a880b0,1395836aef00d6a880b0,2153,N#Cc1ccc(C(=O)c2ccccc2)cc1,N#Cc1ccc(C(=O)c2ccccc2)cc1,latent,552.3368690728494,173.21686068670138,41.82009869487767,355.54608904226563,41.82009869487767,0.6813904020801559,26d4ca73bf2160f37036cfa2dbaefe9f3265347266289feeefac8a1e7b3e0456,False,DCM,50/1,150.0,400.0,25.750701904296875,57.27036666870117,0.6184677919178645,49,True
73,latent_farthest_first,31,488727f2d41859d1ac45,488727f2d41859d1ac45,1936,CC(=O)c1ccc([N+](=O)[O-])cc1,CC(=O)c1ccc([N+](=O)[O-])cc1,latent,444.0128477307539,146.0690444745666,46.29248436206072,232.5503094638237,46.29248436206072,0.5181922474630121,f8f10fc47ede3f21f7667d9763b5eec99bd326697e158dd1c1f5ececaf7d28f3,False,DCM,10/1,201.75,400.0,24.014585494995117,49.40719223022461,0.3992450247887241,197,True
73,latent_lcmd,0,857ae40d0fdf1c7e387e,857ae40d0fdf1c7e387e,3914,O=Cc1ccccc1[N+](=O)[O-],O=Cc1ccccc1[N+](=O)[O-],latent,360.36543872938637,156.43951445904702,49.95139880270155,184.0307881833328,49.95139880270155,0.0,306fa513544f076ac6c379699ba1222c55c24191ceda64e59ba2cee79f439255,False,DCM,20/1,150.0,300.0,23.301410675048828,52.43750762939453,0.20963946230080666,572,True
73,latent_lcmd,1,9e3f598e00375ec93d9b,9e3f598e00375ec93d9b,2691,C=C(C)C(=O)OCCOC(=O)CC(C)=O,C=C(C)C(=O)OCCOC(=O)CC(C)=O,latent,301.45961372630313,191.16147736415164,70.33037566412715,144.9412800016993,70.33037566412715,0.001853392799434362,5d139dd26a92920ce7585ba59207bec8939790ef4a9e1f82c4f86460b60b94e3,False,DCM,10/1,112.20000000000002,300.0,34.18829345703125,64.18283081054688,0.4540220260652145,133,True
