outer_seed,method,acquisition_space,batch_size,mean_raw_gradient_norm,median_raw_gradient_norm,mean_transformed_feature_norm,mean_nearest_l0_distance_own_space,mean_nearest_l0_raw_gradient_distance,mean_nearest_l0_latent_distance,mean_nearest_l0_condition_distance,unique_compounds,repeated_compound_fraction,exact_X_duplicate_rate,loading_solvent_counts_json,loading_solvent_PE_count,loading_solvent_EA_count,loading_solvent_DCM_count,eluent_EA_ratio_unique_count,eluent_EA_ratio_values_json,loading_amount_min,loading_amount_q25,loading_amount_median,loading_amount_q75,loading_amount_max,loading_volume_min,loading_volume_q25,loading_volume_median,loading_volume_q75,loading_volume_max,predicted_V1_q50_mean,predicted_V1_q50_std,predicted_V2_q50_mean,predicted_V2_q50_std,mean_ensemble_uncertainty,mean_ensemble_uncertainty_rank,fraction_in_uncertainty_top_25pct
1297,gradient_farthest_first,raw_gradient,32,395.911738819765,379.8158746116826,395.911738819765,241.51706698460237,241.51706698460237,34.81417636353589,0.20709060985744368,28,0.25,0.0,"{""DCM"": 27, ""PE"": 5}",5,0,27,6,"[""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",45.0,70.25,109.85000000000001,150.0,210.89999999999998,200.0,300.0,300.0,400.0,1000.0,22.846601009368896,7.05265619780169,47.99285268783569,16.358955718520402,0.5137848885787981,316.25,0.875
1297,raw_gradient_lcmd,raw_gradient,32,364.1209215046607,352.60940598040315,364.1209215046607,216.56476972760427,216.56476972760427,34.77291731156113,0.23518719886766848,28,0.25,0.0,"{""DCM"": 28, ""PE"": 4}",4,0,28,6,"[""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",48.75,50.45,72.55,120.375,210.89999999999998,200.0,300.0,300.0,425.0,1000.0,19.880603164434433,7.9613643504098235,45.05695432424545,17.82848140159197,0.5098908854162527,341.5,0.84375
1297,gradient_norm_topB,raw_gradient,32,509.83426502506325,491.67793644285086,509.83426502506325,234.95893807671143,234.95893807671143,39.27776637537964,0.24914709160762422,14,0.875,0.0625,"{""DCM"": 25, ""PE"": 7}",7,0,25,4,"[""10/1"", ""20/1"", ""5/1"", ""50/1""]",50.0,70.25,112.20000000000002,150.0,210.89999999999998,200.0,300.0,300.0,325.0,1000.0,28.36520743370056,6.192876636530596,57.66254425048828,12.68995692196556,0.5251430485751974,562.0625,0.6875
1297,direction_lcmd,direction_gradient,32,98.12899717234104,76.10594281921891,1.0,0.796437742436753,73.41266176748468,19.304638463668866,0.19739068750729877,31,0.0625,0.0,"{""DCM"": 23, ""PE"": 9}",9,0,23,7,"[""0/1"", ""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",44.2,70.475,144.075,150.825,278.25,200.0,300.0,300.0,300.0,900.0,7.182291358709335,2.8936559652524068,15.093380883336067,8.711607876828296,0.21391908120340342,1160.875,0.34375
1297,tempered_lcmd_alpha_0p5,tempered_gradient_alpha_0p5,32,289.5144545594092,253.93412166670447,16.572187233905073,10.338371525606458,181.95865729488463,31.421184506588176,0.32664343379042987,29,0.1875,0.0,"{""DCM"": 26, ""PE"": 6}",6,0,26,6,"[""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",48.75,53.6375,108.85,158.02499999999998,197.54999999999998,200.0,300.0,300.0,400.0,1500.0,15.553238108754158,7.64443980498713,36.975837618112564,18.24880488112519,0.465267847109315,383.4375,0.8125
1297,output_whitened_lcmd,output_whitened_gradient,32,308.6633119760562,292.6007367256183,335.40949424532596,226.46377220716613,196.55008846946293,32.970811342756484,0.20396110509026905,30,0.125,0.0,"{""DCM"": 26, ""PE"": 6}",6,0,26,6,"[""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",45.0,50.4625,100.0,142.64999999999998,173.70000000000002,200.0,300.0,300.0,400.0,1000.0,15.531047284603119,8.628512065406158,37.614885836839676,16.452708940996118,0.4112544612557026,447.09375,0.8125
1297,center_width_lcmd,center_width_gradient,32,309.2656125214671,296.60950031517245,343.78915382483177,215.50830331835098,193.0037167383967,34.24276073104582,0.34591328120253084,28,0.25,0.0,"{""DCM"": 27, ""PE"": 5}",5,0,27,6,"[""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",50.0,58.637499999999996,104.185,150.0,224.4,200.0,300.0,300.0,500.0,1000.0,15.431965500116348,8.105800540054222,38.942186295986176,17.086422035539627,0.48602391745327267,335.09375,0.90625
4093,latent_farthest_first,latent,32,305.1931397709526,307.18773775281204,158.23599905801564,47.4804217048964,181.81912710766562,47.4804217048964,0.5034351973543916,27,0.28125,0.0,"{""DCM"": 27, ""PE"": 5}",5,0,27,5,"[""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",48.75,70.25,115.44999999999999,150.825,224.4,200.0,300.0,300.0,400.0,2000.0,23.735961765050888,10.942099473477334,55.39740997552872,21.485302834102466,0.6195983453777396,216.71875,0.96875
4093,latent_lcmd,latent,32,305.5878843146936,295.3856740280446,132.1037803159579,42.649066351095136,189.2227794138775,42.649066351095136,0.49611544786647616,30,0.125,0.0,"{""DCM"": 23, ""EA"": 1, ""PE"": 8}",8,1,23,5,"[""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",48.75,115.225,150.0,166.6125,224.4,200.0,300.0,300.0,300.0,2000.0,18.77196630835533,10.622342483973298,46.06105798482895,19.962307239498358,0.5491027076413735,290.90625,0.9375
4093,gradient_farthest_first,raw_gradient,32,369.8732039784365,353.9222123757352,369.8732039784365,237.9743105344528,237.9743105344528,36.86773836386338,0.2454350870586022,27,0.28125,0.0,"{""DCM"": 26, ""EA"": 1, ""PE"": 5}",5,1,26,5,"[""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",40.0,52.0625,100.0,165.48749999999998,224.4,200.0,300.0,300.0,325.0,1000.0,19.955103278160095,10.740795790280421,47.397917330265045,22.932009808742194,0.6641308757486521,173.6875,1.0
4093,raw_gradient_lcmd,raw_gradient,32,324.7839083174787,327.96634901239634,324.7839083174787,211.36346835379615,211.36346835379615,35.21656723532777,0.28575542789001734,28,0.25,0.0,"{""DCM"": 23, ""EA"": 1, ""PE"": 8}",8,1,23,5,"[""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",45.0,57.3875,111.0,158.325,224.4,200.0,300.0,300.0,325.0,1000.0,19.10726910829544,10.128566589893776,43.17847490310669,20.23570306457473,0.5819062117355027,250.0,0.96875
4093,gradient_norm_topB,raw_gradient,32,526.1943764560904,498.43162076965416,526.1943764560904,146.5481058646641,146.5481058646641,27.7298534734061,0.21254111683381655,9,0.90625,0.15625,"{""DCM"": 16, ""PE"": 16}",16,0,16,4,"[""10/1"", ""100/1"", ""5/1"", ""50/1""]",40.0,54.85,105.5,158.25,183.45000000000002,200.0,200.0,250.0,300.0,500.0,27.11423933506012,11.514298512041453,56.52578413486481,26.744915126032797,0.48953980538180186,228.65625,1.0
4093,direction_lcmd,direction_gradient,32,80.9319436630858,62.52553106879683,1.0,0.8872065900169788,68.10766819397278,16.850908717339152,0.19893246018908528,30,0.09375,0.0,"{""DCM"": 24, ""PE"": 8}",8,0,24,7,"[""0/1"", ""1/1"", ""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",48.1,53.25,99.3,150.0375,225.9,200.0,300.0,300.0,325.0,700.0,5.557500928640366,2.64084198667616,13.372717276215553,5.8652720558158284,0.16804434618165892,1393.5,0.25
4093,tempered_lcmd_alpha_0p5,tempered_gradient_alpha_0p5,32,231.44374093349518,181.71549988166555,14.649198320553477,10.660805090605205,164.30826103682034,33.36222833706904,0.20696172917881028,30,0.125,0.0,"{""DCM"": 23, ""PE"": 9}",9,0,23,5,"[""10/1"", ""2/1"", ""20/1"", ""5/1"", ""50/1""]",45.0,54.175,100.0,117.39999999999999,255.0,200.0,300.0,300.0,300.0,1000.0,14.253428675234318,11.740151353671271,35.86052444577217,22.88765144042004,0.5382342370369432,364.46875,0.84375
