column,protocol,seed,method,regime,rows,train_q1,train_q2,V1_rmse,V1_mae,V2_rmse,V2_mae
25g,compound,1425370602,JOINT_HIER_LATENT_FULL128,low,21,25.754166666666666,36.660416666666656,3.29295951822709,2.7109445601101654,5.510105003208986,3.834214495321973
25g,compound,1425370602,JOINT_HIER_LATENT_FULL128,mid,38,25.754166666666666,36.660416666666656,5.8757278102992085,4.65584177776203,7.233514468350239,5.811855413113793
25g,compound,1425370602,JOINT_HIER_LATENT_FULL128,high,25,25.754166666666666,36.660416666666656,9.386295003072517,7.024872391245055,12.513345561949434,10.694716625469134
25g,compound,1425370602,JOINT_HIER_LATENT_PCA16,low,21,25.754166666666666,36.660416666666656,3.9601227464315385,3.0881154198661696,6.0547489163619215,4.088398616908846
25g,compound,1425370602,JOINT_HIER_LATENT_PCA16,mid,38,25.754166666666666,36.660416666666656,5.66464199660687,4.253354866452508,6.850257736382074,5.42236878291461
25g,compound,1425370602,JOINT_HIER_LATENT_PCA16,high,25,25.754166666666666,36.660416666666656,9.497532477330331,7.372754258951858,12.857543630109372,10.954262882081693
25g,compound,536279090,paper_style_current_v2,low,45,27.031249999999996,37.06666666666666,3.1130116208357905,2.648857644444444,7.165071044547106,5.442289955555556
25g,compound,536279090,paper_style_current_v2,mid,22,27.031249999999996,37.06666666666666,8.559333225988542,7.389679227272726,13.010021716103537,11.349438818181818
25g,compound,536279090,paper_style_current_v2,high,28,27.031249999999996,37.06666666666666,10.372044733309258,7.259449857142857,9.76379308655976,7.677422000000001
25g,compound,536279090,M3_CENTER_WIDTH_FULL,low,45,27.031249999999996,37.06666666666666,2.3008028513365195,1.94387316978445,5.186624167294725,3.9731363856436555
25g,compound,536279090,M3_CENTER_WIDTH_FULL,mid,22,27.031249999999996,37.06666666666666,5.302952231665163,4.36404169572686,9.71863384903643,8.30277388920369
25g,compound,536279090,M3_CENTER_WIDTH_FULL,high,28,27.031249999999996,37.06666666666666,9.24250555468162,6.889568494092544,9.244692008715013,8.061281794676978
25g,compound,536279090,HIER_CW_25G_40G,low,45,27.031249999999996,37.06666666666666,2.260902004991513,1.903185726338866,5.071444397546512,3.8832884176503417
25g,compound,536279090,HIER_CW_25G_40G,mid,22,27.031249999999996,37.06666666666666,5.39858744442275,4.452765742237959,9.71069361228091,8.308664152795394
25g,compound,536279090,HIER_CW_25G_40G,high,28,27.031249999999996,37.06666666666666,9.23342498851025,6.893762438997544,9.292090860941048,8.11797081294808
25g,compound,536279090,HIER_CW_V2,low,45,27.031249999999996,37.06666666666666,2.3114716158740825,1.9862775298381352,3.9628733743416373,3.2164463280639386
25g,compound,536279090,HIER_CW_V2,mid,22,27.031249999999996,37.06666666666666,5.6988853180990855,4.6910944831451795,7.628491117936818,6.576218987328502
25g,compound,536279090,HIER_CW_V2,high,28,27.031249999999996,37.06666666666666,9.214495066705968,6.988604518452468,10.478121744785456,8.395696219907641
25g,compound,536279090,DIRECT_LATENT_RIDGE,low,45,27.031249999999996,37.06666666666666,2.8445519754629385,2.4900689821162554,4.537288455142622,3.8297580832549296
25g,compound,536279090,DIRECT_LATENT_RIDGE,mid,22,27.031249999999996,37.06666666666666,9.610149822068992,8.57583757280108,12.202981788207124,10.49104622618271
25g,compound,536279090,DIRECT_LATENT_RIDGE,high,28,27.031249999999996,37.06666666666666,10.287027870911245,7.75716641883144,10.930153161312479,8.93299516739292
25g,compound,536279090,DIRECT_LATENT_PLS,low,45,27.031249999999996,37.06666666666666,3.06277273270666,2.6795215652867177,4.930643087153658,4.134727988024045
25g,compound,536279090,DIRECT_LATENT_PLS,mid,22,27.031249999999996,37.06666666666666,8.755246311749369,7.850675104533301,11.381230362164342,9.765692935055505
25g,compound,536279090,DIRECT_LATENT_PLS,high,28,27.031249999999996,37.06666666666666,10.88766335560352,8.170886816605796,11.019217376773689,9.37530733506926
25g,compound,536279090,JOINT_HIER_LATENT_FULL128,low,45,27.031249999999996,37.06666666666666,2.9285742436706887,2.5128905744247194,3.4707010420905173,2.905281734994868
25g,compound,536279090,JOINT_HIER_LATENT_FULL128,mid,22,27.031249999999996,37.06666666666666,6.284025591823034,5.689647268873525,8.450721483922516,7.612433065547521
25g,compound,536279090,JOINT_HIER_LATENT_FULL128,high,28,27.031249999999996,37.06666666666666,9.54624797300213,6.929223002873536,10.194322009131483,8.495351902518875
25g,compound,536279090,JOINT_HIER_LATENT_PCA16,low,45,27.031249999999996,37.06666666666666,2.3258169339261103,1.9647233824477108,3.6413395649637996,3.002068297226907
25g,compound,536279090,JOINT_HIER_LATENT_PCA16,mid,22,27.031249999999996,37.06666666666666,5.701218810782775,4.7543025609445415,7.664468552724569,6.645967883279654
25g,compound,536279090,JOINT_HIER_LATENT_PCA16,high,28,27.031249999999996,37.06666666666666,9.259020952463988,6.900790937411748,10.376944240243906,8.348240164167388
25g,compound,2767143051,paper_style_current_v2,low,20,25.88125,35.71875,4.4126320408814825,4.06866215,4.37561417435791,3.6832423499999996
25g,compound,2767143051,paper_style_current_v2,mid,22,25.88125,35.71875,5.910684727824892,4.804315227272727,9.006802472459595,7.571106090909091
25g,compound,2767143051,paper_style_current_v2,high,26,25.88125,35.71875,11.410635563262906,9.759380230769231,15.182308690992397,13.213401076923077
25g,compound,2767143051,M3_CENTER_WIDTH_FULL,low,20,25.88125,35.71875,2.3215496787819476,1.787896776911778,5.0525209888595715,3.8512897326594233
25g,compound,2767143051,M3_CENTER_WIDTH_FULL,mid,22,25.88125,35.71875,3.391126467636931,2.8829318726841544,5.572924004519447,4.427127821965081
25g,compound,2767143051,M3_CENTER_WIDTH_FULL,high,26,25.88125,35.71875,9.473048418998957,7.578728863156785,12.835806862541373,10.231486754591801
25g,compound,2767143051,HIER_CW_25G_40G,low,20,25.88125,35.71875,2.231043151785331,1.8775315754386988,4.149585262881453,3.1077467066795514
25g,compound,2767143051,HIER_CW_25G_40G,mid,22,25.88125,35.71875,3.3429097289452625,2.6381317819140553,5.688959578709463,4.596591438005314
25g,compound,2767143051,HIER_CW_25G_40G,high,26,25.88125,35.71875,8.96402406112277,7.348699736310593,11.602060531809832,9.290223727406733
25g,compound,2767143051,HIER_CW_V2,low,20,25.88125,35.71875,2.077097897012268,1.6594980559846975,3.0691708390401193,2.447861867471309
25g,compound,2767143051,HIER_CW_V2,mid,22,25.88125,35.71875,3.383969466054339,2.6623022141449684,6.2532711767610545,5.022712510425804
25g,compound,2767143051,HIER_CW_V2,high,26,25.88125,35.71875,8.923899991643271,7.539608189930537,14.27622924423581,12.190905732980982
25g,compound,2767143051,DIRECT_LATENT_RIDGE,low,20,25.88125,35.71875,2.639696914787997,2.0662670506902394,4.530404013670754,3.5697970814892677
25g,compound,2767143051,DIRECT_LATENT_RIDGE,mid,22,25.88125,35.71875,4.515800016502756,3.8579144301045103,6.318701493813279,5.025656328209397
25g,compound,2767143051,DIRECT_LATENT_RIDGE,high,26,25.88125,35.71875,7.5129740405628365,5.916409096917774,9.970229916466069,7.641413468217033
25g,compound,2767143051,DIRECT_LATENT_PLS,low,20,25.88125,35.71875,2.9251372829447115,2.2038839068442444,4.84532821037371,3.7103071706840156
25g,compound,2767143051,DIRECT_LATENT_PLS,mid,22,25.88125,35.71875,4.695172063615988,3.853955816013961,6.720698358337421,5.711690145398186
25g,compound,2767143051,DIRECT_LATENT_PLS,high,26,25.88125,35.71875,8.285772997750614,6.440395518332881,9.957465079799329,7.92557286224395
25g,compound,2767143051,JOINT_HIER_LATENT_FULL128,low,20,25.88125,35.71875,2.889584987579597,2.067042406950473,2.805522904129944,2.3566242259917685
25g,compound,2767143051,JOINT_HIER_LATENT_FULL128,mid,22,25.88125,35.71875,3.727175695285056,3.049029160706331,7.119125600550712,5.884383339261296
25g,compound,2767143051,JOINT_HIER_LATENT_FULL128,high,26,25.88125,35.71875,8.526116220099363,6.865571927637817,13.845087714097755,11.35196566188022
25g,compound,2767143051,JOINT_HIER_LATENT_PCA16,low,20,25.88125,35.71875,2.175592420775201,1.8197317559391646,2.8554741266047428,2.170343618470357
25g,compound,2767143051,JOINT_HIER_LATENT_PCA16,mid,22,25.88125,35.71875,3.3075150934121518,2.6321758809836697,6.304771004205553,5.068570049252099
25g,compound,2767143051,JOINT_HIER_LATENT_PCA16,high,26,25.88125,35.71875,8.82055369478622,7.308976724218435,14.219808683682656,12.041030147346492
25g,compound,1362771960,paper_style_current_v2,low,24,25.7875,35.84791666666666,4.066835334131695,3.4562962291666666,4.914456673583463,4.273322625
25g,compound,1362771960,paper_style_current_v2,mid,34,25.7875,35.84791666666666,4.224068250840182,3.3137911470588235,8.724723966422715,6.849549970588234
25g,compound,1362771960,paper_style_current_v2,high,33,25.7875,35.84791666666666,12.720549064910331,10.424632181818183,17.809567806572375,15.104314363636362
25g,compound,1362771960,M3_CENTER_WIDTH_FULL,low,24,25.7875,35.84791666666666,3.302771358164316,2.7044490443914095,5.1415291454234096,4.287606410785176
25g,compound,1362771960,M3_CENTER_WIDTH_FULL,mid,34,25.7875,35.84791666666666,4.029758724571922,3.052153188865496,7.054386113570576,6.00702672275609
25g,compound,1362771960,M3_CENTER_WIDTH_FULL,high,33,25.7875,35.84791666666666,10.16475515061208,7.873901317105492,13.739780531083802,10.705577261857
25g,compound,1362771960,HIER_CW_25G_40G,low,24,25.7875,35.84791666666666,3.5653146993270206,2.843747082724116,5.828851077384361,4.629164534657779
25g,compound,1362771960,HIER_CW_25G_40G,mid,34,25.7875,35.84791666666666,4.278797094240518,3.088902245695427,6.878448515503141,6.076025143947115
25g,compound,1362771960,HIER_CW_25G_40G,high,33,25.7875,35.84791666666666,9.572523656778124,7.408604192846038,12.135549195055523,9.799634798288006
25g,compound,1362771960,HIER_CW_V2,low,24,25.7875,35.84791666666666,3.4155869415447904,2.7499102257729944,4.384929566447407,3.420054251108698
25g,compound,1362771960,HIER_CW_V2,mid,34,25.7875,35.84791666666666,4.22425045345706,3.168395106059786,6.104161754084255,5.140374380607546
25g,compound,1362771960,HIER_CW_V2,high,33,25.7875,35.84791666666666,9.487610269175466,7.42582201130402,14.935219755871357,12.135873998153352
25g,compound,1362771960,DIRECT_LATENT_RIDGE,low,24,25.7875,35.84791666666666,3.6917132248233253,3.048699603525782,5.872424716396992,4.557663430652544
25g,compound,1362771960,DIRECT_LATENT_RIDGE,mid,34,25.7875,35.84791666666666,6.484854428275162,5.434208726158721,8.732196701252587,7.249361928699741
25g,compound,1362771960,DIRECT_LATENT_RIDGE,high,33,25.7875,35.84791666666666,9.128465871648844,7.2249020270092155,11.414703643128737,9.051562985429044
25g,compound,1362771960,DIRECT_LATENT_PLS,low,24,25.7875,35.84791666666666,3.9890803242205806,3.257305883999171,6.0309181133586645,4.658021442263497
25g,compound,1362771960,DIRECT_LATENT_PLS,mid,34,25.7875,35.84791666666666,6.539483850290438,5.346136165686277,9.395128940942142,7.90108362876568
25g,compound,1362771960,DIRECT_LATENT_PLS,high,33,25.7875,35.84791666666666,9.037618820673831,7.463689911707959,11.611950498270446,9.387911328399783
25g,compound,1362771960,JOINT_HIER_LATENT_FULL128,low,24,25.7875,35.84791666666666,3.489029189751171,2.8098456702243393,4.318543750255452,3.409831802025767
25g,compound,1362771960,JOINT_HIER_LATENT_FULL128,mid,34,25.7875,35.84791666666666,4.513780685359945,3.604005083417587,7.074070577754852,5.818588537164704
25g,compound,1362771960,JOINT_HIER_LATENT_FULL128,high,33,25.7875,35.84791666666666,9.124460611795508,7.0603783023097035,14.623297381671371,11.90868665691574
25g,compound,1362771960,JOINT_HIER_LATENT_PCA16,low,24,25.7875,35.84791666666666,3.3681384214433763,2.7767347500934125,4.345902689447623,3.2934616166425053
25g,compound,1362771960,JOINT_HIER_LATENT_PCA16,mid,34,25.7875,35.84791666666666,4.23455196796435,3.1582633694445414,6.268721143820774,5.201298897416755
25g,compound,1362771960,JOINT_HIER_LATENT_PCA16,high,33,25.7875,35.84791666666666,9.42128789560481,7.298443824907165,15.015768647458982,12.203960235883173
25g,row,769539383,paper_style_current_v2,low,20,25.745833333333334,36.05416666666667,1.9957440263935529,1.4498727500000002,3.9574128559947273,2.8620857499999994
25g,row,769539383,paper_style_current_v2,mid,32,25.745833333333334,36.05416666666667,7.0245761645771365,4.14842478125,7.542944340039846,5.46416934375
25g,row,769539383,paper_style_current_v2,high,31,25.745833333333334,36.05416666666667,9.02807738216174,6.9539000322580655,12.541985358959954,10.363799903225809
25g,row,769539383,M3_CENTER_WIDTH_FULL,low,20,25.745833333333334,36.05416666666667,1.649688828107225,1.4097396367027133,4.313526347956996,3.3799666662877357
25g,row,769539383,M3_CENTER_WIDTH_FULL,mid,32,25.745833333333334,36.05416666666667,7.023608572577279,4.284145519322413,8.4130403819643,6.402993682867413
25g,row,769539383,M3_CENTER_WIDTH_FULL,high,31,25.745833333333334,36.05416666666667,9.305839165006462,7.7093262116898105,12.402227113505997,9.260807026670397
25g,row,769539383,HIER_CW_25G_40G,low,20,25.745833333333334,36.05416666666667,1.9036701696409901,1.484679815915637,4.19547330073187,3.2957463725934404
25g,row,769539383,HIER_CW_25G_40G,mid,32,25.745833333333334,36.05416666666667,7.231316134056855,4.188123512132057,8.67585024034615,6.480075923955775
25g,row,769539383,HIER_CW_25G_40G,high,31,25.745833333333334,36.05416666666667,9.225246303286102,7.539789593837848,12.399792372560999,9.558808285475187
25g,row,769539383,HIER_CW_V2,low,20,25.745833333333334,36.05416666666667,1.9778422069065953,1.4870707623131105,3.6518428320187857,2.825428394707011
25g,row,769539383,HIER_CW_V2,mid,32,25.745833333333334,36.05416666666667,7.448364738544981,4.243079060797052,7.354825607948739,5.867964750151387
25g,row,769539383,HIER_CW_V2,high,31,25.745833333333334,36.05416666666667,9.34506100845043,7.630912772035095,14.183300122554511,11.155254265154841
25g,row,769539383,DIRECT_LATENT_RIDGE,low,20,25.745833333333334,36.05416666666667,2.888433932191891,2.0990342682572662,5.40553435590442,4.271729563591109
25g,row,769539383,DIRECT_LATENT_RIDGE,mid,32,25.745833333333334,36.05416666666667,9.751565897241992,5.970638526521601,8.619793313279304,6.293186401572072
25g,row,769539383,DIRECT_LATENT_RIDGE,high,31,25.745833333333334,36.05416666666667,8.509459669096742,6.359932403048099,11.595913309453755,9.714119226048636
25g,row,769539383,DIRECT_LATENT_PLS,low,20,25.745833333333334,36.05416666666667,3.0844498540186507,2.4608916540688393,5.6914835779664,4.607925214135763
25g,row,769539383,DIRECT_LATENT_PLS,mid,32,25.745833333333334,36.05416666666667,9.82208808682235,6.1635310550516245,9.026707013889572,6.756333465423138
25g,row,769539383,DIRECT_LATENT_PLS,high,31,25.745833333333334,36.05416666666667,9.83581293549703,7.371587476544874,12.858157820895629,10.614503477571892
25g,row,769539383,JOINT_HIER_LATENT_FULL128,low,20,25.745833333333334,36.05416666666667,2.944023320075172,2.3539600964684526,4.273474404592756,3.331120752896078
25g,row,769539383,JOINT_HIER_LATENT_FULL128,mid,32,25.745833333333334,36.05416666666667,7.682231113190981,4.41273064089005,7.646010657569623,6.303240587957546
25g,row,769539383,JOINT_HIER_LATENT_FULL128,high,31,25.745833333333334,36.05416666666667,9.730496754414101,7.600827088878511,14.38054991713065,11.379651172419662
25g,row,769539383,JOINT_HIER_LATENT_PCA16,low,20,25.745833333333334,36.05416666666667,2.16955718339923,1.7227968295811127,3.6628734979532758,2.809712314806155
25g,row,769539383,JOINT_HIER_LATENT_PCA16,mid,32,25.745833333333334,36.05416666666667,7.447242855736875,4.227227231648149,7.281203900185079,5.831438943907628
25g,row,769539383,JOINT_HIER_LATENT_PCA16,high,31,25.745833333333334,36.05416666666667,9.47604328338604,7.649130912593136,14.26413742249123,11.182337722408063
25g,row,1425370602,paper_style_current_v2,low,20,25.875,36.96041666666667,13.367496205973879,4.8790242500000005,20.6719288100207,7.443044300000001
25g,row,1425370602,paper_style_current_v2,mid,31,25.875,36.96041666666667,5.491017901807533,4.019840677419356,9.631608642317865,7.164371516129029
25g,row,1425370602,paper_style_current_v2,high,23,25.875,36.96041666666667,6.31031571829239,4.657945826086957,11.028098776538826,8.350057304347827
25g,row,1425370602,M3_CENTER_WIDTH_FULL,low,20,25.875,36.96041666666667,17.160788725768974,5.058355265838563,21.322093483280476,7.908017236288861
25g,row,1425370602,M3_CENTER_WIDTH_FULL,mid,31,25.875,36.96041666666667,6.121412512273724,4.585351877545154,10.268020306312932,7.818147847741125
25g,row,1425370602,M3_CENTER_WIDTH_FULL,high,23,25.875,36.96041666666667,4.599958924540226,3.622971260643336,8.985280563244775,6.727468259994224
25g,row,1425370602,HIER_CW_25G_40G,low,20,25.875,36.96041666666667,17.94097255418994,5.349278970400956,22.406132658984816,8.347350166102702
25g,row,1425370602,HIER_CW_25G_40G,mid,31,25.875,36.96041666666667,6.281156063090285,4.6296685392260795,11.258887883491672,8.347843574449238
25g,row,1425370602,HIER_CW_25G_40G,high,23,25.875,36.96041666666667,4.840531666638159,3.742024692027196,9.075431355766886,6.98221326326753
25g,row,1425370602,HIER_CW_V2,low,20,25.875,36.96041666666667,17.102462439238174,5.128598715667402,20.027224799357096,7.301020886249849
25g,row,1425370602,HIER_CW_V2,mid,31,25.875,36.96041666666667,6.2691468878352135,4.688128157667835,9.527113365280487,7.344672412409825
25g,row,1425370602,HIER_CW_V2,high,23,25.875,36.96041666666667,4.70460647409634,3.71883770434941,9.24621639604786,7.620139458389392
25g,row,1425370602,DIRECT_LATENT_RIDGE,low,20,25.875,36.96041666666667,18.595057700077533,5.8280199622523154,24.69382535010396,8.064186270374602
25g,row,1425370602,DIRECT_LATENT_RIDGE,mid,31,25.875,36.96041666666667,6.587789702983628,5.301114388093214,9.485317444241511,7.448513666200007
25g,row,1425370602,DIRECT_LATENT_RIDGE,high,23,25.875,36.96041666666667,8.826435270623046,7.013684682126218,12.081664527204188,9.115549450644483
25g,row,1425370602,DIRECT_LATENT_PLS,low,20,25.875,36.96041666666667,18.501217310386828,6.375885027444505,24.75275051651387,8.838762847380476
25g,row,1425370602,DIRECT_LATENT_PLS,mid,31,25.875,36.96041666666667,6.948482709792442,5.5428935480767185,9.967644994567523,7.823595033159474
25g,row,1425370602,DIRECT_LATENT_PLS,high,23,25.875,36.96041666666667,8.74569487119244,6.985105429724717,12.457029553658854,9.559355736073687
25g,row,1425370602,JOINT_HIER_LATENT_FULL128,low,20,25.875,36.96041666666667,17.677617915588346,5.651905796267772,20.84270003516816,7.348080096958354
25g,row,1425370602,JOINT_HIER_LATENT_FULL128,mid,31,25.875,36.96041666666667,6.310501376881736,4.814740831069742,9.839796440636382,7.810046626200888
25g,row,1425370602,JOINT_HIER_LATENT_FULL128,high,23,25.875,36.96041666666667,5.473886030513627,4.255537011748382,8.924180864908822,7.317558298945449
25g,row,1425370602,JOINT_HIER_LATENT_PCA16,low,20,25.875,36.96041666666667,17.34013616937562,5.341662332259946,20.233651248403586,7.245864208790333
25g,row,1425370602,JOINT_HIER_LATENT_PCA16,mid,31,25.875,36.96041666666667,6.098268999310558,4.5110294296065305,9.372988540328064,7.284956215499814
25g,row,1425370602,JOINT_HIER_LATENT_PCA16,high,23,25.875,36.96041666666667,4.811583987880327,3.724098940725647,9.15038355701164,7.514138925721303
25g,row,536279090,paper_style_current_v2,low,28,26.297916666666666,37.045833333333334,11.29343804117001,4.235963375,18.207935923984962,6.226382714285713
25g,row,536279090,paper_style_current_v2,mid,26,26.297916666666666,37.045833333333334,6.98251718057233,4.117581538461538,6.909951687729815,5.606069884615384
25g,row,536279090,paper_style_current_v2,high,20,26.297916666666666,37.045833333333334,8.071371238186106,6.30210995,13.403735346352917,10.05151225
25g,row,536279090,M3_CENTER_WIDTH_FULL,low,28,26.297916666666666,37.045833333333334,15.000153403807243,5.535483018554038,20.328255285694933,8.224229958935554
25g,row,536279090,M3_CENTER_WIDTH_FULL,mid,26,26.297916666666666,37.045833333333334,7.333077893390321,4.287687371124002,9.163372518607444,7.354709274363344
25g,row,536279090,M3_CENTER_WIDTH_FULL,high,20,26.297916666666666,37.045833333333334,7.853530420655597,6.7091062463076785,12.487087582997018,10.517982719145065
25g,row,536279090,HIER_CW_25G_40G,low,28,26.297916666666666,37.045833333333334,15.143004735884636,4.882156590688638,18.721623362901404,6.864817101160055
25g,row,536279090,HIER_CW_25G_40G,mid,26,26.297916666666666,37.045833333333334,7.891915576357335,4.665217534764087,8.317235740724582,6.960394956283479
25g,row,536279090,HIER_CW_25G_40G,high,20,26.297916666666666,37.045833333333334,7.400334602092842,6.24284285326451,12.600315211540575,10.886907538200408
25g,row,536279090,HIER_CW_V2,low,28,26.297916666666666,37.045833333333334,14.332562887495815,4.698431254262852,16.57719800712767,5.939709126948373
25g,row,536279090,HIER_CW_V2,mid,26,26.297916666666666,37.045833333333334,7.810424867778919,4.517282367044602,7.258486160779244,6.0582843790705505
25g,row,536279090,HIER_CW_V2,high,20,26.297916666666666,37.045833333333334,7.419466677711352,6.2838448338701225,14.245811637213233,11.723859908970184
25g,row,536279090,DIRECT_LATENT_RIDGE,low,28,26.297916666666666,37.045833333333334,15.026123133886825,5.13536608908961,19.24855016991702,7.0284059808792305
25g,row,536279090,DIRECT_LATENT_RIDGE,mid,26,26.297916666666666,37.045833333333334,10.019678341369577,6.12936039948949,8.613969499072713,6.607929407524264
25g,row,536279090,DIRECT_LATENT_RIDGE,high,20,26.297916666666666,37.045833333333334,7.7808286257345065,6.65170713156611,12.081674140082205,10.225265707429251
