outer_seed,strategy,round,query_rank,sample_id,canonical_smiles
42,coverage,4,25,0ac58929e586a4da4056,O=Cc1ccccc1[N+](=O)[O-]
42,coverage,5,1,6553b9607d6093f257c7,CC1(C)OB(c2ccc(F)cc2)OC1(C)C
42,coverage,5,2,419f6eb4080dcb9d293b,O=C(Cc1ccccc1F)C1CC1
42,coverage,5,3,b213664a8c509420288b,FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1
42,coverage,5,4,1ab945e238082f589bc3,COC(=O)[C@H](O)c1ccccc1
42,coverage,5,5,51f4126a3aadb3239225,Cc1cccc(C)n1
42,coverage,5,6,aa0f0e8128794bdd469d,CC(=O)c1ccc2c(c1)Cc1ccccc1-2
42,coverage,5,7,c82167c626a1495ef750,COc1ccccc1C(C)=O
42,coverage,5,8,af0f017d8214d08aa24f,Ic1ccc(I)cc1
42,coverage,5,9,d05a91dc8e32e9edd7d0,Cc1ccc(CO)cc1
42,coverage,5,10,09236f36e11ff0bb70fe,CCCCCCCCCCCCc1cc(Br)sc1Br
42,coverage,5,11,0634486d18ed767b5150,C/C(=N\O)c1ccccc1
42,coverage,5,12,1b4be0410f927930d56e,Oc1ccc(OC(F)(F)F)cc1
42,coverage,5,13,7c0c324643799c918828,OCc1ccc2ccccc2c1
42,coverage,5,14,61b73b8065ae2ece22eb,Cc1ccnc2ccccc12
42,coverage,5,15,9aadc8feed825d13a5d7,Brc1cc2ccccc2c2ccccc12
42,coverage,5,16,67b03e9099ef99d26eb1,COC(=O)[C@H](O)c1ccccc1
42,coverage,5,17,7b42519983cf93dd7efd,COC(=O)C(=O)c1ccccc1
42,coverage,5,18,67fa39740fcf946a3154,COC(=O)Cc1cccc2ccccc12
42,coverage,5,19,0dccaa29989ef4956786,CC(=O)Oc1ccc(C=O)cc1
42,coverage,5,20,7bd4e959319ef8b7b0fe,CCOC(=O)/C=C/c1ccccc1
42,coverage,5,21,c6bd64a77e94e93e5018,O=Cc1ccccc1[N+](=O)[O-]
42,coverage,5,22,3da92f4c69a3c88d3585,CCOC(=O)C(Br)C(=O)OCC
42,coverage,5,23,0007449b058916cdcad1,Brc1ccc2c(c1)OCO2
42,coverage,5,24,6b8fefaf0647d2239858,CC(C)c1ccccc1O
42,coverage,5,25,fd11ee7c408d95a1a8e6,O=C(Cc1ccccc1F)C1CC1
42,coverage,6,1,b0571346163b8f77528d,CSc1ccc(C=O)cc1
42,coverage,6,2,87feacbcbae05abe90a8,C(=C/c1ccccc1)\c1ccccc1
42,coverage,6,3,45a1b11ae63f2dab2e48,OCCCc1ccccc1
42,coverage,6,4,c6e28d5262ab7fb32107,O=[P+](Oc1ccccc1)Oc1ccccc1
42,coverage,6,5,61da71e94577a4d66028,Brc1cc2ccccc2c2ccccc12
42,coverage,6,6,56151359aadfa5411fc6,Cc1ccnc2ccccc12
42,coverage,6,7,25b1f8000dd22874bb29,COC(=O)c1ccc(CBr)cc1
42,coverage,6,8,8ba04fd976f536e8340b,Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1
42,coverage,6,9,2cfa393cb79664e100ce,COCCOC(=O)CC(C)=O
42,coverage,6,10,c698067a7f9c576a34a2,Cc1ccccc1C#N
42,coverage,6,11,c3feac62808af7335473,Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1
42,coverage,6,12,2dbfdf9c2d5defd09f7a,C=C(C)C(=O)OCCOC(=O)CC(C)=O
42,coverage,6,13,0054790b9c9f40026ebe,C1=Cc2ccccc2C1
42,coverage,6,14,97297c71a28a2ccbdeeb,C=CC(=O)OCCN(CC)CC
42,coverage,6,15,fd1d673cc647d6745303,COC(=O)CS
42,coverage,6,16,408ce1a4e23492a3ef31,COc1ccc(C=O)c(O)c1
42,coverage,6,17,53ceb391785085223695,OCc1ccc2ccccc2c1
42,coverage,6,18,20acd2ae49790ab82053,O=C(CC(=O)C(F)(F)F)c1ccc2ccccc2c1
42,coverage,6,19,534afc6bd39a8f7923d8,Oc1ccc(OC(F)(F)F)cc1
42,coverage,6,20,0a79a24271d119590ae6,O=Cc1ccc([N+](=O)[O-])cc1
42,coverage,6,21,0aa824ae2e557bdaf840,Brc1ccccc1-c1ccccc1
42,coverage,6,22,be66ef4a8fe93b0cc2bb,FC(F)(F)Oc1ccc(I)c(Br)c1
42,coverage,6,23,61764a2e9f71f1caa18e,O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1
42,coverage,6,24,2cc254396123c76b9a13,COc1ccc(C=O)cc1
42,coverage,6,25,b4351e5f05f6d477a6c0,C=CC(=O)OCCOc1ccccc1
42,coverage,7,1,143bf510fe2028583763,COCCOC(=O)CC(C)=O
42,coverage,7,2,73502a52708e4f9c2391,OCCCc1ccccc1
42,coverage,7,3,4c46ceefd6147b1e0a7a,CSc1ccc(C=O)cc1
42,coverage,7,4,483022b02f8329c323ac,O=C(CC(=O)C(F)(F)F)c1ccc2ccccc2c1
42,coverage,7,5,fc452a2ea628a6c49dee,C=CC(=O)OCCOC
42,coverage,7,6,5dd7416efdd0bd156d61,COc1ccc(CCO)cc1
42,coverage,7,7,8f5452ff0e84ab2e2057,OCc1cccc(Br)c1
42,coverage,7,8,7eb97a2a0856e78a4b76,CC(C)(O)CCc1ccccc1
42,coverage,7,9,b6229f0445560a4a54ed,Cc1ccnc2ccccc12
42,coverage,7,10,b7953b4cf8c561ff4cfe,COCCOC(=O)CC(C)=O
