strategy,outer_seed,round,labeled_total,train_labeled,validation_labeled,V1_mae,V1_rmse,V1_r2,V2_mae,V2_rmse,V2_r2,nrmse,test_rows
ensemble,42,6,525,468,57,2.5615107876414376,5.229477698511215,0.5878339272641098,5.021903556811152,9.521880459357693,0.6433604990937086,0.7311620495066045,417
ensemble,42,7,550,493,57,2.767535121782214,5.42258278948423,0.5568324094499066,6.044920158424308,10.272138773641815,0.5849449049295083,0.7718480350874496,417
ensemble,42,8,575,518,57,2.803073903306901,5.016266192028136,0.6207577112923938,5.936063823802821,10.065302498525565,0.6014914380682441,0.7333378056284268,417
hybrid,42,0,375,318,57,2.982326768152552,5.919407965231733,0.47190487944720194,6.327665472122966,11.108082806193407,0.5146419794827917,0.8389539105408669,417
hybrid,42,1,400,343,57,2.663830228015769,5.415789445361629,0.5579421035748714,5.338896555843398,10.144063025961719,0.5952304152239264,0.7669256672447389,417
hybrid,42,2,425,368,57,2.5265901661776806,5.057959395691484,0.6144272909485606,4.778281090410112,9.426417745404292,0.650475713336968,0.7146258899232755,417
hybrid,42,3,450,393,57,2.3110742446005963,4.769555987052335,0.657144191230792,4.459033950962704,8.967788474846973,0.6836595665337628,0.6765857114741931,417
hybrid,42,4,475,418,57,2.2841090559940356,4.754480478345989,0.6593081482726054,4.2923332404480465,8.863327644196405,0.6909863945382873,0.6718338916124351,417
hybrid,42,5,500,443,57,2.0007707170864566,3.983795788973844,0.760806294904268,3.5716866073105265,7.215518118791161,0.7952051473939874,0.5556844247942183,417
hybrid,42,6,525,468,57,1.8963227721655682,3.8215075306748703,0.7798974626553358,3.504188503704482,6.967353124106159,0.8090500107946018,0.5346190262404746,417
hybrid,42,7,550,493,57,1.8597320623954328,3.8022841258891313,0.7821062654339259,3.4412468106264495,7.047223020983142,0.8046470270223967,0.5358752045802238,417
hybrid,42,8,575,518,57,1.7276531625651628,3.5953138627397583,0.8051819337573669,3.0824437152014834,6.122630751426392,0.852544787127186,0.48813200219520986,417
random,42,0,375,318,57,2.982326768152552,5.919407965231733,0.47190487944720194,6.327665472122966,11.108082806193407,0.5146419794827917,0.8389539105408669,417
random,42,1,400,343,57,2.872642977119155,5.673292879334324,0.5149058713495713,5.852855047929682,10.40809089865647,0.5738856631832454,0.7958959687995845,417
random,42,2,425,368,57,2.694496221316519,5.558949903435293,0.534262583095582,5.240415125358209,10.068752118194306,0.6012182344471148,0.7754065409057407,417
random,42,3,450,393,57,2.7838874662960715,5.5009943520980995,0.5439231717280057,5.507947919759839,10.128618799370699,0.5964619916365601,0.772981892255397,417
random,42,4,475,418,57,2.786421071917039,5.376940367597057,0.5642613840017545,5.361755865462716,9.870393590007804,0.6167757920544368,0.7545266649332695,417
random,42,5,500,443,57,2.717763940075764,5.088768456434661,0.609715781349086,4.961015008111686,9.263017954451486,0.6624881657110764,0.711397464432845,417
random,42,6,525,468,57,2.706963885624238,5.0852615181707685,0.6102535267974637,4.872219626751247,9.333593930308458,0.6573254915846389,0.7135494615011231,417
random,42,7,550,493,57,2.6651620543267387,5.038304989798689,0.6174180143226333,5.094713979952758,9.678819327176724,0.6315074095297296,0.7217722910740682,417
random,42,8,575,518,57,2.5923069337959332,4.955337895170787,0.6299144258249801,4.885715300146339,9.173868340623232,0.6689535007771987,0.6980222948315482,417
coverage,525,0,375,318,57,2.78588517742096,5.846113774760613,0.5827488910062244,5.2099831414318,11.319992916644019,0.6510330777057968,0.6457772944722866,417
coverage,525,1,400,343,57,2.75195710837833,5.586055556319022,0.6190451783870106,4.966218826330538,10.107963266706264,0.7217601932707832,0.5972589164413157,417
coverage,525,2,425,368,57,2.3773958506610846,5.0891609305295065,0.6838047495103563,4.1635989721406474,8.760568296639226,0.790995078634705,0.5316085489169384,417
coverage,525,3,450,393,57,2.3167753045488415,4.673337848604558,0.733364893421337,4.045965241524432,8.206850260819323,0.8165807251786553,0.4927001063624965,417
coverage,525,4,475,418,57,2.220942935295623,4.602903946318524,0.7413414745051128,3.848080757249364,7.9486759218620735,0.8279393599202317,0.4815174667711327,417
coverage,525,5,500,443,57,2.2693042850303806,4.610030036245866,0.7405399584408742,3.9139669187882733,8.056163514191175,0.8232544460652994,0.4849219058396824,417
