column,protocol,seed,budget,actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,all_outputs_finite,normalized_rmse
25g,row,1425370602,100,100,additive_EA_control,0.7640116991367033,21.400545122667634,11.351774796306524,0.8080123099700546,30.947879170961823,18.469340873658133,2.3539333661359043,True,2.320479975193966
25g,row,1425370602,100,100,conditional_policy,0.7736400947808559,20.95942437208477,10.849950551715963,0.8194863280367128,30.008842990401085,18.103931764796673,2.2977792602512896,True,2.2632836429664795
25g,row,1425370602,100,100,additive_policy,0.7640116991367033,21.400545122667634,11.351774796306524,0.8080123099700546,30.947879170961823,18.469340873658133,2.3539333661359043,True,2.320479975193966
25g,row,2767143051,30,30,scale_only,0.7629807553489067,17.73053293441029,10.005062695700508,0.7922515097950362,26.726642314431864,14.756008852933997,1.978261106080659,True,1.956315242075701
25g,row,2767143051,30,30,affine,0.7751996579996573,17.267460392421686,8.94787040636393,0.8141778894456644,25.276920212457807,13.470870355138135,1.907133095871004,True,1.8818429843724789
25g,row,2767143051,30,30,local_identity_shrinkage,0.7676033531165501,17.556781874439697,10.010790375261207,0.7845823893710012,27.21548421131086,18.428769416251313,1.9786752939236805,True,1.960493559513516
25g,row,2767143051,30,30,target_head_only,0.4144215197097133,27.86907400539124,15.251752658163262,0.2901803839115732,49.402560862365675,28.92222391836735,3.313030145731636,True,3.3049015793307457
25g,row,2767143051,30,30,conditional_EA,0.7848024575588355,16.894628187905766,9.443992416066981,0.830508952899427,24.140643617805594,13.818085610257054,1.8509343214631864,True,1.8228454401761796
25g,row,2767143051,30,30,additive_EA_control,0.7825022434491133,16.984680256965596,9.241832127240487,0.782357721508708,27.3556535740773,18.59938994548117,1.9418593359801444,True,1.9285505710449458
25g,row,2767143051,30,30,conditional_policy,0.7848024575588355,16.894628187905766,9.443992416066981,0.830508952899427,24.140643617805594,13.818085610257054,1.8509343214631864,True,1.8228454401761796
25g,row,2767143051,30,30,additive_policy,0.7825022434491133,16.984680256965596,9.241832127240487,0.782357721508708,27.3556535740773,18.59938994548117,1.9418593359801444,True,1.9285505710449458
25g,row,2767143051,50,50,scale_only,0.7615276539830754,17.784800455605538,9.5916152218942,0.7930688138749766,26.674017816207567,14.916348858948183,1.980808212105181,True,1.9581220725378947
25g,row,2767143051,50,50,affine,0.7763812835118391,17.222018836656925,8.570347342671006,0.8138365619991785,25.300124524065506,13.872176510569764,1.9044175074431047,True,1.8796811959148152
25g,row,2767143051,50,50,local_identity_shrinkage,0.7696669036719459,17.478660932381747,9.654839641570682,0.7619182980299849,28.61135807249503,20.244249786771174,2.0109379299727164,True,1.9989498940794292
25g,row,2767143051,50,50,target_head_only,0.4140627073894253,27.877611064110358,15.018080224489799,0.28612342222618137,49.5435394484286,28.67485030612245,3.3176779886709133,True,3.309827908573186
25g,row,2767143051,50,50,conditional_EA,0.7958937343480863,16.45349460536611,8.553784905260153,0.8273696501115388,24.363183638400507,14.177522084748892,1.8243829062707109,True,1.801774798566687
25g,row,2767143051,50,50,additive_EA_control,0.7826947994940747,16.97716011723728,9.012899322552121,0.7607821622672231,28.67954411673424,20.346885473128662,1.9779475958572155,True,1.9692480725646242
25g,row,2767143051,50,50,conditional_policy,0.7958937343480863,16.45349460536611,8.553784905260153,0.8273696501115388,24.363183638400507,14.177522084748892,1.8243829062707109,True,1.801774798566687
25g,row,2767143051,50,50,additive_policy,0.7826947994940747,16.97716011723728,9.012899322552121,0.7607821622672231,28.67954411673424,20.346885473128662,1.9779475958572155,True,1.9692480725646242
