column,protocol,seed,method,normalized_aulc,actual_budget_aulc
25g,row,536279090,additive_policy,2.2263484294368245,2.2263484294368245
25g,row,536279090,affine,2.2263484242972766,2.2263484242972766
25g,row,536279090,conditional_EA,2.1803170489632255,2.1803170489632255
25g,row,536279090,conditional_policy,2.2263484294368245,2.2263484294368245
25g,row,536279090,local_identity_shrinkage,2.2263484201884913,2.2263484201884913
25g,row,536279090,scale_only,2.299389297839229,2.299389297839229
25g,row,536279090,target_head_only,3.7013582867683357,3.7013582867683357
25g,row,769539383,additive_EA_control,1.8291890505256947,1.8291890505256947
25g,row,769539383,additive_policy,1.8291890505256947,1.8291890505256947
25g,row,769539383,affine,1.8789969769480077,1.8789969769480077
25g,row,769539383,conditional_EA,1.8445573617833824,1.8445573617833824
25g,row,769539383,conditional_policy,1.8445573617833824,1.8445573617833824
25g,row,769539383,local_identity_shrinkage,1.8518346257251974,1.8518346257251974
25g,row,769539383,scale_only,1.9383260704387801,1.9383260704387801
25g,row,769539383,target_head_only,3.0487600549444447,3.0487600549444447
25g,row,1362771960,additive_EA_control,1.4536153228419701,1.4536153228419701
25g,row,1362771960,additive_policy,1.4536153228419701,1.4536153228419701
25g,row,1362771960,affine,1.5546903371129157,1.5546903371129157
25g,row,1362771960,conditional_EA,1.4247978803847319,1.4247978803847319
25g,row,1362771960,conditional_policy,1.4247978803847319,1.4247978803847319
25g,row,1362771960,local_identity_shrinkage,1.502327274440154,1.502327274440154
25g,row,1362771960,scale_only,1.6735982602070831,1.6735982602070831
25g,row,1362771960,target_head_only,2.913370636663604,2.913370636663604
25g,row,1425370602,additive_EA_control,2.5311145173999683,2.5311145173999683
25g,row,1425370602,additive_policy,2.412623764738611,2.412623764738611
25g,row,1425370602,affine,2.9019943212249912,2.9019943212249912
25g,row,1425370602,conditional_EA,2.5254402331837396,2.5254402331837396
25g,row,1425370602,conditional_policy,2.400367407832721,2.400367407832721
25g,row,1425370602,local_identity_shrinkage,2.5623178651827727,2.5623178651827727
25g,row,1425370602,scale_only,2.418613035820003,2.418613035820003
25g,row,1425370602,target_head_only,3.9084299393424997,3.9084299393424997
25g,row,2767143051,additive_EA_control,1.933960268984514,1.933960268984514
25g,row,2767143051,additive_policy,1.933960268984514,1.933960268984514
25g,row,2767143051,affine,1.8793842038990083,1.8793842038990083
25g,row,2767143051,conditional_EA,1.8567521648474992,1.8567521648474992
25g,row,2767143051,conditional_policy,1.8567521648474992,1.8567521648474992
25g,row,2767143051,local_identity_shrinkage,1.9616851047932637,1.9616851047932637
25g,row,2767143051,scale_only,1.970673753956549,1.970673753956549
25g,row,2767143051,target_head_only,3.308711620151842,3.308711620151842
40g,compound,536279090,additive_EA_control,3.81576655436746,3.814870952006653
40g,compound,536279090,additive_policy,3.861530443549823,3.8621543240678298
40g,compound,536279090,affine,3.865222130033492,3.8660867714266893
40g,compound,536279090,conditional_EA,3.8426413848005274,3.8419727449429395
40g,compound,536279090,conditional_policy,3.861530443549823,3.8621543240678298
40g,compound,536279090,local_identity_shrinkage,3.861530463303953,3.8621543439195682
40g,compound,536279090,scale_only,3.94968791918332,3.9499635670625493
40g,compound,536279090,target_head_only,7.986357803010227,7.986714024213749
40g,compound,769539383,additive_EA_control,3.035893035832186,3.0331543854257985
40g,compound,769539383,additive_policy,3.2064473670196705,3.2251674431016286
40g,compound,769539383,affine,3.2064473668035345,3.2251674375154344
40g,compound,769539383,conditional_EA,3.0137201331253163,3.010338262922014
40g,compound,769539383,conditional_policy,3.2064473670196705,3.2251674431016286
40g,compound,769539383,local_identity_shrinkage,3.206447405452883,3.2251674814630276
40g,compound,769539383,scale_only,3.0428559324595903,3.038244124226178
40g,compound,769539383,target_head_only,7.986816783968632,7.991069563184891
40g,compound,1362771960,additive_EA_control,4.43825207939166,4.497343072081225
40g,compound,1362771960,additive_policy,4.618610245495579,4.682132100825283
40g,compound,1362771960,affine,5.526067696401775,5.608494915806696
40g,compound,1362771960,conditional_EA,3.560539586549015,3.560872024386359
40g,compound,1362771960,conditional_policy,4.618610245495579,4.682132100825283
40g,compound,1362771960,local_identity_shrinkage,4.618610260591039,4.68213211502383
40g,compound,1362771960,scale_only,3.8562443317263844,3.8599280328988845
40g,compound,1362771960,target_head_only,7.474411662059777,7.475694295693671
40g,compound,1425370602,additive_EA_control,3.831935264593422,3.8557831749814526
40g,compound,1425370602,additive_policy,3.782315527329586,3.787113971448441
40g,compound,1425370602,affine,3.928038108587791,3.949289159613577
40g,compound,1425370602,conditional_EA,3.7154775314818793,3.7353557612924315
40g,compound,1425370602,conditional_policy,3.782315527329586,3.787113971448441
40g,compound,1425370602,local_identity_shrinkage,3.7823155416195213,3.787113985606717
40g,compound,1425370602,scale_only,3.9517933483353676,3.964388612444828
40g,compound,1425370602,target_head_only,7.9984631658258944,7.998806514991276
40g,compound,2767143051,additive_EA_control,3.032170489854171,3.0304564993421423
40g,compound,2767143051,additive_policy,3.053470739961951,3.0530117318241614
40g,compound,2767143051,affine,3.053470694749054,3.0530116866975834
40g,compound,2767143051,conditional_EA,2.952415605401561,2.9500322037099123
40g,compound,2767143051,conditional_policy,3.053470739961951,3.0530117318241614
40g,compound,2767143051,local_identity_shrinkage,3.0534706977302837,3.053011689610741
40g,compound,2767143051,scale_only,3.2054090640432262,3.204841302202728
40g,compound,2767143051,target_head_only,7.148987816108743,7.149088792868965
40g,row,536279090,additive_EA_control,2.6671462886198714,2.6671462886198714
40g,row,536279090,additive_policy,2.6671462886198714,2.6671462886198714
40g,row,536279090,affine,2.7018066798714027,2.7018066798714027
40g,row,536279090,conditional_EA,2.502920973773699,2.502920973773699
40g,row,536279090,conditional_policy,2.502920973773699,2.502920973773699
40g,row,536279090,local_identity_shrinkage,2.7305749577611422,2.7305749577611422
40g,row,536279090,scale_only,3.205558473625024,3.205558473625024
