column,protocol,seed,target,dimension,level,rows,compounds,ratio_defined_rows,ratio_median,ratio_q25,ratio_q75,ratio_mean,ratio_std,scale_rmse,scale_mae,scale_signed_mean,scale_signed_median,scale_r2,scale_nrmse,scale_sse,affine_rmse,affine_mae,affine_signed_mean,affine_signed_median,affine_r2,affine_nrmse,affine_sse
8g,row,536279090,V2,PE/EA,20/1,10,10,10,1.527076679762234,1.5017946780934301,1.7354969139824832,1.5863906517084974,0.2601233186961477,14.313015105103457,9.147823683481565,-8.242890868806859,-5.426129659901035,0.7700868221943211,0.8903061362552642,2048.624013989197,14.416542262964942,9.149319595713678,-8.335725528510526,-5.586189907034241,0.76674883373079,0.8967457901811714,2078.366908198543
8g,row,536279090,V2,PE/EA,5/1,10,10,10,1.5856090779954106,1.5132598722352282,1.7825698350228587,1.9880845978089963,1.1823372515103374,35.18650585211507,15.562047541977927,8.621166527997683,-3.7744972897161304,0.2865078182386184,2.1886906318117365,12380.90194080928,35.41272200763147,15.623847351125033,8.18285694794154,-4.0626847326185995,0.2773041595812651,2.2027618550933017,12540.608799897866
8g,row,536279090,V2,PE/EA,50/1,4,4,4,1.922286499092062,1.7801461088163073,1.9936638374747966,1.8515234471990418,0.31956194452324044,4.86436032796782,4.410387621312865,0.8112401256673953,2.691466077963785,0.8465277050424898,0.30257565000418657,94.64800560122879,5.056091336275996,4.490327231418661,0.5645419171045827,2.6772376291672213,0.8341909110313437,0.3145018089548827,102.25623840306073
8g,row,536279090,V2,loading solvent,DCM,56,37,56,1.7444151342756182,1.5299281623528307,1.9791514644965669,1.8863352843312513,0.6395933825107141,16.935408623934418,7.292564307888455,1.2256533456675243,-0.6366818703681503,0.6056935205298751,1.053425718282308,16061.251654539403,16.983475403808804,7.282169407554652,0.7187344830562772,-1.4715070113784723,0.603452070107318,1.0564155948916703,16152.552460339604
8g,row,536279090,V2,loading solvent,PE,36,22,36,1.6853048386895115,1.5181886031099932,1.8165291323425812,1.7380535985384877,0.336638158967755,4.164011453946612,3.1690710557557473,-1.0712125908800325,-1.305922118754606,0.7398624233777433,0.2590121593293097,624.2036899895489,4.520857768566688,3.676057841563692,-1.8331681951125205,-2.210876520811235,0.69336554914263,0.28120891251327373,735.7735786899519
8g,row,536279090,V2,loading_ul,100,92,59,92,1.7034452182600532,1.5198606109134927,1.9707120379890297,1.8283120159775617,0.5441757463519312,13.467132027615524,5.6790234700973965,0.32687971832282825,-0.9591225522045477,0.6370335493543443,0.8376900460106959,16685.455344528957,13.548754972092437,5.87108227303645,-0.27983613014020886,-1.8422368595821847,0.6326204090232926,0.8427672018575522,16888.326039029558
8g,row,536279090,V2,amount_density_ul,86.0,1,1,1,1.7938914617420352,1.7938914617420352,1.7938914617420352,1.7938914617420352,,0.1477223145947626,0.1477223145947626,-0.1477223145947626,-0.1477223145947626,,0.009188705676601539,0.02182188222923401,1.7581772628729233,1.7581772628729233,-1.7581772628729233,-1.7581772628729233,,0.10936312120582604,3.0911872876833244
8g,row,536279090,V2,amount_density_ul,86.1,2,1,2,1.5375959934457706,1.535706025949513,1.539485960942028,1.5375959934457706,0.005345635331303121,3.61704236504047,3.6153248008123766,-3.6153248008123766,-3.6153248008123766,-166.87269750515793,0.22498928346289251,26.165990940995115,3.3563412930007996,3.354323942577383,-3.354323942577383,-3.354323942577383,-143.54567788057176,0.20877301019965216,22.53005375020456
8g,row,536279090,V2,amount_density_ul,88.5,4,1,4,1.2503796131600358,1.2365119562911253,1.3145446516316883,1.300676994762778,0.11155629329134996,5.244672779509267,5.004008331906331,-5.004008331906331,-5.753530406455216,-9.637918930108876,0.3262320569048475,110.02637025650186,6.625172221674364,6.475351825159957,-6.475351825159957,-7.17469564714486,-15.975173672695881,0.412102651984309,175.57162786738252
8g,row,536279090,V2,amount_density_ul,94.45,1,1,1,1.588437512540296,1.588437512540296,1.588437512540296,1.588437512540296,,0.6230949632190992,0.6230949632190992,-0.6230949632190992,-0.6230949632190992,,0.03875809989370527,0.38824733318901056,2.2543175311113632,2.2543175311113632,-2.2543175311113632,-2.2543175311113632,,0.14022431446331915,5.0819475310760325
