column,protocol,seed,target,rows,tail_rows,tail_row_fraction,tail_sse_fraction,tail_rmse,rest_rmse,tail_signed_mean,rest_signed_mean
25g,row,1425370602,V1,92,10,0.10869565217391304,0.5951094173288111,31.678171003192265,9.124805144245405,13.843264762644328,-4.480133811219252
25g,row,1425370602,V2,92,10,0.10869565217391304,0.4909557961534466,39.48079061493896,14.038977155940543,23.99757596332807,-8.733266451853236
25g,row,2767143051,V1,92,10,0.10869565217391304,0.6051691738420704,48.43073917485997,13.660962485819509,6.457178161015539,-3.1590211777651156
25g,row,2767143051,V2,92,10,0.10869565217391304,0.6115225685127064,63.45749487587938,17.662519293086163,8.71380799622223,-5.502399386931974
40g,compound,536279090,V1,93,10,0.10752688172043011,0.1412279653132124,39.26071506716502,33.604524511723774,3.3194325216694667,-6.04562372110928
40g,compound,536279090,V2,93,10,0.10752688172043011,0.3759828190351287,73.09214351031305,32.68480706897258,52.93262857286231,-18.235007116657087
40g,compound,769539383,V1,86,9,0.10465116279069768,0.19857752056715808,55.83878965167045,38.35108068001754,23.068103620332224,-10.035809538429994
40g,compound,769539383,V2,86,9,0.10465116279069768,0.1972468446204449,75.43313595907428,52.02643088177424,26.17173989801737,-14.837161232862012
40g,compound,1362771960,V1,93,10,0.10752688172043011,0.5767250494399286,90.24998728175748,26.83706262044654,33.12374654720101,-11.28526353457408
40g,compound,1362771960,V2,93,10,0.10752688172043011,0.5609619757008145,95.39724270395098,29.294165567863935,53.41869353322306,-20.117893751439272
40g,compound,1425370602,V1,92,10,0.10869565217391304,0.560266112499857,95.41540917965257,29.519526085982648,18.56172026166451,-13.26603599536099
40g,compound,1425370602,V2,92,10,0.10869565217391304,0.4843537497899467,97.54006378252721,35.145579438369296,48.57840715693495,-25.069748053756868
40g,compound,2767143051,V1,92,10,0.10869565217391304,0.21019190018992076,64.81241041544004,43.873678727744334,1.2763053043941397,-5.47665511170141
40g,compound,2767143051,V2,92,10,0.10869565217391304,0.24968448709256988,90.62373323774855,54.86068239413268,1.2044864868617708,-5.82281548208865
40g,row,536279090,V1,92,10,0.10869565217391304,0.23433992553515096,70.92941545863664,44.772805804433936,18.19031264671103,-9.071013354181233
40g,row,536279090,V2,92,10,0.10869565217391304,0.1942412464614431,79.56401978435234,56.59024556521954,37.30865503762615,-15.864372197930368
40g,row,769539383,V1,92,10,0.10869565217391304,0.08911412832354643,32.36423683841691,36.13409198232156,7.192387668088699,-6.315108374788896
40g,row,769539383,V2,92,10,0.10869565217391304,0.13480831769529233,46.27065837654338,40.93516790786174,40.375779170907805,-16.59867408246542
40g,row,1362771960,V1,92,10,0.10869565217391304,0.3965398351997103,53.22909262526091,22.931001853617197,25.999243473514905,-9.3186657086815
40g,row,1362771960,V2,92,10,0.10869565217391304,0.46420997995391045,77.91536579287698,29.231847286213288,31.94823293567497,-11.232225259402592
40g,row,1425370602,V1,92,10,0.10869565217391304,0.4276165287202546,53.029669789219845,21.42536833476061,21.42297699147553,-10.455562640734028
40g,row,1425370602,V2,92,10,0.10869565217391304,0.3572781356698291,53.60637386484581,25.10832965699774,32.407203607495205,-16.48796434160361
40g,row,2767143051,V1,92,10,0.10869565217391304,0.21746288653873883,36.128380959292265,23.93323864690406,15.550679009187357,-8.078062582886233
40g,row,2767143051,V2,92,10,0.10869565217391304,0.35518169922249404,57.288874638296555,26.956080963510004,36.388972062656805,-12.995855732883015
8g,compound,536279090,V1,90,9,0.1,0.2535699044951411,6.669858746709155,3.814530564509529,4.602286121679856,-1.0552868284242345
8g,compound,536279090,V2,90,9,0.1,0.13763499271108032,7.32779681429982,6.114110657660011,2.9811176873085707,-0.6731375925375583
8g,compound,769539383,V1,92,10,0.10869565217391304,0.6863180012317205,26.267254150456726,6.201401546827359,6.33019686180924,-2.9027913022584824
8g,compound,769539383,V2,92,11,0.11956521739130435,0.8747856840873229,36.78794016765229,5.129032649178372,5.365895315161392,-2.094372821189401
8g,compound,1362771960,V1,90,9,0.1,0.6858061435467706,12.651484161971876,2.854423316254098,-0.6890250493775893,-0.7068650615710863
