column,protocol,seed,budget,actual_budget,conditional_policy,additive_policy,conditional_EA_penalty,additive_EA_control_penalty
25g,row,1425370602,70,70,scale_only,scale_only,0.1,0.1
25g,row,1425370602,100,100,conditional_EA,additive_EA_control,0.0,0.0
25g,row,2767143051,30,30,conditional_EA,additive_EA_control,0.1,1.0
25g,row,2767143051,50,50,conditional_EA,additive_EA_control,0.1,1.0
25g,row,2767143051,70,70,conditional_EA,additive_EA_control,1.0,1.0
25g,row,2767143051,100,100,conditional_EA,additive_EA_control,1.0,1.0
40g,compound,536279090,30,31,local_identity_shrinkage,local_identity_shrinkage,1.0,1.0
40g,compound,536279090,50,52,local_identity_shrinkage,local_identity_shrinkage,0.1,0.0
40g,compound,536279090,70,72,local_identity_shrinkage,local_identity_shrinkage,1.0,1.0
40g,compound,536279090,100,100,local_identity_shrinkage,local_identity_shrinkage,1.0,1.0
40g,compound,769539383,30,28,affine,affine,0.0,0.0
40g,compound,769539383,50,49,local_identity_shrinkage,local_identity_shrinkage,1.0,1.0
40g,compound,769539383,70,69,local_identity_shrinkage,local_identity_shrinkage,0.0,0.0
40g,compound,769539383,100,93,local_identity_shrinkage,local_identity_shrinkage,1.0,1.0
40g,compound,1362771960,30,28,local_identity_shrinkage,local_identity_shrinkage,1.0,1.0
40g,compound,1362771960,50,49,affine,affine,1.0,0.0
40g,compound,1362771960,70,72,affine,affine,1.0,1.0
40g,compound,1362771960,100,100,affine,affine,1.0,1.0
40g,compound,1425370602,30,29,local_identity_shrinkage,local_identity_shrinkage,0.0,0.0
40g,compound,1425370602,50,52,local_identity_shrinkage,local_identity_shrinkage,1.0,0.0
40g,compound,1425370602,70,72,local_identity_shrinkage,local_identity_shrinkage,1.0,1.0
40g,compound,1425370602,100,99,local_identity_shrinkage,local_identity_shrinkage,1.0,0.0
40g,compound,2767143051,30,31,local_identity_shrinkage,local_identity_shrinkage,1.0,0.0
40g,compound,2767143051,50,50,local_identity_shrinkage,local_identity_shrinkage,0.1,0.0
40g,compound,2767143051,70,71,local_identity_shrinkage,local_identity_shrinkage,0.0,0.0
40g,compound,2767143051,100,99,affine,affine,1.0,1.0
40g,row,536279090,30,30,conditional_EA,additive_EA_control,0.0,0.0
40g,row,536279090,50,50,conditional_EA,additive_EA_control,0.1,0.1
40g,row,536279090,70,70,conditional_EA,additive_EA_control,0.1,0.1
40g,row,536279090,100,100,conditional_EA,additive_EA_control,0.1,0.1
40g,row,769539383,30,30,conditional_EA,additive_EA_control,0.0,0.0
40g,row,769539383,50,50,conditional_EA,additive_EA_control,0.0,0.0
40g,row,769539383,70,70,conditional_EA,additive_EA_control,0.0,0.0
40g,row,769539383,100,100,conditional_EA,additive_EA_control,0.0,0.0
40g,row,1362771960,30,30,conditional_EA,additive_EA_control,1.0,1.0
40g,row,1362771960,50,50,conditional_EA,additive_EA_control,0.1,0.1
40g,row,1362771960,70,70,conditional_EA,additive_EA_control,0.1,0.1
40g,row,1362771960,100,100,conditional_EA,additive_EA_control,0.1,0.1
40g,row,1425370602,30,30,local_identity_shrinkage,local_identity_shrinkage,0.0,0.1
40g,row,1425370602,50,50,local_identity_shrinkage,local_identity_shrinkage,0.0,0.1
40g,row,1425370602,70,70,local_identity_shrinkage,local_identity_shrinkage,0.0,0.0
40g,row,1425370602,100,100,local_identity_shrinkage,additive_EA_control,0.0,0.0
40g,row,2767143051,30,30,conditional_EA,additive_EA_control,0.0,0.0
40g,row,2767143051,50,50,conditional_EA,additive_EA_control,0.0,0.0
40g,row,2767143051,70,70,conditional_EA,additive_EA_control,0.0,0.0
40g,row,2767143051,100,100,conditional_EA,additive_EA_control,0.0,0.0
8g,compound,536279090,30,28,affine,additive_EA_control,0.0,0.0
8g,compound,536279090,50,53,scale_only,additive_EA_control,1.0,1.0
8g,compound,536279090,70,67,scale_only,additive_EA_control,1.0,1.0
8g,compound,536279090,100,97,scale_only,scale_only,1.0,1.0
8g,compound,769539383,30,31,conditional_EA,additive_EA_control,0.1,0.1
8g,compound,769539383,50,51,conditional_EA,additive_EA_control,0.1,1.0
8g,compound,769539383,70,72,conditional_EA,additive_EA_control,0.1,0.1
8g,compound,769539383,100,99,conditional_EA,additive_EA_control,1.0,1.0
8g,compound,1362771960,30,28,affine,additive_EA_control,0.1,0.1
8g,compound,1362771960,50,48,scale_only,scale_only,1.0,1.0
8g,compound,1362771960,70,69,scale_only,scale_only,1.0,1.0
8g,compound,1362771960,100,97,scale_only,additive_EA_control,1.0,1.0
8g,compound,1425370602,30,31,scale_only,scale_only,1.0,1.0
8g,compound,1425370602,50,52,scale_only,scale_only,1.0,1.0
8g,compound,1425370602,70,63,conditional_EA,scale_only,1.0,1.0
8g,compound,1425370602,100,97,scale_only,scale_only,1.0,1.0
8g,compound,2767143051,30,27,conditional_EA,local_identity_shrinkage,1.0,1.0
8g,compound,2767143051,50,47,local_identity_shrinkage,local_identity_shrinkage,1.0,1.0
8g,compound,2767143051,70,71,scale_only,additive_EA_control,1.0,1.0
8g,compound,2767143051,100,98,scale_only,additive_EA_control,1.0,1.0
8g,row,536279090,30,30,affine,affine,0.1,0.0
8g,row,536279090,50,50,local_identity_shrinkage,local_identity_shrinkage,0.1,0.1
8g,row,536279090,70,70,local_identity_shrinkage,local_identity_shrinkage,0.0,0.0
8g,row,536279090,100,100,local_identity_shrinkage,additive_EA_control,0.0,0.0
8g,row,769539383,30,30,local_identity_shrinkage,additive_EA_control,1.0,1.0
8g,row,769539383,50,50,local_identity_shrinkage,additive_EA_control,1.0,1.0
8g,row,769539383,70,70,local_identity_shrinkage,additive_EA_control,1.0,1.0
8g,row,769539383,100,100,local_identity_shrinkage,additive_EA_control,1.0,1.0
8g,row,1362771960,30,30,conditional_EA,additive_EA_control,1.0,0.1
8g,row,1362771960,50,50,conditional_EA,affine,0.1,0.0
8g,row,1362771960,70,70,conditional_EA,local_identity_shrinkage,0.0,0.0
8g,row,1362771960,100,100,conditional_EA,local_identity_shrinkage,0.0,0.0
8g,row,1425370602,30,30,affine,affine,1.0,0.0
8g,row,1425370602,50,50,scale_only,scale_only,1.0,1.0
8g,row,1425370602,70,70,local_identity_shrinkage,local_identity_shrinkage,1.0,1.0
8g,row,1425370602,100,100,local_identity_shrinkage,local_identity_shrinkage,1.0,1.0
8g,row,2767143051,30,30,scale_only,scale_only,1.0,1.0
8g,row,2767143051,50,50,conditional_EA,scale_only,1.0,1.0
8g,row,2767143051,70,70,conditional_EA,additive_EA_control,1.0,1.0
8g,row,2767143051,100,100,conditional_EA,additive_EA_control,1.0,1.0
