column,protocol,seed,budget,target,scale,train_rows,compounds,q50_min,q50_max,q50_q90,upper10_x2_leverage,without_upper10_scale,without_upper10_relative_change,leave_compound_min_scale,leave_compound_max_scale,leave_compound_max_relative_change
25g,compound,769539383,100,V2,4.196993148630177,90,15,7.420563,60.416653,31.095584300000002,0.4840121683169295,3.94583995139386,-0.059841221641805276,3.9002445553460867,4.341903298374859,0.0707050459162516
25g,compound,1362771960,30,V1,5.069317623650122,24,4,3.755535,12.696358,7.570647179999999,0.35716242719332786,4.900981415212588,-0.03320687732253891,4.824846243798018,5.299053333759347,0.04822569781612418
25g,compound,1362771960,30,V2,3.6256330974896622,24,4,9.237143,25.838587,21.9425062,0.28824656900679135,3.4224632088397318,-0.05603707909402156,3.2728006056791132,3.8256557033749132,0.09731610516652811
25g,compound,1362771960,50,V1,6.7254600209667394,44,7,3.755535,12.696358,8.781850200000004,0.3343133129231772,5.7334304698684155,-0.14750359797034762,5.85594799986529,7.013341085708767,0.12928662402136515
25g,compound,1362771960,50,V2,4.460086834695725,44,7,8.957339,33.079792,25.408152800000003,0.3110238628921461,3.6614007783912332,-0.17907410458724393,4.031716226135862,4.650315997591451,0.09604535167959061
25g,compound,1362771960,70,V1,6.74332017749266,62,11,3.755535,12.813852,9.043021499999998,0.3370420023928771,6.037351872487993,-0.10469150009530825,6.162104029186743,6.941495731168678,0.08619139133358311
25g,compound,1362771960,70,V2,4.485457528311589,62,11,8.957339,33.079792,24.728855799999995,0.3054715394590596,3.8222465906163072,-0.14785803533066277,4.184424093966564,4.6271101845658205,0.06711320583127667
25g,compound,1362771960,100,V1,6.373560696537875,90,16,3.755535,31.033888,9.254862400000007,0.4778935664011581,5.4863653377610095,-0.13919932687842618,6.08306987215662,6.521363766363745,0.04557747830644332
25g,compound,1362771960,100,V2,4.444694305122486,90,16,7.557915,51.772438,25.077575700000004,0.37902257568771336,3.7782431867301445,-0.14994307204080604,4.264470192812658,4.542948038469679,0.040548145707595906
25g,compound,1425370602,30,V1,5.482303434854514,25,4,4.1564574,39.051468,9.369805800000002,0.7304657759731112,4.430097691389806,-0.19192767346206385,4.4855823881909895,5.603076704744835,0.18180698286904928
25g,compound,1425370602,30,V2,4.177821419594906,25,4,5.802376,73.57818,23.840445200000016,0.7600786249127025,3.492325633125739,-0.16407972424432515,3.6013719885311204,4.2470276400462526,0.1379784756620066
25g,compound,1425370602,50,V1,5.428138266459872,39,6,3.9646108,39.051468,8.885146600000004,0.6563974307293385,4.616071129422332,-0.14960325201280367,4.777463073290226,5.52168730982381,0.119870784646391
25g,compound,1425370602,50,V2,4.064772692598666,39,6,5.802376,73.57818,19.599019800000026,0.657781370206701,3.4889316404883375,-0.14166623712042936,3.6128287069960288,4.176479867380442,0.11118554954513415
25g,compound,1425370602,70,V1,5.541930023983877,64,10,3.5878193,39.051468,9.490970600000002,0.6538220994339674,4.898674599368706,-0.11607065080781354,5.270247438426711,5.686743403997204,0.049023099241852885
25g,compound,1425370602,70,V2,4.077157714104902,64,10,5.802376,73.57818,25.531712700000003,0.5795847672480888,3.3555399973726088,-0.1769903857866133,3.9165131209856816,4.158933508227632,0.03940112313131072
25g,compound,1425370602,100,V1,5.822931442557158,91,15,3.5878193,39.051468,10.023971,0.6101148254578749,5.111826865233805,-0.12212140643219882,5.649182751781649,5.968248705894763,0.029838697654184676
25g,compound,1425370602,100,V2,4.203838989224504,91,15,5.802376,73.57818,26.590567,0.5654564749941381,3.6139793132139033,-0.1403145262039197,4.130825131362753,4.265971642176227,0.017368376393316676
25g,compound,2767143051,30,V1,6.350067931824832,22,4,4.2883625,39.051468,20.981574200000008,0.6505889773395306,5.438665961379735,-0.14352633392745218,5.7722627109987545,6.8777494462058,0.09099197473625009
25g,compound,2767143051,30,V2,4.831092616144457,22,4,9.225402,73.57818,44.2379875,0.5943552452200943,4.265039493395922,-0.11716875823429862,4.217000101466454,5.331778451919813,0.12711255268132093
25g,compound,2767143051,50,V1,5.649836005585462,40,6,3.8515,39.051468,17.981821600000004,0.5855829357608003,5.080139361602756,-0.100834191190594,5.047923010345743,6.256850921977829,0.10743938687640986
25g,compound,2767143051,50,V2,4.426169485878268,40,6,7.420563,73.57818,35.217449500000015,0.5679964363036806,3.5368383342575704,-0.200925688557141,3.846285723844103,4.709409526439479,0.13101255247551846
25g,compound,2767143051,70,V1,5.701131726897906,61,9,3.8515,39.051468,13.702433,0.6536899740305935,5.16569770721807,-0.09391714581048205,5.192327537521504,6.237941883980543,0.09415852549941461
25g,compound,2767143051,70,V2,4.398272745630581,61,9,6.6064596,73.57818,27.83332,0.5994681060099745,3.9122646827870913,-0.11049975546112034,3.924839266147858,4.627155879882715,0.10764077329061739
25g,compound,2767143051,100,V1,5.3835036753707355,94,14,3.5878193,39.051468,11.1603715,0.6370837435128002,4.932837632650151,-0.08371240550691172,4.973248070699123,5.722194423997468,0.07620606010701025
25g,compound,2767143051,100,V2,4.201883238730825,94,14,5.802376,73.57818,27.6769567,0.5829978886260734,3.751554401544473,-0.1071730963477161,3.835616195463808,4.348977359064564,0.08716735388812169
25g,row,536279090,30,V1,5.480745569221984,22,21,3.755535,14.927238,9.694897500000002,0.4414287434259801,4.5467907556574465,-0.17040652622324093,4.907114950230247,5.7717570492410575,0.10466288057833817
25g,row,536279090,30,V2,3.8061292761338357,22,21,5.9683657,33.21984,24.436061500000005,0.3925203422012636,3.142279264814269,-0.1744160440062319,3.4220486441596,3.9426507515510663,0.10091108423000661
25g,row,536279090,50,V1,5.319074105665055,42,34,2.5635707,16.843067,9.6948975,0.43828315239034243,4.670855376600658,-0.12186683550319688,5.011791915962575,5.464232521983267,0.05776986437831555
25g,row,536279090,50,V2,3.7357483775164044,42,34,5.9683657,33.21984,23.235087999999998,0.36281379832856336,3.273122590773154,-0.1238375125925405,3.510914940398164,3.8112480725874374,0.060184309647673295
25g,row,536279090,70,V1,5.490040056923337,62,44,2.5635707,16.843067,9.74268575,0.3824458817576689,5.128105153752491,-0.06592573085407993,5.272403889248679,5.593705254301173,0.039641999952296
25g,row,536279090,70,V2,3.8049569090886712,62,44,5.9683657,33.21984,24.552061499999997,0.35201372831835437,3.48279279811955,-0.08466958198648378,3.6427156693819893,3.8576085093887884,0.042639442070722566
25g,row,536279090,100,V1,5.496523045841718,92,53,2.5635707,18.965853,9.8442915,0.42235438601843805,5.275329774328227,-0.04024239863432033,5.26569228611344,5.686846198675698,0.041995777658552336
25g,row,536279090,100,V2,3.864121339033724,92,53,5.9683657,44.45729,25.1677988,0.3722186312827532,3.6276527240778655,-0.061195960014803985,3.7429150880467126,3.9510913008835318,0.03136709237430957
25g,row,769539383,30,V1,5.2084259531121635,22,19,3.755535,14.889184,10.738665400000006,0.42897492503124807,5.220435585292103,0.0023058083743636715,4.568236289483449,5.705509402633826,0.12291422963327048
25g,row,769539383,30,V2,4.155937336168501,22,19,7.6373034,44.912045,27.012307600000007,0.5077452710626975,3.859106337667612,-0.07142335759435381,3.8622446622155797,4.230372002460335,0.0706682151814364
25g,row,769539383,50,V1,6.121834368152093,42,28,3.755535,18.57676,10.897493899999999,0.42016333189253396,5.1620077219859875,-0.15678742488680464,5.599813066817849,6.395659479472726,0.08527203938250594
25g,row,769539383,50,V2,4.517822980628593,42,28,7.467815,49.247925,28.559456199999996,0.5273560181667406,3.754038015256858,-0.1690604011371568,4.214878623507423,4.579306828044123,0.06705538451155058
25g,row,769539383,70,V1,6.09219549164226,62,38,3.6452992,31.033888,11.377289600000001,0.5495162865715303,5.412968080267716,-0.1114914011387782,5.78307638663845,6.234197816068069,0.050740181504005166
25g,row,769539383,70,V2,4.534697947640182,62,38,7.262408,50.78328,33.4649727,0.5114733074568837,3.9104533701966377,-0.13765957174025134,4.30129717349282,4.600307557000393,0.051469971504677914
25g,row,769539383,100,V1,5.785399637252737,92,49,3.057639,31.033888,14.681650800000012,0.5537090324875623,5.541719944666026,-0.04211976835923903,5.582465617400149,6.093521146371107,0.05325846586886529
25g,row,769539383,100,V2,4.4128683768144805,92,49,7.262408,50.78328,36.31836550000001,0.4618277766333762,3.712199566050412,-0.15877854287370807,4.25558953473014,4.527873792948562,0.03564095473834994
25g,row,1362771960,30,V1,5.167621834942793,22,20,4.116272,18.965853,8.0522442,0.4631027642335698,5.045753260681289,-0.023583106147095356,4.712331883654908,5.420527319726051,0.08810434776965925
25g,row,1362771960,30,V2,3.6062879624215487,22,20,7.6373034,32.75342,20.080707,0.3943861384872908,3.6320619511734455,0.007146958041196028,3.2699113316675983,3.7856536018954987,0.093275033568889
25g,row,1362771960,50,V1,5.531009801530129,42,32,3.0023463,23.030262,9.1255565,0.52505195253265,4.724212794720543,-0.14586794017005522,5.27400645070708,5.643680045402375,0.046465900449489506
25g,row,1362771960,50,V2,3.9554601438807833,42,32,7.467815,46.31017,22.144732,0.4968953254657386,3.310854861972766,-0.1629659403610073,3.7650996030760657,4.035441852203846,0.048126016665649196
25g,row,1362771960,70,V1,5.3243545709687154,62,44,3.0023463,23.030262,11.896651199999996,0.5342807291192793,4.550838202447884,-0.14527889873046107,5.130845964614698,5.511351888469466,0.036344049550931845
25g,row,1362771960,70,V2,3.872622789988855,62,44,7.467815,46.31017,24.967011799999998,0.4733039786310342,3.164219746012375,-0.18292590897512084,3.7413869382037364,3.9605931615067935,0.03388810604646997
25g,row,1362771960,100,V1,5.466464486393943,92,56,3.0023463,31.897373,13.552102000000009,0.5703492018706698,4.909387942599681,-0.10190801480204048,5.319404053331343,5.59234780342578,0.026902293690672208
25g,row,1362771960,100,V2,3.9658136388578966,92,56,7.467815,69.369545,26.3449072,0.5005233916788848,3.450467766200755,-0.1299470725521925,3.874888181661498,4.007902207406888,0.022927314663879095
25g,row,1425370602,30,V1,6.185687146837173,22,21,3.6452992,14.745832,9.524496300000001,0.44881748899344565,5.426080731718079,-0.12280065206781299,5.422897603222267,6.351853260404242,0.12331524784678638
25g,row,1425370602,30,V2,4.353213400389698,22,21,8.16814,34.158527,21.643096900000007,0.4404035985253633,3.7960550472213015,-0.12798783379618361,3.989722410329225,4.45096533390562,0.08349946502230587
25g,row,1425370602,50,V1,6.449950648683713,42,34,3.3127692,20.160357,9.533632699999998,0.4541525450977823,5.2778588811124845,-0.18172104430138947,6.13471719225372,6.571760294088116,0.04887377804887938
25g,row,1425370602,50,V2,4.7204883250378,42,34,7.5138326,38.356018,21.658529999999995,0.44718681208656347,3.9179933627926835,-0.1700025308798302,4.50223831867681,4.79991271946555,0.04623462475341311
25g,row,1425370602,70,V1,6.157981588834681,62,48,3.0023463,20.160357,9.2418581,0.42068761392182186,5.171208089445239,-0.1602430090370206,5.883482522385731,6.253672299707705,0.04457614276513211
25g,row,1425370602,70,V2,4.527990484059133,62,48,5.9683657,38.356018,21.658529999999995,0.4218524528210432,3.8173231231188884,-0.15694983535017604,4.347849402423236,4.603001449193319,0.03978389139069238
25g,row,1425370602,100,V1,5.711692914800367,92,57,2.5635707,38.12106,10.163217700000004,0.5579821075729705,5.009526469119723,-0.12293490846840915,5.5444915940323245,5.781160711708064,0.029273513695875386
25g,row,1425370602,100,V2,4.370777525892378,92,57,5.9683657,68.00047,25.442452600000024,0.5044648352690518,3.7066071645028313,-0.1519570276581267,4.2634112179857455,4.421340105852885,0.024564578560816064
25g,row,2767143051,30,V1,5.818741815817914,22,18,3.5878193,17.803343,12.350332400000008,0.5744983620745243,5.271484437508268,-0.09405080954476419,5.152681289656137,6.177238031608975,0.11446813542252898
25g,row,2767143051,30,V2,4.113736990737229,22,18,7.920611,44.465275,32.52142900000001,0.6294813419741748,3.983876127494601,-0.031567614442788106,3.721519033675883,4.420370194760633,0.0953434694401929
25g,row,2767143051,50,V1,5.6564630870478805,42,31,3.3554714,17.803343,12.366160199999996,0.4927799266686339,5.2637140811581755,-0.06943367256988175,5.2965198822177735,5.818970253467245,0.06363397043185903
25g,row,2767143051,50,V2,4.142160368114786,42,31,7.029513,44.465275,26.1493558,0.5435907363593108,4.05741303218802,-0.020459694554350927,3.912381785380956,4.331473292994737,0.055473125691270275
25g,row,2767143051,70,V1,5.39768578302156,62,39,3.3554714,18.965853,12.714291699999999,0.472895806724744,4.895047223374949,-0.09312112261659666,5.106836111595525,5.59487618024838,0.05388414278224629
25g,row,2767143051,70,V2,4.030681739439171,62,39,7.029513,44.465275,32.33486109999999,0.48963903702363476,3.701623495108864,-0.08163835936500707,3.90169550134935,4.11648069565796,0.03200109719100963
25g,row,2767143051,100,V1,5.489194203853465,92,53,3.3554714,24.012196,12.714291699999999,0.48558537460127243,5.143485974277359,-0.06297977749328221,5.136177920738697,5.8078224794485,0.06431113019593071
25g,row,2767143051,100,V2,4.118307879148042,92,53,7.029513,52.568775,28.359637000000014,0.4663423845746487,3.79319908832025,-0.07894232300452664,3.88509553174157,4.2332480606929845,0.05662819639767114
40g,compound,536279090,30,V1,11.027709069621771,24,4,4.079132,32.385674,10.1363839,0.6433425344546949,10.268825821442626,-0.06881603816241899,10.04770864466627,11.383059905802577,0.08886709095864032
40g,compound,536279090,30,V2,7.162273486183692,24,4,7.2694077,61.525276,25.7274747,0.49758569970862077,5.749003952503787,-0.19732135842147858,6.0146785448762765,7.624047612232277,0.1602277466116271
40g,compound,536279090,50,V1,10.32466365609079,45,7,3.5799577,32.385674,10.0815762,0.6372653348357118,9.3090808059252,-0.09836473942339719,9.560302371442997,10.662398359760845,0.07403256029525729
40g,compound,536279090,50,V2,7.104916198907144,45,7,5.9683657,61.525276,25.5786216,0.524338464441133,5.752348071071693,-0.1903707362577336,6.571117767024917,7.367971599725472,0.07513085544405651
40g,compound,536279090,70,V1,11.159200500399713,65,10,3.5799577,32.385674,11.6407348,0.5940265820952348,11.35186129873416,0.01726474923786392,10.611965330106825,11.581776918751233,0.049038922660569306
40g,compound,536279090,70,V2,7.434567449566467,65,10,5.9683657,61.525276,26.6779566,0.49809245214199965,6.240975117276576,-0.16054630486397614,7.22159585801492,7.63626480295939,0.02864613079325362
40g,compound,536279090,100,V1,11.36728963443682,93,13,3.5799577,32.385674,12.546067999999998,0.5976444192813202,11.146483912737967,-0.019424658718110832,11.012183311967439,11.667274195613928,0.03123931331824248
40g,compound,536279090,100,V2,7.487450750182149,93,13,5.9683657,61.525276,27.580584199999997,0.4975662072360686,6.4413339808622485,-0.13971601339674278,7.346135349838701,7.619997347328996,0.01887363337114567
40g,compound,769539383,30,V1,10.237407338120367,21,3,4.0698633,14.11145,8.755526,0.39827571107530574,8.799524820409609,-0.14045377606072273,9.160179866924137,10.852152424066986,0.10522463702162432
40g,compound,769539383,30,V2,6.439157542908068,21,3,7.4095073,31.910273,21.781008,0.46231534004594316,5.954426029775476,-0.07527871618337145,5.935620773815521,6.685362106603357,0.07819916902749646
40g,compound,769539383,50,V1,11.479361999901728,42,6,4.0698633,14.11145,8.557272699999999,0.35492640888291643,10.784561562967825,-0.0605260498745358,10.097028504580088,12.033194052081829,0.12041901765389695
40g,compound,769539383,50,V2,7.58821229367363,42,6,7.2694077,32.709404,21.543645899999998,0.39281312271981883,7.815257486022638,0.02992077495489931,6.503870245496116,7.879450151576072,0.14289822242869255
40g,compound,769539383,70,V1,12.595189953118956,62,9,4.0698633,25.992563,10.4169092,0.5376403788322086,10.691274568925364,-0.1511621016658129,12.091056248528382,12.892839398809091,0.04002589134955725
40g,compound,769539383,70,V2,8.065531940949516,62,9,7.2694077,59.71578,27.413744499999993,0.5245411679760116,7.25612894056941,-0.10035333147348724,7.701614637828008,8.206974740985808,0.04512006223344833
40g,compound,769539383,100,V1,11.543273001399687,86,13,3.755535,39.051468,10.24227,0.604049565531137,9.990152125096852,-0.13454770376777103,11.104549756918825,12.02230749971991,0.04149901836871894
40g,compound,769539383,100,V2,7.378983292348105,86,13,7.121008,73.57818,28.7660985,0.5289254208932054,6.470287508248107,-0.12314647534739676,7.075975505129859,7.63931499097841,0.04106362288859766
40g,compound,1362771960,30,V1,14.656875739934547,21,3,3.75889,11.419816,6.336005,0.33414323892319786,10.082896628462573,-0.3120705389491417,10.24997335288702,17.32428447159957,0.30067133441271887
40g,compound,1362771960,30,V2,7.649440017223049,21,3,7.8815317,33.993675,20.762665,0.4141978115530442,5.776942328714903,-0.24478885830755392,5.904571986724899,8.498749423796484,0.22810402154530307
40g,compound,1362771960,50,V1,12.057314407959426,42,6,3.75889,11.419816,6.945864799999999,0.30676104942869603,8.865226469587668,-0.2647428631590263,9.88943421188164,12.893132131336623,0.17979793200438543
40g,compound,1362771960,50,V2,6.764082423357306,42,6,7.247487,33.993675,22.466802400000002,0.39484379698473204,5.752539203488729,-0.14954625868773852,5.9836479426607845,7.391824715496735,0.11537920915948241
40g,compound,1362771960,70,V1,10.307521958134618,65,10,3.75889,39.051468,9.6118348,0.6647972871811284,9.005526583172761,-0.1263150716777598,9.661548346984407,10.852862381588979,0.06267011739328998
40g,compound,1362771960,70,V2,6.887046216984098,65,10,6.6064596,73.57818,28.274026600000003,0.582247637811322,5.734601427264834,-0.16733513227735108,6.60978582075231,7.138544947076938,0.04025824533426792
40g,compound,1362771960,100,V1,11.030391882278732,93,15,3.75889,39.051468,11.234712599999998,0.6196591917241876,9.435668961037225,-0.14457536398172455,10.65334512388533,11.484570745215374,0.041175224578042346
40g,compound,1362771960,100,V2,7.2634475447237925,93,15,6.6064596,73.57818,31.64128859999999,0.5582769615601711,5.954958954419945,-0.18014704205502807,7.090873930991293,7.442040091727806,0.024587848388021305
40g,compound,1425370602,30,V1,14.180788714184349,22,4,3.8860686,23.335115,15.971680000000006,0.5795012821130515,10.588090396027294,-0.2533496824872269,11.000792592617092,15.405849165506204,0.22424677397431791
40g,compound,1425370602,30,V2,8.845164332529755,22,4,6.943158,63.780308,32.47518500000001,0.5965935916513851,6.149343940334653,-0.30477900588920837,7.376803930888478,9.238308683483154,0.16600713637858666
40g,compound,1425370602,50,V1,12.206198914118106,45,8,3.8860686,26.085587,14.043190000000003,0.5440877273182049,9.692876550961465,-0.20590540764083787,10.35070576658144,12.695790912090244,0.15201236360244297
40g,compound,1425370602,50,V2,7.748528910449725,45,8,6.943158,63.780308,30.903299600000008,0.5271329172442681,6.002938750527358,-0.2252802022288709,6.809714710293146,8.011103344498537,0.12116031455861087
40g,compound,1425370602,70,V1,11.675306234500512,65,11,3.8860686,32.385674,15.196018800000001,0.5932511503528896,10.301542803135533,-0.11766401700929352,10.583061887916772,12.09529120669093,0.09355166576754625
40g,compound,1425370602,70,V2,7.739172292014732,65,11,6.943158,63.780308,31.111541600000006,0.5372610632853322,6.361438018191234,-0.178020881541175,7.208211763085428,7.903274510132166,0.06860688829439143
40g,compound,1425370602,100,V1,11.554133654430395,92,15,3.8860686,32.385674,14.706226000000012,0.5951122252082649,9.951865243526996,-0.1386749070787332,10.723147191648907,11.846713342839156,0.07192113988250848
40g,compound,1425370602,100,V2,7.675368099508994,92,15,6.943158,63.780308,28.108230100000004,0.5439082347133533,6.207631390130199,-0.1912268819358237,7.25984180611647,7.801354431030077,0.05413763717978626
40g,compound,2767143051,30,V1,11.330999502186714,24,4,4.3043594,24.484686,15.411811,0.5502492555478989,9.943655123748691,-0.12243795246573663,9.513580858896411,12.776115061902871,0.16039349776156708
40g,compound,2767143051,30,V2,7.312937418292309,24,4,7.9675756,60.29394,32.5147208,0.51545757694146,6.743121521583232,-0.07791888048758089,6.145912717706811,8.11490331014974,0.15958357549544255
40g,compound,2767143051,50,V1,10.487230414343866,43,7,3.8860686,24.484686,12.395800400000002,0.5357838841779404,9.7708976714541,-0.06830523547094058,8.895104367268726,11.13125819854798,0.15181568289922542
40g,compound,2767143051,50,V2,6.934646622159909,43,7,6.9047575,60.29394,31.50237680000001,0.5345271541466795,5.93598314857805,-0.14401072296756912,5.934488150835077,7.352170036240054,0.1442263068068661
40g,compound,2767143051,70,V1,10.450089425122451,64,10,3.75889,24.484686,12.319827100000001,0.5324618925405002,9.430794301921702,-0.09753936849098355,9.382202549636384,10.907510306556134,0.102189257148252
40g,compound,2767143051,70,V2,6.8340577353884076,64,10,6.9047575,60.29394,28.71505850000001,0.5199187363642467,6.0729911958842475,-0.11136378546572312,6.074850230716739,7.10352161303304,0.11109176042518754
40g,compound,2767143051,100,V1,11.267445735672625,92,14,3.4472919,24.484686,10.172157800000003,0.5026047406145833,11.013954328090351,-0.022497681686606485,10.629235835131041,11.76103543029337,0.05664193247641014
40g,compound,2767143051,100,V2,7.3293549661068855,92,14,6.9047575,60.29394,24.1080653,0.4935371029188787,7.178827743405425,-0.020537581192007104,6.84181364388738,7.654957830394142,0.06651899443730602
40g,row,536279090,30,V1,11.072524067047889,22,22,3.8192286,25.265863,12.355531500000005,0.6248818590239178,10.03001294228525,-0.09415297889170349,10.342289303598958,11.400058191130551,0.06595016267538556
40g,row,536279090,30,V2,7.1495935767854295,22,22,7.6277685,51.004417,27.354223500000007,0.5416567468702163,6.2726752088382005,-0.12265289747302044,6.795195247649653,7.284211894057013,0.04956901750142828
40g,row,536279090,50,V1,11.644693162475079,42,33,3.8192286,25.265863,14.7575289,0.5403245763076718,11.22544391700807,-0.03600346008412103,11.075786906466307,12.078842447642055,0.04885540976228275
40g,row,536279090,50,V2,7.574701413284132,42,33,7.6277685,63.3673,28.526964500000002,0.5177652009587494,6.409288175706092,-0.15385599695510066,7.318174109197696,7.674517458939624,0.033866325560576116
40g,row,536279090,70,V1,11.64916314188158,62,43,3.5878193,25.265863,12.5351093,0.5449590839503428,11.445627611264394,-0.01747211607719923,11.17071157312064,12.009601511047892,0.041071754505762725
40g,row,536279090,70,V2,7.488136492615221,62,43,7.6277685,63.3673,27.5334154,0.4832335365852798,6.670007014906604,-0.10925675280030678,7.210023095344884,7.594038080084423,0.037140535237921046
40g,row,536279090,100,V1,12.072844884876844,92,59,3.5878193,25.265863,12.326123250000007,0.537135453206256,11.071452353048159,-0.08294586250197655,11.713761451303249,12.37371241589587,0.029743066940535634
40g,row,536279090,100,V2,7.755133739056802,92,59,7.023175,63.3673,27.586216800000003,0.4887548937173626,6.83790036871992,-0.11827434589779728,7.528412649900476,7.856642799978605,0.029234968317116472
40g,row,769539383,30,V1,10.460480675339983,22,17,3.795789,25.265863,14.37359960000001,0.6007301576061383,10.123855956020154,-0.03218061671997574,10.033579346636248,10.802998330774814,0.040810871120878
40g,row,769539383,30,V2,7.450159839350342,22,17,6.3718677,51.004417,31.711197100000007,0.5506700590566903,6.1089030633806924,-0.18003060402615578,7.1319703173607225,7.569436409018183,0.042709086630464355
40g,row,769539383,50,V1,11.307623443353737,42,31,3.795789,25.265863,15.6018864,0.5473014317177589,9.723941727818614,-0.14005433798434108,10.802457560304921,11.51667139722434,0.04467480594657902
40g,row,769539383,50,V2,7.654752693360731,42,31,6.3718677,63.341267,32.97785879999999,0.5278116339056454,6.706695428792387,-0.12385210895064336,7.487062832550981,7.733170567287023,0.02190663337238763
40g,row,769539383,70,V1,11.272223058358042,62,42,3.795789,25.265863,14.957238,0.5246319089529903,9.999874237449953,-0.11287470220567342,10.970018416276556,11.428855918945553,0.02680967547545199
40g,row,769539383,70,V2,7.522656590207819,62,42,6.3718677,63.341267,32.0504507,0.49639375761339233,6.555474144582515,-0.12856926725650053,7.429125962692978,7.594096281834788,0.012433191172994573
40g,row,769539383,100,V1,11.566916122465573,92,56,3.1104646,39.051468,14.969323600000001,0.5423407154563475,11.241298958260039,-0.028150732724093297,11.362395280141602,11.66486966577036,0.0176815358699407
40g,row,769539383,100,V2,7.720043812954713,92,56,6.3718677,73.57818,32.97785880000001,0.516225279356021,6.884698184565343,-0.10820477818890206,7.602115281053059,7.779623583825796,0.015275629874504482
40g,row,1362771960,30,V1,9.244941649867414,22,21,3.820379,17.803343,8.0818245,0.4425379257135753,9.483917556994122,0.02584936889570688,8.987242609712998,9.708843532694344,0.0501789952166527
40g,row,1362771960,30,V2,5.518392332081829,22,21,7.8815317,44.465275,23.369490600000006,0.46927135710593226,6.2118141045221895,0.12565648303203636,5.301854164628671,5.751695478542595,0.04227737580462154
40g,row,1362771960,50,V1,9.395992439482843,42,37,3.820379,17.803343,8.0818245,0.3749254761716148,9.740619997128572,0.036678143353710224,9.08085282885954,9.686096671935,0.0335397897191847
40g,row,1362771960,50,V2,5.937271714592513,42,37,7.247487,44.465275,20.641615999999996,0.3961391412778224,6.256901917975091,0.05383452514005649,5.7002020874402275,6.1237372594872985,0.039929051346870414
40g,row,1362771960,70,V1,10.376571720994386,62,50,3.7613037,25.992563,9.6732594,0.5299124060040497,9.21532171920966,-0.1119107575226631,9.686730294142984,10.578836627018164,0.06648066870252345
