column,protocol,method,reference,relative_gain,mean_delta,median_delta,std_delta,wins,seeds,material
40g,row,conditional_policy,target_head_only,0.6146629149747955,-4.886950001949016,-4.395900601298337,0.8617831337359814,5,5,True
40g,row,conditional_policy,additive_policy,0.02535477744785819,-0.07969937888557813,-0.16033837066480983,0.149430262045117,4,5,False
40g,row,additive_policy,scale_only,0.12070246457039835,-0.4314946505874329,-0.39071461785646466,0.13839515490488724,5,5,True
40g,row,additive_policy,affine,0.012369266741669827,-0.039368103445200295,-0.03109290264984077,0.05765133542847452,4,5,False
40g,row,additive_policy,local_identity_shrinkage,0.03011955148571066,-0.09761699396847759,-0.1065026572956449,0.07984726831922,4,5,False
40g,row,additive_policy,target_head_only,0.604638615047857,-4.807250623063437,-4.375394028423404,0.7733228684480649,5,5,True
8g,compound,conditional_EA,scale_only,0.043196499415011025,-0.02961493891918159,-0.010204443043084543,0.04786013779592524,4,5,False
8g,compound,conditional_EA,affine,0.13060932604294961,-0.09854719210877765,-0.07369294171718055,0.13405622777805232,4,5,True
8g,compound,conditional_EA,local_identity_shrinkage,-0.012852297085258035,0.008323762530363132,-2.5679744129591953e-05,0.021326785404354693,3,5,False
8g,compound,conditional_EA,target_head_only,0.03346323080421654,-0.022710909770777277,0.012425836733606754,0.0677271970395293,2,5,False
8g,compound,conditional_EA,additive_policy,-0.0006771503116642652,0.0004438907987324825,-0.00607782379820343,0.02994557591669104,3,5,False
8g,compound,additive_EA_control,scale_only,0.06035791054729278,-0.041380571535996724,-0.011597821615395687,0.06518899295962412,4,5,True
8g,compound,additive_EA_control,affine,0.14620288394823144,-0.11031282472559278,-0.08606423182954903,0.15276861297109368,4,5,True
8g,compound,additive_EA_control,local_identity_shrinkage,0.005314416013020518,-0.0034418700864520036,-0.004447511887134659,0.0031900923344237915,4,5,False
8g,compound,additive_EA_control,target_head_only,0.050799219709456445,-0.034476542387592415,-0.025359783006837278,0.06377252865095587,3,5,False
8g,compound,additive_EA_control,additive_policy,0.017271187018496947,-0.011321741818082653,0.0,0.01949090104584806,2,5,False
8g,compound,conditional_policy,scale_only,0.031891465313099054,-0.02186435961434465,-9.364321207350201e-09,0.04889020405579342,3,5,False
8g,compound,conditional_policy,affine,0.12033711109917111,-0.09079661280394072,-0.07421814670783222,0.13577764254523597,3,5,False
8g,compound,conditional_policy,local_identity_shrinkage,-0.024819571193001044,0.016074341835200068,0.006967131471478538,0.02323565466712762,1,5,False
8g,compound,conditional_policy,target_head_only,0.022043194057037474,-0.014960330465940341,0.013204815234776346,0.053345195531012836,2,5,False
8g,compound,conditional_policy,additive_policy,-0.01250056996090354,0.008194470103569418,0.0,0.01996760094700138,1,5,False
8g,compound,additive_policy,scale_only,0.04384396077497199,-0.03005882971791407,-9.364321207350201e-09,0.06870593743542883,3,5,False
8g,compound,additive_policy,affine,0.13119763583461885,-0.09899108290751013,-0.07421814670783222,0.15523647328072304,3,5,False
8g,compound,additive_policy,local_identity_shrinkage,-0.012166907948084615,0.00787987173163065,0.00013326908784305758,0.01699401046032492,2,5,False
8g,compound,additive_policy,target_head_only,0.034117278590050426,-0.02315480056950976,-0.025359783006837278,0.05026322889714647,3,5,False
8g,row,conditional_EA,scale_only,-0.03740294713222969,0.02546443765826891,0.0028803615813426386,0.06155055415444036,2,5,False
8g,row,conditional_EA,affine,0.01145914505772272,-0.008187161139260279,-0.0002809745015622811,0.013870579152453556,3,5,False
8g,row,conditional_EA,local_identity_shrinkage,-0.0018223164315767093,0.0012847210302839196,0.0011379246416277633,0.001837576271277125,2,5,False
8g,row,conditional_EA,target_head_only,-0.05588781435609169,0.037383081002278454,0.05606660917404638,0.10268468629360837,1,5,False
8g,row,conditional_EA,additive_policy,-0.005728504455035255,0.0040228722373838455,0.0023894486149410588,0.010520830642142938,1,5,False
8g,row,additive_EA_control,scale_only,-0.031043964709594585,0.021135155505748827,0.010539085959572425,0.05315804273234053,2,5,False
8g,row,additive_EA_control,affine,0.017518616874350634,-0.012516443291780366,-0.02146146130124338,0.017983277811836076,3,5,False
8g,row,additive_EA_control,local_identity_shrinkage,0.004318566933370849,-0.003044561122236167,-0.0028732486897644627,0.011923550182433218,3,5,False
8g,row,additive_EA_control,target_head_only,-0.049415525000903404,0.03305379884975836,0.0562698715602703,0.09333839173674699,2,5,False
8g,row,additive_EA_control,additive_policy,0.00043632272176408193,-0.00030640991513624093,0.0,0.0015479710794074875,1,5,False
8g,row,conditional_policy,scale_only,-0.036961444997572146,0.025163856970222276,0.0028803615813426386,0.06185603373480642,2,5,False
8g,row,conditional_policy,affine,0.011879852265909818,-0.008487741827306916,7.141868763049786e-09,0.014157317450730868,2,5,False
8g,row,conditional_policy,local_identity_shrinkage,-0.0013959568453862925,0.0009841403422372829,1.0166680386447524e-08,0.0016402409755266038,1,5,False
8g,row,conditional_policy,target_head_only,-0.055438445357010036,0.03708250031423181,0.05606660917404638,0.10301665281564079,1,5,False
8g,row,conditional_policy,additive_policy,-0.005300482457574862,0.003722291549337209,0.0011379272288883913,0.010778949003801408,1,5,False
8g,row,additive_policy,scale_only,-0.031494028991807754,0.021441565420885066,0.010539085959572425,0.05279387077341165,2,5,False
8g,row,additive_policy,affine,0.017089750799169523,-0.012210033376644124,-0.020153647498153515,0.017360937028301753,4,5,False
8g,row,additive_policy,local_identity_shrinkage,0.0038839388623823634,-0.002738151207099926,-9.498970943155882e-09,0.011911016508947136,4,5,False
8g,row,additive_policy,target_head_only,-0.0498736087113647,0.03336020876489461,0.05492868194515799,0.0930051288801067,1,5,False
