column,protocol,seed,budget,target,feature,ratio_spearman,scale_residual_spearman,ratio_partial_source_rho,ratio_partial_source_compound_rho,common_source_bins,relative_standardized_contrast
25g,row,2767143051,100,V1,solvent_DCM,0.14104718716622092,0.24316737285645973,0.1550970913091765,-0.058884908286207495,3.0,-0.0030341007562557885
25g,row,2767143051,100,V1,loading_ul,-0.020203293628044915,-0.09127744454516704,-0.06564581004586521,0.22842720796566165,4.0,-0.087574063424349
25g,row,2767143051,100,V1,amount_density_ul,-0.006983762643498084,-0.039790488703904094,-0.023674350697583446,0.230605516919471,4.0,-0.05165656568434594
25g,row,2767143051,100,V1,loading_volume_ul,0.01741948860282731,-0.02251978931987134,0.02317966687994013,,0.0,
25g,row,2767143051,100,V1,MolWt,-0.10946256510126355,-0.10543079474762584,,,,
25g,row,2767143051,100,V1,MolLogP,0.0019351717464925011,0.039509756490888566,,,,
25g,row,2767143051,100,V1,TPSA,-0.10364890661764592,-0.12805377382678693,,,,
25g,row,2767143051,100,V1,HBD,-0.25692800972687846,-0.2686065556235548,,,,
25g,row,2767143051,100,V1,HBA,-0.11036542705875489,-0.1446079874726016,,,,
25g,row,2767143051,100,V1,RotatableBonds,-0.12344589522628613,-0.11245356920647234,,,,
25g,row,2767143051,100,V1,RingCount,-0.2775142630513981,-0.224010453861404,,,,
25g,row,2767143051,100,V2,source,0.15498666831065147,-0.008692569702387373,,,,
25g,row,2767143051,100,V2,EA_fraction,-0.14948866897057023,-0.08065198915030086,-0.07885029304631169,-0.25255605530626435,3.0,-0.1052629496419761
25g,row,2767143051,100,V2,solvent_DCM,0.24822282759360023,0.2876553745432964,0.2510212542446758,-0.10984180467307492,3.0,0.10846824417842577
25g,row,2767143051,100,V2,loading_ul,0.1295497351410634,0.07437920254140228,0.10762787531093268,0.23771441923670186,4.0,0.008014250093932654
25g,row,2767143051,100,V2,amount_density_ul,0.006582928584489364,-0.004262716050611966,0.006917408744149469,0.24859837166923146,4.0,-0.0860419319592192
25g,row,2767143051,100,V2,loading_volume_ul,-0.18419932205016715,-0.25399497570879276,-0.20678928868366836,,1.0,
25g,row,2767143051,100,V2,MolWt,-0.2255775512860293,-0.1526428255887233,,,,
25g,row,2767143051,100,V2,MolLogP,-0.22496371552975325,-0.14529914529914528,,,,
25g,row,2767143051,100,V2,TPSA,0.22956981810010454,0.1513101766966742,,,,
25g,row,2767143051,100,V2,HBD,0.011678545896676294,-0.011678545896676294,,,,
25g,row,2767143051,100,V2,HBA,0.21869412189958584,0.14906333919931022,,,,
25g,row,2767143051,100,V2,RotatableBonds,0.12622508708789942,0.09635914469444311,,,,
25g,row,2767143051,100,V2,RingCount,-0.34674584032746186,-0.34424703605210505,,,,
40g,compound,536279090,100,V1,source,0.4540194942629018,0.235503448664854,,,,
40g,compound,536279090,100,V1,EA_fraction,-0.7645373109050674,-0.6199643894459834,-0.69305083617552,-0.7775856256936283,2.0,-0.44857448858967863
40g,compound,536279090,100,V1,solvent_DCM,-0.03260825260827326,0.0309778399778596,0.0445530709523643,,0.0,
40g,compound,536279090,100,V1,loading_ul,,,,,0.0,
