column,protocol,target,budget,mean,std,median,min,max,coefficient_cv
40g,compound,V1,50,11.310953878482783,0.8715170332972944,11.479361999901728,10.32466365609079,12.206198914118106,0.07705071054663314
40g,compound,V1,70,11.237461614255249,0.9388825384225064,11.159200500399713,10.307521958134618,12.595189953118956,0.0835493433171322
40g,compound,V1,100,11.352506781643651,0.21694300467002348,11.36728963443682,11.030391882278732,11.554133654430395,0.019109700513089127
40g,compound,V2,30,7.481794559427375,0.8809909954568408,7.312937418292309,6.439157542908068,8.845164332529755,0.11775129462045374
40g,compound,V2,50,7.228077289709543,0.4234172166902244,7.104916198907144,6.764082423357306,7.748528910449725,0.058579508729525394
40g,compound,V2,70,7.392075126980645,0.5343836938441903,7.434567449566467,6.8340577353884076,8.065531940949516,0.07229143165681864
40g,compound,V2,100,7.426920930573985,0.16119129728060247,7.378983292348105,7.2634475447237925,7.675368099508994,0.02170365064976461
40g,row,V1,30,10.85116793320544,1.0589361942596296,11.072524067047889,9.244941649867414,11.991417878714564,0.09758730127281509
40g,row,V1,50,10.970558416410991,0.8977582238126219,11.307623443353737,9.395992439482843,11.644693162475079,0.08183341173131665
40g,row,V1,70,11.138093255393157,0.4687235011926019,11.272223058358042,10.376571720994386,11.64916314188158,0.04208292123659874
40g,row,V1,100,11.312799743089313,0.5131184406454594,11.151777944302129,10.783597839958663,12.072844884876844,0.0453573343732978
40g,row,V2,30,7.007550549588326,0.8567648705929044,7.243646947636881,5.518392332081829,7.675960052087147,0.12226310242503166
40g,row,V2,50,7.156783868457019,0.6998259284483553,7.347922921317045,5.937271714592513,7.654752693360731,0.0977849745515978
40g,row,V2,70,7.232624097636078,0.35689465320301805,7.310637260541338,6.638363773492982,7.522656590207819,0.04934511297492511
40g,row,V2,100,7.350609602210784,0.4097020487032332,7.346159945505925,6.771935106488715,7.755133739056802,0.05573715254582564
8g,compound,V1,30,2.387169455424344,0.5914634449155871,2.0235807029720907,2.0134735324080077,3.3768447520087266,0.24776768300700644
8g,compound,V1,50,2.3083405554636847,0.3011404774007431,2.228396655612663,1.9577731940941097,2.7708487764405607,0.13045756038378487
8g,compound,V1,70,2.3199480093782348,0.3324000342453103,2.2473134120325717,1.9645441614258992,2.849532577722768,0.14327908767851924
8g,compound,V1,100,2.2674224217165726,0.25213089869809563,2.2208870725620007,2.026280712166347,2.6870548793530227,0.11119714451232146
8g,compound,V2,30,1.8445771962633297,0.28137496213444396,1.746060114446463,1.61720177831208,2.309526155191254,0.15254171129538088
8g,compound,V2,50,1.7524836211167698,0.1313938889877131,1.7630160585118848,1.5815707900144922,1.940609463526422,0.07497581569634434
8g,compound,V2,70,1.7615592172632693,0.1567031898542372,1.7526612463344409,1.5723563537521486,2.0049544810112456,0.08895709455495275
8g,compound,V2,100,1.7587533966709157,0.12593463752955164,1.7484599291544758,1.6090095976462497,1.9545874998412813,0.07160448859284595
8g,row,V1,30,2.3121721291676574,0.41533757277578187,2.200570081993294,1.7577702586761417,2.849022573874555,0.17963090530171572
8g,row,V1,50,2.374768915282714,0.29262682210509644,2.376162721292519,1.9998557815267517,2.666237475418704,0.12322328299899424
8g,row,V1,70,2.334401081903251,0.10520835913010373,2.309311305461324,2.2026776104016745,2.447871424236863,0.04506867305095949
8g,row,V1,100,2.344793651055418,0.05160245828258674,2.3696829730683273,2.25611860288985,2.38289475526523,0.022007249234643693
8g,row,V2,30,1.8892277985833297,0.31095037427936095,1.83128603178537,1.4449335977146545,2.198879899366923,0.16459125496275911
8g,row,V2,50,1.8970522328217723,0.19719653839497142,1.9415423091045994,1.611526826978894,2.122938555793136,0.10394892401125468
8g,row,V2,70,1.8764508641342992,0.09656737467277275,1.9002175724885255,1.748704434144776,1.9751724285163414,0.05146277822591647
8g,row,V2,100,1.8532738530363375,0.04438022882605164,1.8374826578642234,1.8002557113423872,1.9068700788343373,0.023946935178166283
