canonical_smiles,source_smiles,status,conformer_policy,force_field,embedded_conformers,selected_conformer_id,selected_energy,first_conformer_id,first_energy,first_is_minimum,minimum_conformer_id,minimum_energy,energy_range,selected_is_minimum,nonconverged_conformers,rdkit_seed,mean_abs_bond_length_delta,max_abs_bond_length_delta,mean_abs_bond_angle_delta,max_abs_bond_angle_delta,geometry_changed,descriptor_changed,error,seconds
Oc1ccc(I)cc1,C1=CC(=CC=C1O)I,success,lowest_energy,MMFF94,10,6,5.054740925870242,0,5.054740927508096,False,6,5.054740925870242,3.3888163386563974e-09,True,0,65,0.0006040235360463461,0.0013401508331298828,0.004354273571687586,0.06449949741363525,True,False,,0.0577
Oc1ccc(OC(F)(F)F)cc1,C1=CC(=CC=C1O)OC(F)(F)F,success,lowest_energy,MMFF94,10,6,9.979178381698244,0,9.979178382211508,False,6,9.979178381698244,0.10702341061906218,True,0,66,0.0007139709260728625,0.0043294429779052734,0.011553109816785128,0.21276992559432983,True,False,,0.0832
FC(F)(F)Oc1ccc(I)cc1,C1=CC(=CC=C1OC(F)(F)F)I,success,lowest_energy,MMFF94,10,2,21.318934663373398,0,21.318934665249344,False,2,21.318934663373398,1.9626440916908905e-08,True,0,67,0.0010420680046081543,0.0032988786697387695,0.011355006469870513,0.2128070592880249,True,False,,0.0808
Brc1ccc2occc2c1,C1=CC2=C(C=CO2)C=C1Br,success,lowest_energy,MMFF94,10,3,12.53107367639912,0,12.531073691676927,False,3,12.53107367639912,6.599268331797248e-08,True,0,68,1.4156103134155273e-07,4.76837158203125e-07,3.7401914596557617e-06,3.886222839355469e-05,True,False,,0.0677
N#Cc1ccccc1Br,C1=CC=C(C(=C1)C#N)Br,success,lowest_energy,MMFF94,10,3,26.52990764754148,0,26.529907764350714,False,3,26.52990764754148,2.766684659150087e-07,True,0,69,2.0309730812355324e-07,5.960464477539062e-07,3.473833203315735e-06,3.337860107421875e-05,True,False,,0.0557
N#Cc1ccccc1F,C1=CC=C(C(=C1)C#N)F,success,lowest_energy,MMFF94,10,3,21.950338747033634,0,21.950338747936186,False,3,21.950338747033634,8.612317259348856e-08,True,0,70,5.2981906467013886e-08,2.384185791015625e-07,2.3905579981050993e-06,2.2172927856445312e-05,True,False,,0.0582
O=Cc1ccccc1O,C1=CC=C(C(=C1)C=O)O,success,lowest_energy,MMFF94,10,8,25.673242978589013,0,33.54600455066525,False,8,25.673242978589013,7.872761572076239,True,0,71,0.0010212792290581597,0.002330183982849121,0.0018418588136371813,0.0225602388381958,True,False,,0.0647
O=Cc1ccccc1[N+](=O)[O-],C1=CC=C(C(=C1)C=O)[N+](=O)[O-],success,lowest_energy,MMFF94,10,7,38.16203179617027,0,38.1620318051376,False,7,38.16203179617027,2.060938081300641,True,0,72,1.8784494111032196e-07,1.1920928955078125e-06,3.148900701644573e-06,3.147125244140625e-05,True,False,,0.072
BrCc1ccccc1CBr,C1=CC=C(C(=C1)CBr)CBr,success,lowest_energy,MMFF94,10,7,33.869216501553105,0,33.86921664496624,False,7,33.869216501553105,1.562650320490114,True,0,73,4.847844441731771e-07,1.6689300537109375e-06,5.3360348656063985e-06,4.6253204345703125e-05,True,False,,0.0774
Clc1ccccc1I,C1=CC=C(C(=C1)Cl)I,success,lowest_energy,MMFF94,10,1,24.72228413546933,0,24.72228420681456,False,1,24.72228413546933,2.05959484134155e-07,True,0,74,6.953875223795573e-08,2.384185791015625e-07,3.6797102759866153e-06,5.459785461425781e-05,True,False,,0.0529
FC(F)(F)Oc1ccccc1I,C1=CC=C(C(=C1)OC(F)(F)F)I,success,lowest_energy,MMFF94,10,8,29.105582053269284,0,29.34196597450113,False,8,29.105582053269284,0.23638392621915827,True,0,75,0.002309189902411567,0.010498523712158203,0.009343051685477203,0.1231536865234375,True,False,,0.075
O=C(/C=C/c1ccccc1)/C=C/c1ccccc1,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2,success,lowest_energy,MMFF94,10,5,46.29166615571446,0,48.33854454241449,False,5,46.29166615571446,5.3874778503235845,True,0,76,0.001323333808353969,0.006389021873474121,0.009739755094051361,0.1282913088798523,True,False,,0.1938
O=C(/C=C/c1ccccc1)c1ccccc1,C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2,success,lowest_energy,MMFF94,10,8,60.60733433505286,0,61.85255440528435,False,8,60.60733433505286,2.986181253989024,True,0,77,0.0018488121032714843,0.009172439575195312,0.007928575906488631,0.11023867130279541,True,False,,0.1581
