column,protocol,seed,method,n_test,scale_V1,scale_V2,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_nrmse_train_only,combined_nrmse_source_scale
25g,row,536279090,paper_style_current_v2,74,10.301926055581317,17.939355788613415,9.110250888056642,4.7527877499999995,-0.14591103147149287,13.812179174374368,7.042253756756756,0.28264587777687766,0.8291061979510014,1.0185480329463346
25g,row,536279090,HIER_CW_SHARED_LAMBDA_CORRECTED,74,10.301926055581317,17.939355788613415,10.62894733393563,5.039050461470422,-0.5598065372949117,13.611237992493095,7.912006223134795,0.3033663531051193,0.9055870014621681,1.1261393440254825
25g,row,536279090,BALANCED_JOINT_FULL128,74,10.301926055581317,17.939355788613415,9.692498394806687,5.035681771447024,-0.29706488325309266,13.442905716700377,7.484678486951357,0.3204905565541003,0.8505044744292882,1.0517280644960094
25g,row,2767143051,P0,83,9.797597794994966,18.02158126070433,6.604763305172775,4.599079265060241,0.6373816148618314,9.679087927354267,7.401347072289157,0.6511084922937269,0.6094657583597194,0.729749053984469
25g,row,2767143051,P1,83,9.797597794994966,18.02158126070433,6.665428460578789,4.696949939759036,0.630689678289441,9.366704507263785,7.253018313253013,0.6732653694910451,0.6053777650701339,0.7262965407441454
25g,row,2767143051,P2,83,9.797597794994966,18.02158126070433,6.882365835419904,4.864492078313253,0.6062588451794526,9.386895055824215,7.118416506024096,0.6718552552934176,0.6183637351023039,0.7429044336997556
25g,row,2767143051,P3,83,9.797597794994966,18.02158126070433,7.112430012431234,5.189112307228917,0.5794948544571207,9.396044582423402,7.219609228915664,0.6712152497802066,0.6319879712720011,0.7603733072768529
25g,row,2767143051,paper_style_current_v2,83,9.797597794994966,18.02158126070433,6.610322984583623,4.599930156626506,0.6367708767031357,9.654902498891754,7.38536873493976,0.6528498853688851,0.6091890713414531,0.7295346014251538
25g,row,2767143051,HIER_CW_SHARED_LAMBDA_CORRECTED,83,9.797597794994966,18.02158126070433,6.533583148942936,4.379779632944305,0.6451554432561407,9.113799693070979,6.895009484352394,0.6906711074330515,0.5917959789094178,0.7102470280364946
25g,row,2767143051,BALANCED_JOINT_FULL128,83,9.797597794994966,18.02158126070433,6.603043671781814,4.440998068004878,0.6375704148164119,9.360424706625137,7.097048906568601,0.6737033336709219,0.601655771340065,0.7215353872946813
25g,row,1362771960,P0,86,10.259401579850746,18.220320645104763,5.660883268851748,3.95977084883721,0.6375283310567367,9.036038138912584,6.1262656162790705,0.6812164448257347,0.5245971339161405,0.6449961624475092
25g,row,1362771960,P1,86,10.259401579850746,18.220320645104763,5.499042108424271,3.8184682558139538,0.6579577466226524,8.784122584335641,5.983214197674418,0.6987433969242245,0.5097657886330845,0.6267301351404262
25g,row,1362771960,P2,86,10.259401579850746,18.220320645104763,5.56584134217413,3.8639237383720935,0.6495974056007385,8.544726747713755,5.990952348837208,0.7149400812573381,0.5070741768754498,0.6250738308840174
25g,row,1362771960,P3,86,10.259401579850746,18.220320645104763,5.7344400588042825,4.179640412790697,0.6280473104869657,8.566678017069423,6.111623906976744,0.7134735710084016,0.516469145668613,0.6377982007170104
25g,row,1362771960,paper_style_current_v2,86,10.259401579850746,18.220320645104763,5.660511443624723,3.9586068895348827,0.6375759461294832,9.03777499935986,6.132694337209302,0.6810938832002287,0.5246231365446201,0.645016960807611
25g,row,1362771960,HIER_CW_SHARED_LAMBDA_CORRECTED,86,10.259401579850746,18.220320645104763,5.3886003862526515,3.872145356961947,0.6715588045580465,8.875625909689587,6.375998880816418,0.6924343872919206,0.5065400927826594,0.6214768904079406
25g,row,1362771960,BALANCED_JOINT_FULL128,86,10.259401579850746,18.220320645104763,5.583299390696593,4.133121566128522,0.6473957835715076,8.671023117429668,6.10451152493284,0.7064510797560231,0.5111981660289068,0.6296753674128076
40g,row,769539383,P0,87,27.53007024425043,38.12031887325738,16.59118717043451,10.681056252873567,0.49391894338212017,18.175633525181638,12.865502494252873,0.6881718777065768,0.5433830282818045,1.6899146056555625
40g,row,769539383,P1,87,27.53007024425043,38.12031887325738,15.394137220364655,8.994640183908045,0.5643117349362102,16.89692387825023,11.453598298850574,0.7305045360001736,0.5045541641554018,1.5686677172897823
40g,row,769539383,P2,87,27.53007024425043,38.12031887325738,15.739191189570311,9.54311351724138,0.5445612512390534,17.527616400044412,12.321409942528739,0.7100107595092756,0.5187796990087661,1.6091087336536376
40g,row,769539383,P3,87,27.53007024425043,38.12031887325738,16.198613422927732,9.538580310344827,0.5175849610889983,18.29050604082138,12.96881064367816,0.6842178283470466,0.5368559749427068,1.6614013041851148
40g,row,769539383,paper_style_current_v2,87,27.53007024425043,38.12031887325738,14.474785851485743,7.819261609195403,0.6147971867377771,15.961347115154641,10.290737839080458,0.7595220564007742,0.4752701297112936,1.4765203362717212
40g,row,769539383,HIER_CW_SHARED_LAMBDA_CORRECTED,87,27.53007024425043,38.12031887325738,16.480874578355927,9.734326534733238,0.5006263018211123,16.957175281968734,12.171558628939142,0.7285791642471307,0.5273794280929682,1.6563866939738776
40g,row,769539383,BALANCED_JOINT_FULL128,87,27.53007024425043,38.12031887325738,15.80192125142754,8.337554799053294,0.5409236266389148,16.665798719281067,10.804584249051846,0.7378267188679455,0.5101942857179828,1.5962941999365101
40g,row,1425370602,P0,96,26.669398847488242,36.19778223791274,16.609533428220686,10.815297739583334,0.6041599000688356,21.43465233361628,14.569476791666666,0.70436320378963,0.6076668675488911,1.763647526678169
40g,row,1425370602,P1,96,26.669398847488242,36.19778223791274,15.921513491112808,9.27421778125,0.63627460859952,20.248549674091834,13.040492479166666,0.7361765207590233,0.5784967408433951,1.6836165455670646
40g,row,1425370602,P2,96,26.669398847488242,36.19778223791274,16.833378551737717,10.544991697916666,0.5934186050499382,22.067696289257608,15.299769166666666,0.6866428588825646,0.6205081375180076,1.7955537985319079
40g,row,1425370602,P3,96,26.669398847488242,36.19778223791274,15.98366021478945,9.5542930625,0.6334295954834143,17.899890615397627,11.323450729166666,0.7938295808376719,0.5494197454291782,1.636214622206813
40g,row,1425370602,paper_style_current_v2,96,26.669398847488242,36.19778223791274,16.028232200156882,8.767093364583333,0.631382310742739,19.06873193872977,11.788728020833332,0.7660251233169535,0.5651142501922486,1.665017282696797
40g,row,1425370602,HIER_CW_SHARED_LAMBDA_CORRECTED,96,26.669398847488242,36.19778223791274,16.663705709577584,10.194597136303463,0.6015736106186074,20.513366759834412,14.49594948934669,0.7292306580314831,0.5964720112433969,1.7464833233767285
40g,row,1425370602,BALANCED_JOINT_FULL128,96,26.669398847488242,36.19778223791274,15.664543406332895,9.228892801433142,0.6479207726311516,19.78664185831884,13.377716589505397,0.7480758593172108,0.567358693337549,1.6533076434849674
40g,row,536279090,P0,100,26.945816162169994,37.38359675564294,12.84954950203557,9.921538029999999,0.7194216732452339,15.592831918235882,11.632346039999998,0.786239033720572,0.44798258093810583,1.3416396919501208
40g,row,536279090,P1,100,26.945816162169994,37.38359675564294,10.905471101034028,8.0931598,0.797899596877599,14.195043916849817,9.760605139999997,0.822845621782848,0.392415072036706,1.1608394838899598
40g,row,536279090,P2,100,26.945816162169994,37.38359675564294,13.103672206888648,9.18199397,0.7082140618694608,16.724393070471926,11.929430199999999,0.7540883287611315,0.4672403127779162,1.3870307080678823
40g,row,536279090,P3,100,26.945816162169994,37.38359675564294,10.90385923711161,7.652525639999999,0.7979593346498443,16.54157530973801,10.439124119999999,0.7594351660054327,0.4239924233990803,1.2193423023160532
40g,row,536279090,paper_style_current_v2,100,26.945816162169994,37.38359675564294,10.109055726062499,7.716983490000001,0.8263401192293771,15.201236769767034,10.58797157,0.7968409113176415,0.39121192831043133,1.1269398156904662
40g,row,536279090,HIER_CW_SHARED_LAMBDA_CORRECTED,100,26.945816162169994,37.38359675564294,10.125387651738098,7.286441157308428,0.825778545252948,14.704516936227316,10.769356321751461,0.809900955994548,0.3846553007985539,1.1153101984535154
40g,row,536279090,BALANCED_JOINT_FULL128,100,26.945816162169994,37.38359675564294,8.961009332497559,6.655142618771232,0.8635441444945213,13.380811790551693,9.620938896026264,0.8425860077968692,0.34547772668312543,0.9965081429185637
40g,row,2767143051,P0,90,27.410538705005465,38.15766951836901,14.514977192117675,11.247495677777778,0.6334708162268025,16.710338837144107,13.285397333333334,0.721747219116606,0.48589823188367454,1.4956055095640737
40g,row,2767143051,P1,90,27.410538705005465,38.15766951836901,12.289564413339532,9.03734758888889,0.7372463094962267,14.132188848406013,10.353242255555555,0.8009840584821837,0.4112104617778284,1.265952811024606
40g,row,2767143051,P2,90,27.410538705005465,38.15766951836901,15.427887726206965,10.901958666666667,0.5859156817896465,17.285154333945325,12.267842466666666,0.702274849038635,0.5108802258527393,1.5794835993361704
40g,row,2767143051,P3,90,27.410538705005465,38.15766951836901,13.653920620308906,9.818533444444446,0.6756674089685599,15.999948677724548,11.366020255555556,0.7449025131013948,0.4604086778985281,1.4129958991469973
40g,row,2767143051,paper_style_current_v2,90,27.410538705005465,38.15766951836901,10.819079198636862,7.548342322222221,0.7963631154332349,12.964650574050788,9.507497611111111,0.8325093248831462,0.36826114559337775,1.1259601622489461
40g,row,2767143051,HIER_CW_SHARED_LAMBDA_CORRECTED,90,27.410538705005465,38.15766951836901,12.297221356205098,7.979866188934501,0.7369187931292509,15.947116781932507,11.130807610291026,0.7465843975989692,0.4335509215738042,1.3075796968030726
40g,row,2767143051,BALANCED_JOINT_FULL128,90,27.410538705005465,38.15766951836901,11.110141936288716,7.3682788985481,0.7852589567059484,15.073916389144758,10.575341990992225,0.773576653430319,0.40021633060995954,1.1973299630836756
40g,row,1362771960,P0,87,26.38002974445003,35.99015801596549,17.10204254392049,11.494042091954022,0.6118212235219707,19.86774895395361,13.917282873563218,0.7486882303581089,0.6020908215369108,1.766057176503337
40g,row,1362771960,P1,87,26.38002974445003,35.99015801596549,15.211172834456011,9.342566034482758,0.6929131470197955,17.554860848936936,12.021903034482758,0.8037949037495064,0.5340435924307659,1.5682715761318706
40g,row,1362771960,P2,87,26.38002974445003,35.99015801596549,16.98307483092809,10.625285045977012,0.6172030504658258,19.958710816578648,14.705120425287356,0.7463817670566814,0.6008313203070582,1.7587812189147418
40g,row,1362771960,P3,87,26.38002974445003,35.99015801596549,13.581958246415976,7.827296574712646,0.7551722711059597,15.965771126172214,11.14478140229885,0.8377086774439125,0.48055828223020575,1.4066486450796718
40g,row,1362771960,paper_style_current_v2,87,26.38002974445003,35.99015801596549,14.114413126354629,8.084523586206894,0.7355999871697524,16.287930074417332,11.039848701149424,0.8310931380784737,0.495522803159498,1.4551699947618149
40g,row,1362771960,HIER_CW_SHARED_LAMBDA_CORRECTED,87,26.38002974445003,35.99015801596549,16.170994657022316,9.49427669733067,0.6529362227292052,19.055174515047444,14.210092079266598,0.7688247360835856,0.5727536332317321,1.6757985507998323
40g,row,1362771960,BALANCED_JOINT_FULL128,87,26.38002974445003,35.99015801596549,15.584985004799243,9.237203503317323,0.677634468411098,17.888752671262452,12.84313701563826,0.7962603198062926,0.5459322191174297,1.604704212266125
