repetition_seed,phase,candidate_id,member_seed,fit_seed,train_rows,validation_rows,validation_ids_hash,frozen_unchanged,trainable_changed,best_epoch,epochs_run,fit_seconds,checkpoint_sha256
4602,candidate,135ac7deca522d1e7929,525,46020525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,42,142,9.071803249884397,fd20ca2b5ef2b7e53a4fd6eaabf877577e6608f9f85b38cf75df5fe3973c2dab
4602,candidate,135ac7deca522d1e7929,1101,46021101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,110,210,14.305536458967254,ae7a57e40cd9c18f2b5261073adb6738561212bf6128246bcd1bea9e9f9ea59e
4602,candidate,474238f822b0c38795c6,42,46020042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,81,181,11.380375625099987,9427a45c223ad22bb759922ace3e2d8fa8dda34b0044f0f4c8a82119712520f2
4602,candidate,474238f822b0c38795c6,525,46020525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,47,147,8.87150187510997,e52b548fa257c50c76cc375cba0f847efc723c3ce3846eedaa24a92a14184ded
4602,candidate,474238f822b0c38795c6,1101,46021101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,77,177,11.571917583001778,150e98982611d52a2c2423b1501bd595cb90fdbfd4953264bb71255f58cde29a
4602,candidate,c883df6ea04f89f45f03,42,46020042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,72,172,10.323862958000973,aa3052cd76f122f8d0ba06894e81270ef6e94aee350ce5dacf4361a76404f7e0
4602,candidate,c883df6ea04f89f45f03,525,46020525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,48,148,9.477162583963946,e9318659daa16e14fb8fdb8acb72b7dc4cee69d9dcd80bae6602f669b0b735f4
4602,candidate,c883df6ea04f89f45f03,1101,46021101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,76,176,11.602946375031024,1dd18e1bc3cf0faf1ed3c44ff2812e5a2a2e5e2f01a7d114af6633404733a942
4602,candidate,d67e364fd6830aa2bf6f,42,46020042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,73,173,10.314224374946207,647be7c6a49577f6984d9208abfaa084d70562e860e4d57062428fa2a29c1644
4602,candidate,d67e364fd6830aa2bf6f,525,46020525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,50,150,9.64674466685392,ad5fefd64e713f97c3e9ade8a3fd49bc7e7ace6e18ef46b71b61910ff3351607
4602,candidate,d67e364fd6830aa2bf6f,1101,46021101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,74,174,11.797982084099203,bb7062eff511bf3e85251ffcc079fe2218ca23a8f263b59374194daf68413f72
4602,candidate,3a02b99399bb0c3e9ff9,42,46020042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,72,172,9.975216542137787,0794c10f922c4bcdb2ec7fc45a5902402f733cb4a76e60d9f9db54b0fc66ba02
4602,candidate,3a02b99399bb0c3e9ff9,525,46020525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,49,149,9.38471454102546,b10e0139a594cf44b42c3380b86a9071c2da591e2f61b3b7aefa53036b8e2c85
4602,candidate,3a02b99399bb0c3e9ff9,1101,46021101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,76,176,11.91725583304651,2d57ed2a98ea48d6130ff8361d10fcde067428b379818a1aab22a91acccac7f3
4602,candidate,d31d42caff135d7154c4,42,46020042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,99,199,13.083964708028361,4fc8359eb773ae32b9534a1b9c0b1632e81aa7c18e17190995aca7a907ab7155
4602,candidate,d31d42caff135d7154c4,525,46020525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,70,170,11.326163666089997,b044f0dc8569b7a3ef52754dd746866f5e63a2d3f5573ec75943d3a57681081d
4602,candidate,d31d42caff135d7154c4,1101,46021101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,116,216,14.94066287507303,34e57208abb57af49eeb6c3878c4fef241552b28846a13c4ed544669c1f04ec2
4602,candidate,c7bc53c45a1962a88ec3,42,46020042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,83,183,11.507307040970773,4174856163005b93fb5c0ea2e5bebb3364a96c43bcb7ae53b34b94a8d678cf63
4602,candidate,c7bc53c45a1962a88ec3,525,46020525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,47,147,9.477029792033136,469b56ee6d5248c86b58a735602c83934eb2b04c781e986e72947c22a97014af
4602,candidate,c7bc53c45a1962a88ec3,1101,46021101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,113,213,14.55959479114972,554fe05e86ce4ba3a75d840d4e5c10a086b1db380fb1b9358e0e80573e061944
4602,candidate,41a468134f078d2de17d,42,46020042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,309,409,24.768217208096758,6ea81eabc36e8d40fdd844229338bd1d5f8987283d168ead8d5d402f9ebb2fe0
4602,candidate,41a468134f078d2de17d,525,46020525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,46,146,9.249110416974872,60e92835685e403d64eaf818434456544574bb5fdbfc741208c77db1511caa2d
4602,candidate,41a468134f078d2de17d,1101,46021101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,110,210,13.621270999778062,0292d14348856a971903becbcca255bdda500576738d0dae589d080286cab663
4602,candidate,31d92ca6486b229184cf,42,46020042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,73,173,10.136565542081371,c14b2532f516ca579421574119bf92e8ae98e1ee98e5a28d1cc8bad891e544b0
4602,candidate,31d92ca6486b229184cf,525,46020525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,48,148,9.123252165969461,f3a937e47a5b59cee6985ea1b461cccec85508f5b65a729c0a3754552dfd6266
4602,candidate,31d92ca6486b229184cf,1101,46021101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,72,172,11.067286999896169,c1808ce494eaccc35f173f8bc458ba5a4faa24b317a10d07acda102929bb0a25
4602,candidate,640353c89b3ce64ee98b,42,46020042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,83,183,11.108401542063802,ea56eeb268a114f39204cbe7316c7ca1067ecac546248fb871d5627abbc4afe1
4602,candidate,640353c89b3ce64ee98b,525,46020525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,50,150,9.482925083953887,318ab471062f53301a5cc5c9dcb9098916e1ef28cf547a9614edb98d692bd58a
4602,candidate,640353c89b3ce64ee98b,1101,46021101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,75,175,10.941301750019193,7377226cc2b2c4f6966663016639cb4d9a176fdaa85a506293283b3e7194d2b0
4602,candidate,194278dd9ee3d2407ed5,42,46020042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,109,209,13.780786915915087,feca374dd7e9831e6be37c4ffd810b13a435e95a5e07289a635eaece408f99cf
4602,candidate,194278dd9ee3d2407ed5,525,46020525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,47,147,8.728527500061318,0d46030dfdca2851d8cfdaf776b6fb235d9a42d6f7983043a9f31b13bd825d1e
4602,candidate,194278dd9ee3d2407ed5,1101,46021101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,113,213,13.593293166020885,cb532ea49ce4c7db3dbb080b0209b9f245052a90cc751a0f7822819e11ac9422
4602,candidate,88f58ab7b7cf02f8f134,42,46020042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,246,346,19.887994916178286,0e9bcf41269307ac261cf653b75fb23020c16ea2da863ca0a6cad2a0c8c04e91
4602,candidate,88f58ab7b7cf02f8f134,525,46020525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,51,151,9.572068250039592,f54ca205c56fce25776f6e623258378c3d03f0526480799de946c5905ab1ec48
4602,candidate,88f58ab7b7cf02f8f134,1101,46021101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,79,179,11.24190904200077,b60161a9a5014b18a9e95d46c5c0b287c6d390811b12815bd55b724e9bae8568
4602,candidate,08820514e662ce6ea8f0,42,46020042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,85,185,11.484885584097356,3059f2af64dd0c8fc9debe5424620f37ee83baecbe7049b965fa4698746cd88f
4602,candidate,08820514e662ce6ea8f0,525,46020525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,49,149,9.224975457880646,1b374365b89b7d5eb62e646a47a6d6d83bff077229d7ddbcf028e30a472c4635
