strategy,outer_seed,round,labeled_total,row_weighted_nrmse,test_unique_compounds,compound_macro_V1_mae,compound_macro_V1_nrmse,compound_macro_V2_mae,compound_macro_V2_nrmse,compound_macro_mae,compound_macro_nrmse
hybrid,525,1,400,0.8673723718549435,23,3.1254440959965,0.674209359662427,5.894337806571527,0.6081093743139506,4.509890951284014,0.6411593669881888
hybrid,525,2,425,0.8046454665607148,23,2.9447430160282404,0.641337374540855,6.291170148035645,0.6263640960096722,4.617956582031943,0.6338507352752636
hybrid,525,3,450,0.8455604173215403,23,2.931969827395029,0.6252085047936382,5.955444374492709,0.5908875340523517,4.443707100943869,0.6080480194229949
hybrid,525,4,475,0.8362966631354263,23,2.6453974365710913,0.5902319629120231,6.1890070720692,0.6188484437938103,4.417202254320145,0.6045402033529167
hybrid,525,5,500,0.8173864725618127,23,2.840886363525162,0.6162228414685184,5.3561109107164615,0.5466496756207071,4.098498637120812,0.5814362585446127
hybrid,525,6,525,0.824428465244857,23,2.849740426390986,0.6081171395284944,5.571281106022418,0.5574822832342307,4.210510766206702,0.5827997113813626
hybrid,525,7,550,0.8528309077379767,23,2.851967471157882,0.6271177975290059,5.526535411162217,0.5606435273537053,4.189251441160049,0.5938806624413555
hybrid,525,8,575,0.811581146945487,23,2.7092125130556513,0.5944907251844737,5.485923141713495,0.5551285782093528,4.097567827384573,0.5748096516969132
random,525,0,375,0.8387376970964521,23,2.912234964013938,0.6430837581685092,5.634151486062154,0.590418826102926,4.273193225038046,0.6167512921357176
random,525,1,400,0.8608604315440831,23,2.8485766153570258,0.6290632519896476,5.606604120840404,0.5947189760444304,4.227590368098715,0.611891114017039
random,525,2,425,0.8946838109806612,23,3.0604040521890643,0.6490476151789382,5.9046083523643125,0.6085786165881794,4.482506202276689,0.6288131158835588
random,525,3,450,0.8871159162674878,23,3.4061454362464794,0.7110336973399798,6.116401885330798,0.6347784490174819,4.761273660788639,0.6729060731787309
random,525,4,475,0.906953988910178,23,3.534381665729214,0.7438288969513498,6.394564353057875,0.6502531429593382,4.9644730093935445,0.6970410199553441
random,525,5,500,0.8895145945039071,23,3.4276392046169506,0.7216907388637459,6.209514124863565,0.6365402565356042,4.818576664740258,0.679115497699675
random,525,6,525,0.8958467064066179,23,3.5297799722686483,0.7323693210715838,6.41504737713558,0.6413697212056162,4.972413674702114,0.6868695211386
random,525,7,550,0.8810060921646761,23,3.231107283910723,0.6976150133495819,6.044306635573888,0.6242603394285745,4.637706959742306,0.6609376763890782
random,525,8,575,0.9229830416407091,23,3.561213801757636,0.7589776149716204,6.42062103900643,0.663071989172161,4.990917420382033,0.7110248020718908
coverage,1101,0,375,0.9359322254614681,25,3.96405827200546,0.7442554002197257,8.20698999361608,0.7875758920952595,6.08552413281077,0.7659156461574925
coverage,1101,1,400,0.9340459911570889,25,3.827861458792254,0.7202658006800697,8.448231654667527,0.7988784136761066,6.138046556729891,0.7595721071780881
coverage,1101,2,425,0.8060903334249643,25,3.355006770925296,0.6229387497821619,8.083174643710196,0.7408738505213318,5.719090707317746,0.6819063001517469
coverage,1101,3,450,0.8478851249165769,25,3.457898307240732,0.6481031253779839,7.485373821584,0.7108642510550187,5.471636064412366,0.6794836882165013
coverage,1101,4,475,0.7706473350120171,25,3.161571597323584,0.6096009935595519,6.603483998856505,0.6463359749699711,4.882527798090044,0.6279684842647615
coverage,1101,5,500,0.7206917108599835,25,3.0632774338497115,0.5751097420313983,6.067930348287769,0.5912278652381321,4.56560389106874,0.5831688036347652
coverage,1101,6,525,0.7623107066130451,25,3.1743490733082234,0.6105813131698064,6.30691243052246,0.6267198155995106,4.740630751915342,0.6186505643846585
coverage,1101,7,550,0.8405035978787316,25,3.183543451507297,0.6270738041519058,6.8056863522065365,0.6725657332441902,4.994614901856917,0.649819768698048
coverage,1101,8,575,0.7853321959937554,25,3.1230061703180887,0.6146043263025078,6.264742361929179,0.6383207654819344,4.693874266123634,0.6264625458922211
ensemble,1101,0,375,0.9359322254614681,25,3.96405827200546,0.7442554002197257,8.20698999361608,0.7875758920952595,6.08552413281077,0.7659156461574925
ensemble,1101,1,400,0.8949403164399348,25,3.6468859379629457,0.6901828031063328,8.398996883953355,0.7765852524706895,6.0229414109581505,0.7333840277885112
ensemble,1101,2,425,0.8991462296415264,25,3.682429551457214,0.6955427448561043,7.989717936530711,0.7497708003089919,5.836073743993962,0.7226567725825481
ensemble,1101,3,450,0.899655685791975,25,3.5045262553341696,0.6815210458974346,7.5190623150850096,0.7499838893192455,5.511794285209589,0.71575246760834
ensemble,1101,4,475,0.9900463364852023,25,3.7122513360482983,0.7176650316958856,8.443932013174056,0.813933839422807,6.078091674611177,0.7657994355593463
ensemble,1101,5,500,0.9424870416431248,25,3.798758940496803,0.7213988738376016,8.42216107773937,0.8028413621919421,6.1104600091180865,0.7621201180147719
ensemble,1101,6,525,0.8709805931713501,25,3.421217840624867,0.6669235262805151,7.121138956272221,0.710216703198727,5.271178398448544,0.688570114739621
ensemble,1101,7,550,0.8698396070746686,25,3.341035708894554,0.647308664901347,6.9100224032779805,0.6849103775700053,5.125529056086267,0.6661095212356761
ensemble,1101,8,575,0.8821443942916438,25,3.4069218432129635,0.6537128455851275,7.467770843833795,0.7239288247101203,5.437346343523379,0.6888208351476239
hybrid,1101,0,375,0.9359322254614681,25,3.96405827200546,0.7442554002197257,8.20698999361608,0.7875758920952595,6.08552413281077,0.7659156461574925
hybrid,1101,1,400,0.9525662899111409,25,3.9417046836178797,0.742965650183553,8.627366232166558,0.8060376744938993,6.284535457892219,0.7745016623387262
hybrid,1101,2,425,0.8560849938018477,25,3.614032821454435,0.6487140691561586,8.179037645925105,0.7422303133084799,5.89653523368977,0.6954721912323192
hybrid,1101,3,450,0.7746265700502335,25,3.3775900670215457,0.6091712704454426,7.389582248618027,0.6711606548570564,5.383586157819787,0.6401659626512495
hybrid,1101,4,475,0.6269120791815038,25,2.6636529811585774,0.4933926151073873,5.965987722415693,0.5452290497945484,4.3148203517871355,0.5193108324509679
hybrid,1101,5,500,0.6854466924161693,25,2.908211214717911,0.5434754647429307,6.059216641514415,0.5597229142206295,4.483713928116163,0.5515991894817801
hybrid,1101,6,525,0.6833293614475469,25,2.74286523035543,0.5200730656789083,5.935617279414933,0.5526168257294887,4.339241254885181,0.5363449457041984
