strategy,outer_seed,round,labeled_total,train_labeled,validation_labeled,V1_mae,V1_rmse,V1_r2,V2_mae,V2_rmse,V2_r2,nrmse,test_rows
coverage,525,5,500,443,57,3.133856724021144,5.929247650608094,0.21434476249745782,6.037697881322093,11.24986371818013,0.4090647955507145,0.8913668504312893,416
coverage,525,6,525,468,57,3.1428251344556535,5.527258926549484,0.3172645568080573,5.728502736757312,10.670400794211846,0.46837327431083753,0.8379327185339773,416
coverage,525,7,550,493,57,2.9650390250991077,5.178352867033373,0.40073886580581664,5.664001111760423,10.080458162810459,0.5255331400726417,0.7882320991924537,416
coverage,525,8,575,518,57,3.277915067783439,5.790339379427833,0.2507256462312766,6.124671382652708,11.477870772442284,0.38486845035797823,0.8892572209814338,416
ensemble,525,0,375,318,57,2.9589582060201045,5.563559240051518,0.3082673689067612,5.470873607611507,10.61745914823006,0.47363556438988297,0.8387376970964521,416
ensemble,525,1,400,343,57,2.985950163293343,5.21917875846304,0.39125252428030133,5.452577520823988,9.310679783792528,0.5952301818595641,0.7620133140563901,416
ensemble,525,2,425,368,57,3.0374991979354466,5.343624536797903,0.361876556021811,5.594919512794492,9.831357883961596,0.5486927065608121,0.7915891841203617,416
ensemble,525,3,450,393,57,2.8329799976307326,5.122589102497183,0.41357581596393844,5.54537638606211,9.654242960300799,0.5648071124663261,0.7676123044938691,416
ensemble,525,4,475,418,57,3.496334544766712,5.948451463140028,0.209247316812313,6.363395148324661,10.888367649412006,0.4464321061032729,0.8790566879092525,416
ensemble,525,5,500,443,57,3.3332210500079853,5.492221618152178,0.32589284590434286,5.761212398770121,10.14185677909228,0.5197357196753021,0.8150190017819745,416
ensemble,525,6,525,468,57,2.926223535606494,5.344575685545713,0.3616493677797653,5.869382086370148,10.382776999587355,0.4966473105558853,0.8127220969135021,416
ensemble,525,7,550,493,57,3.0325553603635154,5.413064683302149,0.34518402932843806,5.604698246430892,10.412593289267965,0.49375219703382955,0.8191942701908508,416
ensemble,525,8,575,518,57,2.9096828815091444,5.2382321905336955,0.38679975471434147,5.868814112076861,10.240203620193544,0.5103761940033487,0.7989958362504078,416
hybrid,525,0,375,318,57,2.9589582060201045,5.563559240051518,0.3082673689067612,5.470873607611507,10.61745914823006,0.47363556438988297,0.8387376970964521,416
hybrid,525,1,400,343,57,3.13828883416091,5.711862946708922,0.27089783787932853,5.805748675763606,11.064843788953441,0.42834248810763964,0.8673723718549435,416
hybrid,525,2,425,368,57,2.9941492726500982,5.156417583752283,0.40580500259571084,5.9948827298931855,10.55496507068275,0.47981366234343303,0.8046454665607148,416
hybrid,525,3,450,393,57,3.004164885522989,5.396855566289068,0.34909977680804105,5.809875600388551,11.136034376824416,0.4209627988776672,0.8455604173215403,416
hybrid,525,4,475,418,57,2.7491714243705454,5.1984442100570805,0.3960797326537815,6.01524710735953,11.29804533825048,0.4039921675590191,0.8362966631354263,416
hybrid,525,5,500,443,57,2.985252193701812,5.300427502324553,0.3721518380730032,5.37682168667133,10.594934489831056,0.47586653182854466,0.8173864725618127,416
hybrid,525,6,525,468,57,3.0225059296796246,5.361227935777098,0.35766531548071734,5.664803322558549,10.655349025118774,0.4698720519254286,0.824428465244857,416
hybrid,525,7,550,493,57,2.983007911841075,5.413624571767322,0.3450485634174578,5.511826958564612,11.29221627563849,0.40460701209991456,0.8528309077379767,416
hybrid,525,8,575,518,57,2.816870057917176,5.222724888906056,0.39042502577489724,5.416632531606469,10.601366822910991,0.4752299211045711,0.811581146945487,416
random,525,0,375,318,57,2.9589582060201045,5.563559240051518,0.3082673689067612,5.470873607611507,10.61745914823006,0.47363556438988297,0.8387376970964521,416
random,525,1,400,343,57,2.8685441145494295,5.71332385934989,0.27052482795544,5.447280475164664,10.89135176560993,0.44612863778971434,0.8608604315440831,416
random,525,2,425,368,57,3.106563333869416,5.972644407782495,0.2028020968723212,5.726917666118842,11.248227205144227,0.40923670924670463,0.8946838109806612,416
