column,protocol,seed,planned_budget,actual_budget,portfolio_planned_budget,portfolio_actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,all_outputs_finite,normalized_rmse
25g,compound,2767143051,30,30,90,88,target_head_only,0.48313283912800953,29.19664495411386,17.521041000000004,0.3239388689006224,51.80430889582935,34.37313833333333,3.4722464512303843,True,3.463839394049341
25g,compound,2767143051,30,30,90,88,monotone_spline,0.8623453194976024,15.067422625523172,8.995183041843068,0.8746673976755525,22.30513874531599,12.857945782497044,1.6705477453447406,True,1.6498144359340743
25g,compound,2767143051,30,30,90,88,nonlinear_policy,0.8623453194976024,15.067422625523172,8.995183041843068,0.8746673976755525,22.30513874531599,12.857945782497044,1.6705477453447406,True,1.6498144359340743
25g,compound,2767143051,30,30,90,88,linear_policy,0.8618084531482008,15.096776223739152,8.975136937841993,0.8746152896093264,22.309775036447906,13.244560033596455,1.672800119807663,True,1.6518212490683502
25g,compound,2767143051,30,30,90,88,shared_column_affine,0.8618084531482006,15.096776223739154,8.975136937841993,0.8746152896093263,22.30977503644791,13.244560033596466,1.6728001198076632,True,1.6518212490683504
25g,compound,2767143051,30,30,90,88,local_identity_shrinkage,0.8618084531482006,15.096776223739154,8.975136937841993,0.8746152896093263,22.30977503644791,13.244560033596466,1.6728001198076632,True,1.6518212490683504
25g,compound,2767143051,50,48,150,145,scale_only,0.8596947245904852,15.211795518645467,9.610630528489851,0.8841220253416396,21.44733564379924,14.319463522996239,1.659315080760466,True,1.6322967757928724
25g,compound,2767143051,50,48,150,145,affine,0.8506840494222723,15.692660539653993,9.740235860861715,0.8821030330065835,21.633371922402237,13.291022840960212,1.6995603152691219,True,1.6685958020971898
25g,compound,2767143051,50,48,150,145,target_head_only,0.47294595341047996,29.482958057343087,17.600926247126434,0.32066599442060206,51.92955222616648,34.230311379310336,3.495271803344423,True,3.4859024829353578
25g,compound,2767143051,50,48,150,145,monotone_spline,0.8502833209355054,15.713704113808074,9.712120399054188,0.8808770244004497,21.745563545116696,13.059640618547892,1.703890430114044,True,1.6734204149397063
25g,compound,2767143051,50,48,150,145,nonlinear_policy,0.8502833209355054,15.713704113808074,9.712120399054188,0.8808770244004497,21.745563545116696,13.059640618547892,1.703890430114044,True,1.6734204149397063
25g,compound,2767143051,50,48,150,145,linear_policy,0.8506840501258913,15.692660502679862,9.740235851292832,0.8821030339652082,21.63337183445136,13.291022810077509,1.6995603103540993,True,1.6685957970156293
25g,compound,2767143051,50,48,150,145,shared_column_affine,0.8506840501258911,15.692660502679876,9.740235851292846,0.8821030339652082,21.63337183445136,13.291022810077509,1.6995603103541002,True,1.6685957970156302
25g,compound,2767143051,50,48,150,145,local_identity_shrinkage,0.8506840501258911,15.692660502679876,9.740235851292846,0.8821030339652082,21.63337183445136,13.291022810077509,1.6995603103541002,True,1.6685957970156302
25g,compound,2767143051,70,69,210,211,scale_only,0.8613010235571463,15.124467974033575,9.682626148525175,0.8842336572168417,21.437002432505565,14.15333576733782,1.6526147307308114,True,1.626434072083467
25g,compound,2767143051,70,69,210,211,affine,0.8670751378232199,14.806301474758891,8.696059693972808,0.8880733319700265,21.078499320215304,12.34837281773097,1.6201730457553214,True,1.5950950637396346
25g,compound,2767143051,70,69,210,211,target_head_only,0.47417173390197265,29.448653537534817,17.41839635632184,0.3215184114927132,51.89696182794779,34.05795648275862,3.492004988083587,True,3.4827121029683528
25g,compound,2767143051,70,69,210,211,monotone_spline,0.8670052362209562,14.81019408050597,8.682089258395319,0.8866771018667672,21.20956379884187,12.167325099877312,1.62376458215208,True,1.5994183400214663
25g,compound,2767143051,70,69,210,211,nonlinear_policy,0.8670052362209562,14.81019408050597,8.682089258395319,0.8866771018667672,21.20956379884187,12.167325099877312,1.62376458215208,True,1.5994183400214663
25g,compound,2767143051,70,69,210,211,linear_policy,0.8670751387748507,14.80630142175853,8.69605968158018,0.8880733332748123,21.07849919735394,12.348372727313292,1.6201730387625422,True,1.5950950565553765
25g,compound,2767143051,70,69,210,211,shared_column_affine,0.8670751387748507,14.806301421758526,8.69605968158018,0.8880733332748122,21.078499197353946,12.348372727313292,1.6201730387625422,True,1.5950950565553765
25g,compound,2767143051,70,69,210,211,local_identity_shrinkage,0.8670751387748507,14.806301421758526,8.69605968158018,0.8880733332748122,21.078499197353946,12.348372727313292,1.6201730387625422,True,1.5950950565553765
25g,compound,536279090,100,98,300,295,scale_only,0.8326024253925969,10.04623554799647,8.03210491286578,0.8696446450351353,14.779604994093027,12.345029821259674,1.111459516457471,True,1.097143687884655
25g,compound,536279090,100,98,300,295,affine,0.8634865838051078,9.07227995542159,6.3390766328218655,0.9115035184276655,12.177591206954757,9.471880664493268,0.9745226490293141,True,0.9544158457041054
25g,compound,536279090,100,98,300,295,target_head_only,0.5440716587943333,16.57971537292948,10.132507169811321,0.4243746647622826,31.05763195017209,20.500872405660377,2.0198270260635747,True,2.017989978037528
25g,compound,536279090,100,98,300,295,monotone_spline,0.8625186581818939,9.104385889919286,6.371558826937105,0.9197731127682646,11.5946691268289,8.825709429556046,0.9631125262652822,True,0.9383234905169853
25g,compound,536279090,100,98,300,295,nonlinear_policy,0.8625186581818939,9.104385889919286,6.371558826937105,0.9197731127682646,11.5946691268289,8.825709429556046,0.9631125262652822,True,0.9383234905169853
25g,compound,536279090,100,98,300,295,linear_policy,0.8634865820641808,9.072280013270031,6.3390766992044085,0.9115035208617126,12.177591039485783,9.47188054839889,0.9745226493176692,True,0.9544158441663514
25g,compound,536279090,100,98,300,295,shared_column_affine,0.8634865820641808,9.072280013270031,6.339076699204404,0.9115035208617125,12.177591039485787,9.471880548398891,0.9745226493176693,True,0.9544158441663515
25g,compound,536279090,100,98,300,295,local_identity_shrinkage,0.8634865820641808,9.072280013270031,6.339076699204404,0.9115035208617125,12.177591039485787,9.471880548398891,0.9745226493176693,True,0.9544158441663515
25g,compound,536279090,30,33,90,92,scale_only,0.822360866985842,10.348993123665016,8.530301619577532,0.8999161104300903,12.950319296987166,10.258237054363239,1.089465163681119,True,1.0594619014085573
25g,compound,536279090,30,33,90,92,affine,0.8514810102859336,9.462802350872293,7.23829056331457,0.9228778447428582,11.368102159386385,8.946330400252066,0.9854499294916851,True,0.9540201134942472
25g,compound,536279090,30,33,90,92,target_head_only,0.5357914915710598,16.729591019691327,9.743535160377357,0.40667731614242986,31.531444370935635,19.863562018867928,2.0438381719811898,True,2.0422364376359665
25g,compound,536279090,30,33,90,92,monotone_spline,0.849138904420687,9.53712345764347,7.279761009681463,0.9270109992532932,11.059286215351706,8.55394400020205,0.9844208110130293,True,0.9491315531591495
25g,compound,536279090,30,33,90,92,nonlinear_policy,0.849138904420687,9.53712345764347,7.279761009681463,0.9270109992532932,11.059286215351706,8.55394400020205,0.9844208110130293,True,0.9491315531591495
25g,compound,536279090,30,33,90,92,linear_policy,0.8514809677378162,9.462803706336658,7.23829178301906,0.9228778323565237,11.368103072283011,8.946330942191159,0.9854500546812035,True,0.9540202278968433
25g,compound,536279090,30,33,90,92,shared_column_affine,0.8514809677378161,9.46280370633666,7.238291783019065,0.922877832356524,11.368103072282986,8.946330942191146,0.985450054681203,True,0.9540202278968426
25g,compound,536279090,30,33,90,92,local_identity_shrinkage,0.8514809677378161,9.46280370633666,7.238291783019065,0.922877832356524,11.368103072282986,8.946330942191146,0.985450054681203,True,0.9540202278968426
25g,compound,536279090,50,48,150,153,scale_only,0.8233657919400414,10.319678885695058,6.557842445210972,0.9097376903046478,12.298484835542281,9.162034063912857,1.0724811364503657,True,1.0373288953578679
25g,compound,536279090,50,48,150,153,affine,0.8176922734806866,10.484103834326197,6.843600481383983,0.9253530720908524,11.18418541460798,8.088493655333156,1.061668785181986,True,1.013106265370752
25g,compound,536279090,50,48,150,153,target_head_only,0.5178220464597728,17.05031671794091,10.259736349056604,0.40290551482947334,31.631509590428987,20.74078614622642,2.068030025522376,True,2.0657000898644178
25g,compound,536279090,50,48,150,153,monotone_spline,0.8178128484640881,10.480636263983353,6.8370643642949425,0.9251044808251054,11.202792877649946,8.101920006831104,1.0617726046175409,True,1.0134649482402407
25g,compound,536279090,50,48,150,153,nonlinear_policy,0.8176922803740932,10.484103636114103,6.843600481016066,0.9253530676926293,11.184185744096034,8.088493783767207,1.0616687761343262,True,1.013106263040798
