protocol,seed,planned_budget,portfolio_planned_budget,portfolio_actual_budget,method,normalized_rmse
compound,1425370602,50,150,151,monotone_spline,2.094469343023983
compound,1425370602,50,150,151,nonlinear_policy,2.053639069422721
compound,1425370602,50,150,151,scale_only,2.072612608502214
compound,1425370602,50,150,151,shared_column_affine,1.984090328804023
compound,1425370602,50,150,151,target_head_only,3.9391210594120465
compound,1425370602,70,210,207,affine,2.0157441235207267
compound,1425370602,70,210,207,linear_policy,1.9800812618806358
compound,1425370602,70,210,207,local_identity_shrinkage,1.9625172129059496
compound,1425370602,70,210,207,monotone_spline,2.011371213341692
compound,1425370602,70,210,207,nonlinear_policy,1.974161023040131
compound,1425370602,70,210,207,scale_only,2.05858140100595
compound,1425370602,70,210,207,shared_column_affine,1.954065031582763
compound,1425370602,70,210,207,target_head_only,3.9281910873472476
compound,1425370602,100,300,295,affine,1.9806195370078548
compound,1425370602,100,300,295,linear_policy,2.0036838626802873
compound,1425370602,100,300,295,local_identity_shrinkage,1.9434217190627285
compound,1425370602,100,300,295,monotone_spline,1.9780101574824138
compound,1425370602,100,300,295,nonlinear_policy,1.9519745511083908
compound,1425370602,100,300,295,scale_only,2.041745440891267
compound,1425370602,100,300,295,shared_column_affine,1.928223788263624
compound,1425370602,100,300,295,target_head_only,3.9019780560713166
compound,2767143051,30,90,88,affine,1.850623784210655
compound,2767143051,30,90,88,linear_policy,1.8492580047069964
compound,2767143051,30,90,88,local_identity_shrinkage,1.8271164259446684
compound,2767143051,30,90,88,monotone_spline,1.8491964884099186
compound,2767143051,30,90,88,nonlinear_policy,1.8485890669955711
compound,2767143051,30,90,88,scale_only,1.9338990413880353
compound,2767143051,30,90,88,shared_column_affine,1.851163633605819
compound,2767143051,30,90,88,target_head_only,3.787624429957972
compound,2767143051,50,150,145,affine,1.8494113255614224
compound,2767143051,50,150,145,linear_policy,1.8399512947318624
compound,2767143051,50,150,145,local_identity_shrinkage,1.82829241211751
compound,2767143051,50,150,145,monotone_spline,1.8505685392704823
compound,2767143051,50,150,145,nonlinear_policy,1.8415595007065546
compound,2767143051,50,150,145,scale_only,1.8751119999728731
compound,2767143051,50,150,145,shared_column_affine,1.8494113283687998
compound,2767143051,50,150,145,target_head_only,3.7879215114071716
compound,2767143051,70,210,211,affine,1.8497030204964726
compound,2767143051,70,210,211,linear_policy,1.813409074169676
compound,2767143051,70,210,211,local_identity_shrinkage,1.8056561119750973
compound,2767143051,70,210,211,monotone_spline,1.8516678470609973
compound,2767143051,70,210,211,nonlinear_policy,1.8140537554990572
compound,2767143051,70,210,211,scale_only,1.8740169108459899
compound,2767143051,70,210,211,shared_column_affine,1.8442437670966731
compound,2767143051,70,210,211,target_head_only,3.787054187108272
compound,2767143051,100,300,299,affine,1.8548937904047567
compound,2767143051,100,300,299,linear_policy,1.8271189759236173
compound,2767143051,100,300,299,local_identity_shrinkage,1.8264153237880876
compound,2767143051,100,300,299,monotone_spline,1.8577594724738844
compound,2767143051,100,300,299,nonlinear_policy,1.8287986122348547
compound,2767143051,100,300,299,scale_only,1.8938677721282426
compound,2767143051,100,300,299,shared_column_affine,1.837243015648527
compound,2767143051,100,300,299,target_head_only,3.789869882020842
row,536279090,30,90,90,affine,1.857157891687083
row,536279090,30,90,90,linear_policy,1.8571578951796786
row,536279090,30,90,90,local_identity_shrinkage,1.857157895179678
row,536279090,30,90,90,monotone_spline,1.8506503176223796
row,536279090,30,90,90,nonlinear_policy,1.8506503176223796
row,536279090,30,90,90,scale_only,1.9945561701054144
row,536279090,30,90,90,shared_column_affine,1.8701926944286804
row,536279090,30,90,90,target_head_only,3.6983144764136426
row,536279090,50,150,150,affine,1.9980650745979698
row,536279090,50,150,150,linear_policy,1.8894949276634512
row,536279090,50,150,150,local_identity_shrinkage,1.9194215236882268
row,536279090,50,150,150,monotone_spline,1.9852360228947086
row,536279090,50,150,150,nonlinear_policy,1.8762334811476187
row,536279090,50,150,150,scale_only,2.0971903287160116
row,536279090,50,150,150,shared_column_affine,1.900645533734399
row,536279090,50,150,150,target_head_only,3.683250718911157
row,536279090,70,210,210,affine,1.885327032898872
row,536279090,70,210,210,linear_policy,1.8853270329371303
row,536279090,70,210,210,local_identity_shrinkage,1.8853270329371306
row,536279090,70,210,210,monotone_spline,1.8778784106273119
row,536279090,70,210,210,nonlinear_policy,1.8778784106273119
row,536279090,70,210,210,scale_only,2.026190043436507
row,536279090,70,210,210,shared_column_affine,1.892908233522251
row,536279090,70,210,210,target_head_only,3.664190225880255
row,536279090,100,300,300,affine,1.8627381405918582
row,536279090,100,300,300,linear_policy,1.862738137564848
row,536279090,100,300,300,local_identity_shrinkage,1.9074887784897328
row,536279090,100,300,300,monotone_spline,1.8608842632903215
row,536279090,100,300,300,nonlinear_policy,1.8608842632903215
row,536279090,100,300,300,scale_only,2.0353742922712486
row,536279090,100,300,300,shared_column_affine,1.8875871182845885
row,536279090,100,300,300,target_head_only,3.6509936052137912
row,769539383,30,90,90,affine,1.9109301648983585
row,769539383,30,90,90,linear_policy,1.9238154436729467
row,769539383,30,90,90,local_identity_shrinkage,1.8946218308419633
row,769539383,30,90,90,monotone_spline,1.903461035263665
row,769539383,30,90,90,nonlinear_policy,1.9166001609038779
row,769539383,30,90,90,scale_only,2.103459592482381
row,769539383,30,90,90,shared_column_affine,1.8777378521883368
row,769539383,30,90,90,target_head_only,4.102476021264848
row,769539383,50,150,150,affine,1.8815713848399565
row,769539383,50,150,150,linear_policy,1.8724089172846021
row,769539383,50,150,150,local_identity_shrinkage,1.8111178947262376
row,769539383,50,150,150,monotone_spline,1.879912906142376
row,769539383,50,150,150,nonlinear_policy,1.8724089172846021
row,769539383,50,150,150,scale_only,2.0260472862593786
row,769539383,50,150,150,shared_column_affine,1.8760339819004213
row,769539383,50,150,150,target_head_only,4.083034080612907
row,769539383,70,210,210,affine,1.7918378396635246
row,769539383,70,210,210,linear_policy,1.7906029098108858
row,769539383,70,210,210,local_identity_shrinkage,1.7765660296921102
row,769539383,70,210,210,monotone_spline,1.783330601359876
row,769539383,70,210,210,nonlinear_policy,1.7822048996237563
row,769539383,70,210,210,scale_only,1.9750801421788877
row,769539383,70,210,210,shared_column_affine,1.788510934917339
row,769539383,70,210,210,target_head_only,4.077442151556915
row,769539383,100,300,300,affine,1.7888807162362992
row,769539383,100,300,300,linear_policy,1.786641896579756
row,769539383,100,300,300,local_identity_shrinkage,1.779812126130053
row,769539383,100,300,300,monotone_spline,1.7861652441266782
row,769539383,100,300,300,nonlinear_policy,1.7840045808217544
row,769539383,100,300,300,scale_only,1.9559688768152899
row,769539383,100,300,300,shared_column_affine,1.785759691414625
row,769539383,100,300,300,target_head_only,4.076664102082053
row,1362771960,30,90,90,affine,2.6530143981135006
row,1362771960,30,90,90,linear_policy,2.531926702170321
row,1362771960,30,90,90,local_identity_shrinkage,2.2393736392627317
row,1362771960,30,90,90,monotone_spline,2.657991680099923
row,1362771960,30,90,90,nonlinear_policy,2.648973647365248
row,1362771960,30,90,90,scale_only,2.577224416103736
row,1362771960,30,90,90,shared_column_affine,2.122352468171077
row,1362771960,30,90,90,target_head_only,4.384593735398426
row,1362771960,50,150,150,affine,2.4707307606830957
row,1362771960,50,150,150,linear_policy,2.3988015843446715
row,1362771960,50,150,150,local_identity_shrinkage,2.290904206328107
row,1362771960,50,150,150,monotone_spline,2.5061634552554497
row,1362771960,50,150,150,nonlinear_policy,2.5063294626384613
row,1362771960,50,150,150,scale_only,2.4131260808900237
row,1362771960,50,150,150,shared_column_affine,2.0503578093449506
row,1362771960,50,150,150,target_head_only,4.35356464119562
row,1362771960,70,210,210,affine,2.1322333595135605
row,1362771960,70,210,210,linear_policy,2.2259082676640705
row,1362771960,70,210,210,local_identity_shrinkage,2.130136158916708
row,1362771960,70,210,210,monotone_spline,2.129691701593512
row,1362771960,70,210,210,nonlinear_policy,2.2248987406820473
row,1362771960,70,210,210,scale_only,2.2414666118166093
row,1362771960,70,210,210,shared_column_affine,2.1056991582871656
row,1362771960,70,210,210,target_head_only,4.331920629775925
row,1362771960,100,300,300,affine,2.032206487190384
row,1362771960,100,300,300,linear_policy,2.0322064948384857
row,1362771960,100,300,300,local_identity_shrinkage,2.050522701083849
row,1362771960,100,300,300,monotone_spline,2.027704962735761
row,1362771960,100,300,300,nonlinear_policy,2.027982583316987
row,1362771960,100,300,300,scale_only,2.186783534197985
row,1362771960,100,300,300,shared_column_affine,2.041765463711611
row,1362771960,100,300,300,target_head_only,4.319719359155507
row,1425370602,30,90,90,affine,2.177651451879312
row,1425370602,30,90,90,linear_policy,1.981618051675713
row,1425370602,30,90,90,local_identity_shrinkage,2.0527029042894718
row,1425370602,30,90,90,monotone_spline,2.1753442373239715
row,1425370602,30,90,90,nonlinear_policy,1.9756605618398433
row,1425370602,30,90,90,scale_only,2.0998353514177546
row,1425370602,30,90,90,shared_column_affine,2.0856327323918857
row,1425370602,30,90,90,target_head_only,3.8810074343053604
row,1425370602,50,150,150,affine,2.1558554832675685
row,1425370602,50,150,150,linear_policy,1.9308129164651249
row,1425370602,50,150,150,local_identity_shrinkage,2.012451379230333
row,1425370602,50,150,150,monotone_spline,2.189172848662032
row,1425370602,50,150,150,nonlinear_policy,1.9227684605281297
row,1425370602,50,150,150,scale_only,2.0786067406400606
row,1425370602,50,150,150,shared_column_affine,2.0438018301067
row,1425370602,50,150,150,target_head_only,3.807530734339077
row,1425370602,70,210,210,affine,2.1378055657073243
row,1425370602,70,210,210,linear_policy,1.9271259695642329
row,1425370602,70,210,210,local_identity_shrinkage,2.0086695291426344
row,1425370602,70,210,210,monotone_spline,2.1366886156846183
row,1425370602,70,210,210,nonlinear_policy,1.9190750396710456
row,1425370602,70,210,210,scale_only,2.069881542759237
row,1425370602,70,210,210,shared_column_affine,2.1174293869725527
row,1425370602,70,210,210,target_head_only,3.8094057079579713
row,1425370602,100,300,300,affine,1.9122328784306626
row,1425370602,100,300,300,linear_policy,1.9076680611727255
row,1425370602,100,300,300,local_identity_shrinkage,1.9289282745236536
row,1425370602,100,300,300,monotone_spline,1.9068757240193552
row,1425370602,100,300,300,nonlinear_policy,1.903118426432829
row,1425370602,100,300,300,scale_only,2.0419172002910795
row,1425370602,100,300,300,shared_column_affine,1.918061312782929
row,1425370602,100,300,300,target_head_only,3.8049974394022352
row,2767143051,30,90,90,affine,2.2341350093761263
row,2767143051,30,90,90,linear_policy,2.242832888400525
row,2767143051,30,90,90,local_identity_shrinkage,2.2528114096826912
row,2767143051,30,90,90,monotone_spline,2.2340922939058996
row,2767143051,30,90,90,nonlinear_policy,2.2425907415161475
row,2767143051,30,90,90,scale_only,2.257057825840653
row,2767143051,30,90,90,shared_column_affine,2.215823113895255
row,2767143051,30,90,90,target_head_only,4.125897114962657
row,2767143051,50,150,150,affine,2.208397622222511
row,2767143051,50,150,150,linear_policy,2.228159508899184
row,2767143051,50,150,150,local_identity_shrinkage,2.248777625960127
row,2767143051,50,150,150,monotone_spline,2.2112888653443927
row,2767143051,50,150,150,nonlinear_policy,2.230746915813251
row,2767143051,50,150,150,scale_only,2.260150150232366
row,2767143051,50,150,150,shared_column_affine,2.199185642927706
row,2767143051,50,150,150,target_head_only,4.120288295766755
row,2767143051,70,210,210,affine,2.2073980004756817
row,2767143051,70,210,210,linear_policy,2.2299404580154287
row,2767143051,70,210,210,local_identity_shrinkage,2.2198455284038343
row,2767143051,70,210,210,monotone_spline,2.2094411525290343
row,2767143051,70,210,210,nonlinear_policy,2.2322648876047766
row,2767143051,70,210,210,scale_only,2.268103523902211
row,2767143051,70,210,210,shared_column_affine,2.188590445900937
row,2767143051,70,210,210,target_head_only,4.1128345392391035
row,2767143051,100,300,300,affine,2.174661413976651
row,2767143051,100,300,300,linear_policy,2.2089748137921883
row,2767143051,100,300,300,local_identity_shrinkage,2.201437115628424
row,2767143051,100,300,300,monotone_spline,2.172817826150288
row,2767143051,100,300,300,nonlinear_policy,2.2079464549755263
row,2767143051,100,300,300,scale_only,2.2599495908591334
row,2767143051,100,300,300,shared_column_affine,2.1707110395177356
row,2767143051,100,300,300,target_head_only,4.1145355564149755
