column,protocol,seed,method,normalized_aulc,actual_budget_normalized_aulc,actual_budget_start,actual_budget_end
8g,row,1362771960,linear_policy,0.7697186485832651,0.7697186485832651,30,100
8g,row,1362771960,local_identity_shrinkage,0.7684543865850687,0.7684543865850687,30,100
8g,row,1362771960,monotone_spline,0.7733270771581376,0.7733270771581376,30,100
8g,row,1362771960,nonlinear_policy,0.7697186485832651,0.7697186485832651,30,100
8g,row,1362771960,scale_only,0.7184369684557849,0.7184369684557849,30,100
8g,row,1362771960,shared_column_affine,0.7562444600793435,0.7562444600793435,30,100
8g,row,1362771960,target_head_only,0.652608607388736,0.652608607388736,30,100
8g,row,1425370602,affine,0.6659249201979217,0.6659249201979217,30,100
8g,row,1425370602,linear_policy,0.6406172813726286,0.6406172813726286,30,100
8g,row,1425370602,local_identity_shrinkage,0.6354780554476148,0.6354780554476148,30,100
8g,row,1425370602,monotone_spline,0.6646145234029741,0.6646145234029741,30,100
8g,row,1425370602,nonlinear_policy,0.6405095848092218,0.6405095848092218,30,100
8g,row,1425370602,scale_only,0.6170142301382201,0.6170142301382201,30,100
8g,row,1425370602,shared_column_affine,0.6659249226813267,0.6659249226813267,30,100
8g,row,1425370602,target_head_only,0.6225396179850544,0.6225396179850544,30,100
8g,row,2767143051,affine,0.7549456063621418,0.7549456063621418,30,100
8g,row,2767143051,linear_policy,0.7305337614747796,0.7305337614747796,30,100
8g,row,2767143051,local_identity_shrinkage,0.745809931362563,0.745809931362563,30,100
8g,row,2767143051,monotone_spline,0.7552817634306477,0.7552817634306477,30,100
8g,row,2767143051,nonlinear_policy,0.7305077272395276,0.7305077272395276,30,100
8g,row,2767143051,scale_only,0.7307271322537541,0.7307271322537541,30,100
8g,row,2767143051,shared_column_affine,0.7131332727234189,0.7131332727234189,30,100
8g,row,2767143051,target_head_only,0.8254678107915714,0.8254678107915714,30,100
