column,protocol,seed,planned_budget,actual_budget,portfolio_planned_budget,portfolio_actual_budget,linear_policy,nonlinear_policy,spline_strength,shared_strength,local_strength,V1_test_outside_train_fraction,V2_test_outside_train_fraction
25g,row,1425370602,30,30,90,90,scale_only,scale_only,1.0,1.0,0.1,0.14285714285714285,0.17346938775510204
25g,row,1425370602,50,50,150,150,scale_only,scale_only,0.1,1.0,1.0,0.07142857142857142,0.11224489795918367
25g,row,1425370602,70,70,210,210,scale_only,scale_only,1.0,1.0,0.1,0.07142857142857142,0.09183673469387756
25g,row,2767143051,100,100,300,300,scale_only,scale_only,1.0,1.0,1.0,0.061224489795918366,0.04081632653061224
25g,row,2767143051,30,30,90,90,scale_only,scale_only,1.0,1.0,1.0,0.09183673469387756,0.14285714285714285
25g,row,2767143051,50,50,150,150,scale_only,scale_only,1.0,1.0,1.0,0.08163265306122448,0.061224489795918366
25g,row,2767143051,70,70,210,210,scale_only,scale_only,1.0,1.0,1.0,0.08163265306122448,0.061224489795918366
25g,row,536279090,100,100,300,300,affine,monotone_spline,0.1,0.0,0.0,0.061224489795918366,0.04081632653061224
25g,row,536279090,30,30,90,90,affine,monotone_spline,1.0,0.0,0.0,0.14285714285714285,0.09183673469387756
25g,row,536279090,50,50,150,150,affine,monotone_spline,1.0,0.0,0.0,0.07142857142857142,0.09183673469387756
25g,row,536279090,70,70,210,210,affine,monotone_spline,0.1,0.0,0.0,0.07142857142857142,0.09183673469387756
25g,row,769539383,100,100,300,300,affine,monotone_spline,0.1,1.0,0.0,0.01020408163265306,0.061224489795918366
25g,row,769539383,30,30,90,90,affine,monotone_spline,1.0,0.1,1.0,0.10204081632653061,0.07142857142857142
25g,row,769539383,50,50,150,150,scale_only,scale_only,1.0,0.1,0.1,0.08163265306122448,0.061224489795918366
25g,row,769539383,70,70,210,210,affine,monotone_spline,0.1,0.0,0.1,0.04081632653061224,0.061224489795918366
40g,compound,1362771960,100,100,300,295,affine,monotone_spline,0.1,0.0,0.0,0.06422018348623854,0.0
40g,compound,1362771960,30,28,90,88,affine,monotone_spline,0.1,1.0,1.0,0.1651376146788991,0.05504587155963303
40g,compound,1362771960,50,49,150,149,affine,monotone_spline,0.1,1.0,0.0,0.1651376146788991,0.045871559633027525
40g,compound,1362771960,70,72,210,211,affine,monotone_spline,0.1,1.0,0.0,0.06422018348623854,0.0
40g,compound,1425370602,100,99,300,295,affine,monotone_spline,0.1,0.1,0.0,0.11,0.03
40g,compound,1425370602,30,29,90,93,affine,monotone_spline,0.1,0.1,0.1,0.13,0.03
40g,compound,1425370602,50,52,150,151,affine,monotone_spline,0.1,0.1,0.1,0.12,0.03
40g,compound,1425370602,70,72,210,207,affine,monotone_spline,0.1,0.1,0.0,0.11,0.03
40g,compound,2767143051,100,99,300,299,affine,affine,1.0,1.0,0.0,0.030303030303030304,0.030303030303030304
40g,compound,2767143051,30,31,90,88,affine,affine,1.0,0.0,0.0,0.13131313131313133,0.10101010101010101
40g,compound,2767143051,50,50,150,145,affine,affine,1.0,0.0,0.0,0.06060606060606061,0.030303030303030304
40g,compound,2767143051,70,71,210,211,affine,monotone_spline,0.1,0.0,0.0,0.04040404040404041,0.030303030303030304
40g,compound,536279090,100,100,300,295,affine,monotone_spline,0.1,1.0,0.0,0.009523809523809525,0.0
40g,compound,536279090,30,31,90,92,affine,monotone_spline,0.1,1.0,0.1,0.047619047619047616,0.0
40g,compound,536279090,50,52,150,153,affine,monotone_spline,0.1,0.1,0.0,0.009523809523809525,0.0
40g,compound,536279090,70,72,210,210,affine,monotone_spline,0.1,0.0,0.0,0.009523809523809525,0.0
40g,compound,769539383,100,93,300,290,affine,monotone_spline,0.1,1.0,0.0,0.010416666666666666,0.010416666666666666
40g,compound,769539383,30,28,90,89,affine,monotone_spline,0.1,0.0,0.0,0.15625,0.125
40g,compound,769539383,50,49,150,152,affine,affine,1.0,0.1,0.0,0.15625,0.09375
40g,compound,769539383,70,69,210,211,affine,affine,1.0,1.0,0.0,0.041666666666666664,0.020833333333333332
40g,row,1362771960,100,100,300,300,affine,monotone_spline,0.1,0.1,0.1,0.02830188679245283,0.009433962264150943
40g,row,1362771960,30,30,90,90,scale_only,monotone_spline,0.1,1.0,1.0,0.09433962264150944,0.10377358490566038
40g,row,1362771960,50,50,150,150,scale_only,monotone_spline,0.1,1.0,0.1,0.09433962264150944,0.0660377358490566
40g,row,1362771960,70,70,210,210,scale_only,scale_only,0.1,0.0,0.1,0.03773584905660377,0.018867924528301886
40g,row,1425370602,100,100,300,300,affine,monotone_spline,0.1,0.1,0.1,0.009433962264150943,0.009433962264150943
40g,row,1425370602,30,30,90,90,affine,monotone_spline,0.1,0.1,0.1,0.018867924528301886,0.02830188679245283
40g,row,1425370602,50,50,150,150,affine,monotone_spline,0.1,1.0,0.1,0.018867924528301886,0.02830188679245283
40g,row,1425370602,70,70,210,210,affine,monotone_spline,0.1,1.0,0.1,0.018867924528301886,0.009433962264150943
40g,row,2767143051,100,100,300,300,affine,monotone_spline,0.1,0.0,0.0,0.018867924528301886,0.009433962264150943
40g,row,2767143051,30,30,90,90,affine,monotone_spline,1.0,0.0,0.0,0.018867924528301886,0.009433962264150943
40g,row,2767143051,50,50,150,150,affine,monotone_spline,0.1,0.0,0.0,0.018867924528301886,0.009433962264150943
40g,row,2767143051,70,70,210,210,affine,monotone_spline,0.1,0.0,0.0,0.018867924528301886,0.009433962264150943
40g,row,536279090,100,100,300,300,affine,monotone_spline,0.1,1.0,0.1,0.03773584905660377,0.018867924528301886
40g,row,536279090,30,30,90,90,affine,monotone_spline,0.1,1.0,0.0,0.05660377358490566,0.04716981132075472
40g,row,536279090,50,50,150,150,affine,monotone_spline,0.1,0.1,0.0,0.05660377358490566,0.02830188679245283
40g,row,536279090,70,70,210,210,affine,monotone_spline,0.1,0.1,0.0,0.03773584905660377,0.02830188679245283
40g,row,769539383,100,100,300,300,affine,monotone_spline,0.1,0.0,0.0,0.009433962264150943,0.018867924528301886
40g,row,769539383,30,30,90,90,affine,monotone_spline,0.1,1.0,0.0,0.0660377358490566,0.05660377358490566
40g,row,769539383,50,50,150,150,affine,affine,1.0,1.0,0.0,0.0660377358490566,0.02830188679245283
40g,row,769539383,70,70,210,210,affine,monotone_spline,0.1,0.0,0.0,0.0660377358490566,0.02830188679245283
8g,compound,1362771960,100,97,300,295,scale_only,scale_only,0.1,0.0,1.0,0.034782608695652174,0.02608695652173913
8g,compound,1362771960,30,28,90,88,affine,monotone_spline,0.1,0.0,0.0,0.13043478260869565,0.12173913043478261
8g,compound,1362771960,50,48,150,149,scale_only,scale_only,0.1,0.0,1.0,0.034782608695652174,0.02608695652173913
8g,compound,1362771960,70,69,210,211,scale_only,scale_only,0.1,0.0,1.0,0.034782608695652174,0.02608695652173913
8g,compound,1425370602,100,97,300,295,scale_only,scale_only,0.1,1.0,1.0,0.03418803418803419,0.008547008547008548
8g,compound,1425370602,30,31,90,93,scale_only,scale_only,0.1,1.0,1.0,0.042735042735042736,0.20512820512820512
8g,compound,1425370602,50,52,150,151,scale_only,scale_only,0.1,1.0,1.0,0.042735042735042736,0.008547008547008548
8g,compound,1425370602,70,63,210,207,scale_only,scale_only,0.1,1.0,1.0,0.042735042735042736,0.008547008547008548
8g,compound,2767143051,100,98,300,299,scale_only,scale_only,0.1,0.1,1.0,0.03669724770642202,0.01834862385321101
8g,compound,2767143051,30,27,90,88,scale_only,scale_only,1.0,0.1,1.0,0.09174311926605505,0.11009174311926606
8g,compound,2767143051,50,47,150,145,scale_only,scale_only,1.0,0.0,1.0,0.09174311926605505,0.11009174311926606
8g,compound,2767143051,70,71,210,211,scale_only,scale_only,0.1,0.1,1.0,0.05504587155963303,0.01834862385321101
8g,compound,536279090,100,97,300,295,scale_only,scale_only,0.1,0.0,1.0,0.01652892561983471,0.04132231404958678
8g,compound,536279090,30,28,90,92,affine,monotone_spline,1.0,0.0,0.0,0.5702479338842975,0.2231404958677686
8g,compound,536279090,50,53,150,153,scale_only,scale_only,0.1,0.1,1.0,0.049586776859504134,0.049586776859504134
8g,compound,536279090,70,67,210,210,scale_only,scale_only,0.1,0.0,1.0,0.049586776859504134,0.049586776859504134
8g,compound,769539383,100,99,300,290,scale_only,scale_only,0.1,1.0,1.0,0.017543859649122806,0.02631578947368421
8g,compound,769539383,30,31,90,89,scale_only,monotone_spline,0.1,1.0,0.1,0.14912280701754385,0.15789473684210525
8g,compound,769539383,50,51,150,152,affine,affine,1.0,0.1,1.0,0.12280701754385964,0.07894736842105263
8g,compound,769539383,70,72,210,211,affine,monotone_spline,0.1,0.1,0.1,0.017543859649122806,0.02631578947368421
8g,row,1362771960,100,100,300,300,affine,affine,1.0,0.0,0.0,0.017391304347826087,0.008695652173913044
8g,row,1362771960,30,30,90,90,scale_only,scale_only,1.0,1.0,0.1,0.06956521739130435,0.02608695652173913
8g,row,1362771960,50,50,150,150,affine,affine,1.0,0.1,0.0,0.06956521739130435,0.02608695652173913
8g,row,1362771960,70,70,210,210,affine,affine,1.0,0.0,0.0,0.017391304347826087,0.017391304347826087
8g,row,1425370602,100,100,300,300,scale_only,scale_only,0.1,0.0,1.0,0.02608695652173913,0.008695652173913044
8g,row,1425370602,30,30,90,90,affine,monotone_spline,0.1,0.0,0.0,0.12173913043478261,0.06086956521739131
8g,row,1425370602,50,50,150,150,scale_only,scale_only,0.1,0.0,1.0,0.06956521739130435,0.05217391304347826
8g,row,1425370602,70,70,210,210,scale_only,scale_only,0.1,0.0,1.0,0.043478260869565216,0.017391304347826087
8g,row,2767143051,100,100,300,300,affine,monotone_spline,0.1,1.0,0.0,0.008695652173913044,0.017391304347826087
8g,row,2767143051,30,30,90,90,scale_only,scale_only,1.0,1.0,1.0,0.017391304347826087,0.0782608695652174
8g,row,2767143051,50,50,150,150,scale_only,scale_only,1.0,1.0,1.0,0.017391304347826087,0.034782608695652174
8g,row,2767143051,70,70,210,210,scale_only,scale_only,1.0,1.0,1.0,0.008695652173913044,0.017391304347826087
8g,row,536279090,100,100,300,300,affine,monotone_spline,0.1,0.0,0.0,0.08695652173913043,0.043478260869565216
8g,row,536279090,30,30,90,90,affine,monotone_spline,1.0,0.0,0.0,0.17391304347826086,0.17391304347826086
8g,row,536279090,50,50,150,150,scale_only,scale_only,1.0,1.0,0.1,0.08695652173913043,0.043478260869565216
8g,row,536279090,70,70,210,210,affine,monotone_spline,0.1,0.0,0.0,0.08695652173913043,0.043478260869565216
8g,row,769539383,100,100,300,300,scale_only,scale_only,1.0,1.0,1.0,0.008695652173913044,0.008695652173913044
8g,row,769539383,30,30,90,90,scale_only,scale_only,1.0,1.0,1.0,0.043478260869565216,0.034782608695652174
8g,row,769539383,50,50,150,150,scale_only,scale_only,1.0,1.0,1.0,0.043478260869565216,0.034782608695652174
8g,row,769539383,70,70,210,210,scale_only,scale_only,1.0,1.0,1.0,0.008695652173913044,0.008695652173913044
