canonical_smiles,strategy,random_error,active_error,delta_vs_random,compound_rows,random_normalized_RMSE,active_normalized_RMSE,random_normalized_MAE,active_normalized_MAE
CCOC(=O)C(Br)C(=O)OCC,hybrid,0.3736115521156382,0.3220166514480769,-0.05159490066756128,35,0.4887054080265793,0.39684658225451563,0.25851769620469706,0.24718672064163816
CCOC(=O)c1ccc(OC)cc1,hybrid,0.24140649243148607,0.26972411865119866,0.028317626219712594,21,0.27181689692276745,0.3148336813138445,0.2109960879402047,0.22461455598855287
COC(=O)C(=O)c1ccccc1,hybrid,0.7337104170688823,0.7422378156617799,0.00852739859289764,34,0.8419178833103461,0.824959411872198,0.6255029508274185,0.659516219451362
COC(=O)[C@H](O)c1ccccc1,hybrid,1.2687928348894093,1.1601168902655499,-0.10867594462385943,15,1.53412378958072,1.3674862442552078,1.0034618801980986,0.9527475362758918
COC(=O)c1ccc(Cl)cc1,hybrid,0.16428230680465045,0.17259837884559123,0.008316072040940786,21,0.1718463787961974,0.1955505400167155,0.1567182348131035,0.14964621767446695
COC(=O)c1ccc(I)cc1,hybrid,0.26704705575869847,0.48998779202170084,0.22294073626300237,20,0.3031074173065151,0.5631848015755141,0.23098669421088192,0.4167907824678876
COCCCCC(=O)c1ccc(C(F)(F)F)cc1,hybrid,1.325702529573333,1.173200072192,-0.15250245738133295,6,1.6494657539077702,1.4696183750685392,1.0019393052388958,0.8767817693154606
COc1ccc(C)cc1OC,hybrid,0.5231665567022881,0.7077716717413917,0.1846051150391036,21,0.6612664790559619,0.8755341815198547,0.3850666343486142,0.5400091619629286
COc1ccc(Cl)cc1,hybrid,0.12949896221403187,0.1484267668679674,0.018927804653935537,21,0.15076487137052164,0.1634321394561868,0.1082330530575421,0.13342139427974806
Cc1cc(C)cc(C#N)c1,hybrid,0.6843956675022663,1.5599786834811917,0.8755830159789254,21,0.7205267548867695,1.7285957977014705,0.6482645801177631,1.391361569260913
Clc1ccc(I)c(Br)c1,hybrid,0.11924314743141859,0.13419645151283086,0.014953304081412266,21,0.13355496426704075,0.1501221533457815,0.10493133059579643,0.11827074967988022
Clc1ccccc1I,hybrid,0.11472787066171829,0.1683658719721614,0.05363800131044312,21,0.12736455362073584,0.18630585628840746,0.10209118770270073,0.15042588765591536
O=C1CCCCc2ccccc21,hybrid,0.3612639738158391,0.36728676397854554,0.0060227901627064595,7,0.4171742239757096,0.4262549174659652,0.3053537236559686,0.30831861049112586
O=Cc1cc(Cl)ccc1Br,hybrid,0.11937229323350751,0.12754824862132705,0.008175955387819539,21,0.1301355684553536,0.14663150656489943,0.10860901801166144,0.10846499067775467
O=[P+](Oc1ccccc1)Oc1ccccc1,hybrid,0.647026809478806,0.6765303781445053,0.029503568665699365,14,0.8509230534546561,0.9014412521039123,0.4431305655029558,0.45161950418509844
c1ccc2ncccc2c1,hybrid,0.44598601554985046,0.31481550981813256,-0.1311705057317179,15,0.5244289780005735,0.34657293426873226,0.3675430530991274,0.28305808536753285
