seed,round,group,a,b,lcmd_overlap,ivr_overlap
157,20,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.34375,0.6875
2357,1,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.40625,0.5625
2357,1,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.3125,0.46875
2357,1,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.5625,0.75
2357,1,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.40625,0.53125
2357,1,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.375,0.71875
2357,1,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.53125,0.5625
2357,5,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.28125,0.46875
2357,5,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.40625,0.65625
2357,5,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.5625,0.59375
2357,5,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.375,0.46875
2357,5,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.59375,0.71875
2357,5,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.53125,0.65625
2357,10,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.21875,0.53125
2357,10,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.28125,0.59375
2357,10,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.4375,0.5625
2357,10,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.40625,0.46875
2357,10,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.4375,0.6875
2357,10,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.34375,0.53125
2357,15,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.3125,0.6875
2357,15,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.25,0.625
2357,15,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.1875,0.6875
2357,15,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.34375,0.59375
2357,15,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.46875,0.75
2357,15,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.46875,0.65625
2357,20,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.3125,0.78125
2357,20,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.1875,0.75
2357,20,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.40625,0.84375
2357,20,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.25,0.71875
2357,20,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.5625,0.75
2357,20,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.34375,0.75
6101,1,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.3125,0.375
6101,1,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.4375,0.59375
6101,1,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.5625,0.6875
6101,1,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.375,0.3125
6101,1,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.4375,0.53125
6101,1,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.46875,0.5
6101,5,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.28125,0.4375
6101,5,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.3125,0.375
6101,5,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.53125,0.625
6101,5,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.375,0.5625
6101,5,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.5,0.5625
6101,5,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.46875,0.625
6101,10,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.25,0.6875
6101,10,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.34375,0.65625
6101,10,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.40625,0.5
6101,10,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.40625,0.65625
6101,10,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.5625,0.71875
6101,10,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.40625,0.84375
6101,15,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.28125,0.46875
6101,15,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.21875,0.6875
6101,15,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.40625,0.71875
6101,15,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.28125,0.59375
6101,15,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.28125,0.71875
6101,15,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.46875,0.8125
6101,20,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.34375,0.71875
6101,20,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.25,0.6875
6101,20,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.40625,0.875
6101,20,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.3125,0.75
6101,20,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.375,0.75
6101,20,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.46875,0.84375
887,1,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.4375,0.5625
887,1,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.34375,0.5
887,1,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.53125,0.6875
887,1,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.3125,0.53125
887,1,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.4375,0.5625
887,1,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.5,0.625
887,5,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.5,0.625
887,5,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.3125,0.65625
887,5,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.65625,0.8125
887,5,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.375,0.65625
887,5,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.59375,0.78125
887,5,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.4375,0.6875
887,10,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.40625,0.46875
887,10,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.34375,0.65625
887,10,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.53125,0.78125
887,10,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.4375,0.40625
887,10,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.625,0.625
887,10,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.59375,0.65625
887,15,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.46875,0.71875
887,15,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.53125,0.65625
887,15,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.46875,0.71875
887,15,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.40625,0.71875
887,15,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.59375,0.8125
887,15,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.5,0.71875
887,20,cross_seed_512,scalar_d512_s0,scalar_d512_s1,0.25,0.53125
887,20,cross_seed_512,scalar_d512_s0,scalar_d512_s2,0.34375,0.5625
887,20,512_vs_2048_same_seed,scalar_d512_s0,scalar_d2048_s0,0.4375,0.71875
887,20,cross_seed_512,scalar_d512_s1,scalar_d512_s2,0.40625,0.5625
887,20,512_vs_2048_same_seed,scalar_d512_s1,scalar_d2048_s1,0.375,0.78125
887,20,512_vs_2048_same_seed,scalar_d512_s2,scalar_d2048_s2,0.375,0.71875
