seed,round,representation,dimension,map_index,effective_rank,participation_rank,numerical_rank,top_eigenvalue_fraction,positive_spectrum_condition,raw_rank_deficient,precision_condition,reference_rows,outputs,feature_dimension,raw_mean_squared_norm,initial_risk,final_risk,endpoint_final_risk,direct_factor_max_error,elapsed_seconds,lcmd_overlap,lcmd_risk_same_surrogate
157,10,scalar,2048,1,29.45076222359489,7.417665022414787,1390,0.342141266188507,776456261417.7452,True,717.9478691267894,3330,1,2048,54515.544426467146,0.111375074199331,0.1073067408903975,[0.10730674089039759],2.6593310886724453e-15,9.573692250065506,0.0625,0.1091098434735137
157,10,scalar,2048,2,29.671536131724537,7.522508343805379,1390,0.3390061287564279,819481127357.7133,True,700.7775153832345,3330,1,2048,54502.34822818107,0.1116424560435958,0.1075811116375192,[0.1075811116375192],2.261212050935768e-15,9.542136666947044,0.03125,0.1094048321511341
157,10,block,512,0,28.71419275567147,8.044532182880877,512,0.3250708796376649,48514.45537662956,False,690.6775765488069,3330,2,512,54988.26638373849,0.0972288835178519,0.0932647280721011,"[0.05161249638679333, 0.041652231685307926]",3.120767533282276e-15,2.0819962080568075,0.03125,0.0953620831511797
157,10,block,512,1,28.990990514058943,8.15478747790755,512,0.3214405071276922,48181.55102332251,False,677.6855193924408,3330,2,512,54880.49028983208,0.0977521895495385,0.0937324185248917,"[0.0518350317794769, 0.04189738674541488]",2.5626202548867387e-15,2.106076708994806,0.0,0.0959202753941637
157,10,block,512,2,28.25091545972027,7.860948016439633,512,0.3297122144198594,49816.699247583776,False,701.2663884984546,3330,2,512,55774.57744660103,0.0972525618760471,0.0933176493345712,"[0.05158507063417127, 0.04173257870040007]",2.725250580759564e-15,2.0774471249897033,0.0,0.095423708459668
157,15,scalar,256,0,42.552413028236494,14.171037171457565,256,0.2209724161286722,3208.4086204172695,False,546.6749471877625,3330,1,256,51533.64651478407,0.0955966995498862,0.0917216762782628,[0.09172167627826282],2.8215277336762767e-15,0.3373958750162273,0.09375,0.0934586210539732
157,15,scalar,256,1,36.53580137269399,11.070763490909478,256,0.2661230522154073,4630.0844383382655,False,634.2473378743815,3330,1,256,56360.173138253755,0.0920453931433128,0.0883375645403695,[0.08833756454036952],2.737827325960396e-15,0.3361225000116974,0.03125,0.0902718373521411
157,15,scalar,256,2,38.94794668685987,12.075530346601882,256,0.2499964257326194,3933.6595905778127,False,591.7688154180926,3330,1,256,54552.97841497664,0.0942334095776251,0.0902866177112253,[0.0902866177112253],3.1433189384699745e-15,0.3365946250269189,0.0625,0.0920108665909247
157,15,scalar,512,0,46.4870785768456,13.612496596006112,512,0.2316540793684527,30033.717159796382,False,592.9512572230879,3330,1,512,53019.17880438026,0.1137993649263835,0.1095062248112597,[0.10950622481125975],2.67841304690819e-15,0.8923355829901993,0.0625,0.1115175495496188
157,15,scalar,512,1,42.117551201591304,11.52796870664838,512,0.2609753241949397,35747.18528891636,False,634.3188317632797,3330,1,512,56125.54266230726,0.1106390130722259,0.1065236259341118,[0.10652362593411188],3.0045410603918303e-15,0.8313741660676897,0.09375,0.108393694176876
157,15,scalar,512,2,42.3911394478966,11.5645075556067,512,0.2603725152106675,35796.87257266879,False,632.2157040449249,3330,1,512,55519.09272160103,0.1114820570974472,0.1072955743360293,[0.10729557433602933],2.6662699825763525e-15,0.8600844589527696,0.0,0.1094031246609729
157,15,scalar,1024,0,48.23337054563512,13.114860090251296,1024,0.2385195845768609,1208602.0373372682,False,599.2038369008071,3330,1,1024,54529.362058552586,0.1231091088228395,0.1185556537278538,[0.11855565372785386],2.994132719535969e-15,2.3259806249989197,0.0625,0.1208182648343034
157,15,scalar,1024,1,44.26924602045529,11.126299458444723,1024,0.2689717825379193,1419579.253524399,False,655.9591662485639,3330,1,1024,56089.29635793683,0.121111324130709,0.1167204382945225,[0.11672043829452251],2.4598378889351125e-15,2.304936457891017,0.03125,0.1189960867549463
157,15,scalar,1024,2,46.137436689490855,11.90675552203441,1024,0.2561414437296358,1412953.4774639837,False,623.7320073250828,3330,1,1024,54910.920975879235,0.1226780122042776,0.1181942155541663,[0.11819421555416636],2.2325891135821507e-15,2.3653608339373022,0.0625,0.1203394894362333
157,15,scalar,2048,0,48.48207287547714,12.418847471474106,1403,0.2487856530747974,915577316578.7128,True,619.5696138917376,3330,1,2048,55024.509081743294,0.1278919734789104,0.1232676081308825,[0.12326760813088257],2.031361190368841e-15,9.557624583947472,0.125,0.1255210549121352
157,15,scalar,2048,1,47.567318287037075,11.884076180717068,1403,0.2576636970278737,692907567321.384,True,632.8919432471994,3330,1,2048,55273.55318203665,0.127589631170966,0.1230196594620067,[0.12301965946200677],2.3715838320947924e-15,9.46545179199893,0.03125,0.1252735913851527
157,15,scalar,2048,2,48.12206699201317,12.19169850630052,1403,0.2522033115162423,872887225431.4508,True,613.5077965603782,3330,1,2048,55171.30962387722,0.1279541587098343,0.123315032685212,[0.123315032685212],2.4077961846558082e-15,9.610673582996242,0.03125,0.125383995801068
157,15,block,512,0,48.015307304888026,15.384294500151602,512,0.208407422063017,18598.13357176549,False,534.5388183725909,3330,2,512,53298.68771114915,0.107419415473212,0.1038998254148993,"[0.06712854991038111, 0.036771275504518204]",1.6948248360293405e-15,2.0800382919842377,0.0625,0.1056430671527184
157,15,block,512,1,44.88310582647908,13.731676346000238,512,0.2271122823145023,22090.43306109536,False,556.6593695117133,3330,2,512,55601.10002330876,0.1054593033835142,0.1020083776623982,"[0.06597789236839736, 0.03603048529400086]",2.544839339257976e-15,2.043215292040258,0.0625,0.1037564315270581
157,15,block,512,2,42.1353332424045,12.54790488209358,512,0.2407841380979358,22647.22610606915,False,600.2498748010945,3330,2,512,56917.111473134726,0.1043442596832817,0.1009981543441311,"[0.06543266214190757, 0.03556549220222335]",2.213507155346406e-15,2.060200707986951,0.0,0.1028075733659297
157,20,scalar,256,0,28.092937617214428,9.55011550897565,256,0.2794534761761992,6905.223424191559,False,805.566761592502,3330,1,256,52555.00304834447,0.067462354034301,0.0654639921766475,[0.06546399217664754],3.740063814205996e-15,0.3508241249946877,0.03125,0.0666346775027039
157,20,scalar,256,1,27.637244619228316,9.463183363483305,256,0.2805810114109298,7402.020616936167,False,807.5723486709587,3330,1,256,53534.341883880596,0.0667373154805437,0.0647422695238133,[0.06474226952381339],2.796374243274613e-15,0.3483308750437572,0.0,0.0660001857508135
157,20,scalar,256,2,27.473291055115908,8.917351315319129,256,0.2981520416149832,7514.589211100373,False,865.7753875947072,3330,1,256,53371.27907209183,0.066859537991815,0.0649134713091332,[0.06491347130913327],3.0427049768633196e-15,0.3502682909602299,0.0625,0.0660504151618825
157,20,scalar,512,0,29.795520175190937,9.211072078576052,512,0.289408705765653,67477.62303160538,False,860.8351208468325,3330,1,512,53664.8900793094,0.078617065123347,0.0764766465441385,[0.07647664654413851],3.855422925358454e-15,0.837916582939215,0.0625,0.0777882252554841
157,20,scalar,512,1,30.369645689212955,9.477699806227047,512,0.2831373838273434,63343.568301908315,False,848.2839810799447,3330,1,512,53342.5571323518,0.0787198589507629,0.0765531670585606,[0.07655316705856068],4.184153024056059e-15,0.8343779999995604,0.03125,0.0779764367264364
157,20,scalar,512,2,29.553370910722755,9.002921043512549,512,0.2957315295045152,66999.83045493775,False,885.8268401605624,3330,1,512,54005.73188357643,0.0783348290747032,0.0762722719721459,[0.07627227197214595],4.1563974484404306e-15,0.8369333329610527,0.0625,0.077394275050666
157,20,scalar,1024,0,30.660387168707892,8.991587906578607,1024,0.2946640223559202,2566798.2648216127,False,878.4892369253882,3330,1,1024,54455.43183281334,0.0846690960439368,0.0824486772812996,[0.08244867728129965],3.6247047030535384e-15,2.3165919590974227,0.03125,0.0837741719029537
157,20,scalar,1024,1,31.055646857049982,9.187772599296782,1024,0.2892222598067007,2668719.8399708797,False,864.3692214262551,3330,1,1024,54079.76319255726,0.0848919759923584,0.0826616316752161,[0.08266163167521615],3.1606661732297425e-15,2.333947500097566,0.03125,0.0840941067334715
157,20,scalar,1024,2,30.891315334610372,9.00820375676822,1024,0.2954530844092807,2601924.3664314128,False,881.1174007371708,3330,1,1024,53980.05984343083,0.0848508963749924,0.0826454319108399,[0.08264543191083991],4.182201460145585e-15,2.302719083032571,0.0625,0.08398303118801
