canonical_smiles,loading solvent,V/ul,Volume of loading solvent/ul,Flow mL/min,column_specs,previous_ea_fraction,center_ea_fraction,following_ea_fraction,group_unique_ea,V1_abs_curvature,V2_abs_curvature,V1_monotonicity_violation,V2_monotonicity_violation
COc1ccc(C(=O)c2ccccc2)cc1,DCM,50.0,300,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,588.84,1055.0925000000002,False,False
COc1ccc(C(=O)c2ccccc2)cc1,DCM,50.0,300,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,128.97499999999997,222.17249999999987,False,False
COc1ccc(C(=O)c2ccccc2)cc1,DCM,50.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,50.64999999999999,64.39000000000001,False,False
COc1ccc(C(=O)c2ccccc2)cc1,DCM,50.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,1.5500000000000027,17.85,False,False
COc1ccc(C(=O)c2ccccc2)cc1,DCM,50.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,0.749999999999998,8.416666666666666,False,True
COc1ccc(C(=O)c2ccccc2)cc1,DCM,100.0,300,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,512.5224999999999,1059.8000000000002,False,False
COc1ccc(C(=O)c2ccccc2)cc1,DCM,100.0,300,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,158.015,213.29,False,False
COc1ccc(C(=O)c2ccccc2)cc1,DCM,100.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,19.080000000000005,68.98999999999998,False,False
COc1ccc(C(=O)c2ccccc2)cc1,DCM,100.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,8.8,18.900000000000006,False,False
COc1ccc(C(=O)c2ccccc2)cc1,DCM,100.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,0.36666666666666603,6.833333333333334,False,False
COc1ccc(C(=O)c2ccccc2)cc1,DCM,150.0,300,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,449.01500000000016,1024.3975,False,False
COc1ccc(C(=O)c2ccccc2)cc1,DCM,150.0,300,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,143.02749999999997,217.9925,False,False
COc1ccc(C(=O)c2ccccc2)cc1,DCM,150.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,41.220000000000006,69.30999999999997,False,False
COc1ccc(C(=O)c2ccccc2)cc1,DCM,150.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,0.6500000000000006,14.000000000000005,False,False
COc1ccc(C(=O)c2ccccc2)cc1,DCM,150.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,0.05000000000000182,10.266666666666657,False,False
COc1ccc(C(C)=O)cc1,DCM,50.0,300,5,Silica-CS 4g,0.09090909090909091,0.5,1.0,3,0.08611111111111391,14.136111111111108,False,False
COc1ccc(C(C)=O)cc1,DCM,100.0,300,5,Silica-CS 4g,0.09090909090909091,0.5,1.0,3,4.137037037037036,3.7370370370370267,True,False
COc1ccc(C(C)=O)cc1,DCM,100.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,4,96.13,190.77000000000004,True,True
COc1ccc(C(C)=O)cc1,DCM,100.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,1.0,4,15.237499999999994,54.65000000000003,False,False
COc1ccc(C(C)=O)cc1,DCM,150.0,300,10,Silica-CS 4g,0.047619047619047616,0.16666666666666666,0.3333333333333333,5,86.17,148.49000000000004,False,False
COc1ccc(C(C)=O)cc1,DCM,150.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,5,11.700000000000003,9.649999999999988,False,False
COc1ccc(C(C)=O)cc1,DCM,150.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,5,10.11666666666666,9.550000000000008,False,False
COc1ccc(C)cc1OC,DCM,50.0,300,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,471.625,668.3075000000001,False,False
COc1ccc(C)cc1OC,DCM,50.0,300,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,106.09499999999997,176.87999999999985,False,False
COc1ccc(C)cc1OC,DCM,50.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,39.599999999999994,53.95000000000007,False,False
COc1ccc(C)cc1OC,DCM,50.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,6.150000000000003,11.349999999999984,False,False
COc1ccc(C)cc1OC,DCM,50.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,1.4500000000000002,3.8666666666666645,False,False
COc1ccc(C)cc1OC,DCM,100.0,300,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,379.715,789.4600000000003,False,False
COc1ccc(C)cc1OC,DCM,100.0,300,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,104.14249999999993,127.13249999999992,False,False
COc1ccc(C)cc1OC,DCM,100.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,26.94000000000002,63.17000000000001,False,False
COc1ccc(C)cc1OC,DCM,100.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,8.999999999999996,3.4000000000000075,False,False
COc1ccc(C)cc1OC,DCM,100.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,3.4333333333333345,14.483333333333341,False,False
COc1ccc(C)cc1OC,DCM,150.0,300,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,389.1650000000001,655.2874999999999,False,False
COc1ccc(C)cc1OC,DCM,150.0,300,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,57.64,151.69,False,False
COc1ccc(C)cc1OC,DCM,150.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,47.83,61.67000000000003,False,False
COc1ccc(C)cc1OC,DCM,150.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,0.39999999999999947,4.050000000000001,False,False
COc1ccc(C)cc1OC,DCM,150.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,6.5666666666666655,15.616666666666664,True,False
COc1ccc(C=O)c(O)c1,DCM,50.0,600,10,Silica-CS 4g,0.0196078431372549,0.09090909090909091,0.16666666666666666,6,195.35999999999993,270.80624999999986,False,False
COc1ccc(C=O)c(O)c1,DCM,50.0,600,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,6,28.860000000000014,88.01000000000002,False,False
COc1ccc(C=O)c(O)c1,DCM,50.0,600,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,6,15.59999999999999,31.24999999999999,True,True
COc1ccc(C=O)c(O)c1,DCM,50.0,600,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,6,10.149999999999995,23.38333333333332,True,True
COc1ccc(C=O)c(O)c1,DCM,100.0,600,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,6,809.0074999999999,627.3575,True,False
COc1ccc(C=O)c(O)c1,DCM,100.0,600,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.3333333333333333,6,582.89,65.53937499999994,True,False
COc1ccc(C=O)c(O)c1,DCM,100.0,600,10,Silica-CS 4g,0.09090909090909091,0.3333333333333333,0.5,6,125.88750000000002,88.59687499999998,True,True
COc1ccc(C=O)c(O)c1,DCM,100.0,600,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,6,10.95,25.66666666666665,True,True
COc1ccc(C=O)c(O)c1,DCM,150.0,600,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,218.0150000000001,460.4775000000002,False,False
COc1ccc(C=O)c(O)c1,DCM,150.0,600,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,83.1875,188.70499999999998,False,False
COc1ccc(C=O)c(O)c1,DCM,150.0,600,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,25.890000000000004,59.68,False,False
COc1ccc(C=O)c(O)c1,DCM,150.0,600,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,15.149999999999995,49.29999999999998,True,True
COc1ccc(C=O)c(O)c1,DCM,150.0,600,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,11.749999999999998,41.3,True,True
COc1ccc(C=O)cc1,DCM,50.0,300,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.3333333333333333,4,814.7425,1299.3474999999999,True,True
COc1ccc(C=O)cc1,DCM,50.0,300,10,Silica-CS 4g,0.09090909090909091,0.3333333333333333,1.0,4,28.85,44.9375,True,True
COc1ccc(C=O)cc1,DCM,100.0,300,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,6,343.0350000000002,1615.1975,False,False
COc1ccc(C=O)cc1,DCM,100.0,300,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,6,693.165,278.4374999999998,True,False
COc1ccc(C=O)cc1,DCM,100.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,6,140.66000000000003,189.27000000000007,True,False
COc1ccc(C=O)cc1,DCM,100.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,1.0,6,30.137500000000003,22.65000000000001,False,False
COc1ccc(C=O)cc1,DCM,150.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,5,106.03000000000006,24.299999999999976,False,False
COc1ccc(C=O)cc1,DCM,150.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,5,2.7000000000000046,254.49999999999994,False,True
COc1ccc(C=O)cc1,DCM,150.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,5,14.483333333333334,239.68333333333328,False,True
COc1ccc(CCO)cc1,DCM,50.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,3,36.38333333333333,55.15000000000002,False,False
COc1ccc(CCO)cc1,DCM,100.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,4,119.0,199.10000000000008,False,False
COc1ccc(CCO)cc1,DCM,100.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,4,37.099999999999994,56.16666666666663,False,False
COc1ccc(CCO)cc1,DCM,150.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,4,130.4,189.75000000000006,False,False
COc1ccc(CCO)cc1,DCM,150.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,4,24.883333333333333,48.38333333333334,False,False
COc1ccc(CO)cc1,DCM,50.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,3,128.95000000000002,181.0,False,False
COc1ccc(CO)cc1,DCM,150.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,3,50.8,407.8,True,True
COc1ccc(Cl)cc1,PE,50.0,300,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,15.137499999999992,26.880000000000194,False,False
COc1ccc(Cl)cc1,PE,50.0,300,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,5.8574999999999875,20.349999999999888,False,False
COc1ccc(Cl)cc1,PE,50.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,7.950000000000008,8.540000000000015,False,False
COc1ccc(Cl)cc1,PE,50.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,9.549999999999994,6.3000000000000025,False,False
COc1ccc(Cl)cc1,PE,50.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,13.666666666666659,16.13333333333334,True,True
COc1ccc(Cl)cc1,PE,100.0,300,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,2.79999999999999,35.857500000000016,False,False
COc1ccc(Cl)cc1,PE,100.0,300,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,5.362499999999988,27.004999999999978,False,False
COc1ccc(Cl)cc1,PE,100.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,8.780000000000008,3.290000000000017,False,False
COc1ccc(Cl)cc1,PE,100.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,0.4500000000000062,7.999999999999998,False,False
COc1ccc(Cl)cc1,PE,100.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,1.4833333333333376,2.766666666666667,False,False
COc1ccc(Cl)cc1,PE,150.0,300,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,8.277499999999979,42.87500000000008,False,False
COc1ccc(Cl)cc1,PE,150.0,300,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,3.245000000000016,9.734999999999989,False,False
COc1ccc(Cl)cc1,PE,150.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,1.8399999999999954,9.650000000000016,False,False
COc1ccc(Cl)cc1,PE,150.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,2.099999999999998,2.7999999999999963,False,False
COc1ccc(Cl)cc1,PE,150.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,0.516666666666664,9.983333333333338,False,True
COc1ccc(OC)c(Br)c1,DCM,50.0,300,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,102.2000000000001,154.9099999999999,False,False
COc1ccc(OC)c(Br)c1,DCM,50.0,300,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,46.639999999999915,57.640000000000065,False,False
COc1ccc(OC)c(Br)c1,DCM,50.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,22.930000000000014,27.669999999999977,False,False
COc1ccc(OC)c(Br)c1,DCM,50.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,2.1499999999999955,7.450000000000004,False,False
COc1ccc(OC)c(Br)c1,DCM,50.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,2.4333333333333367,5.05,True,False
COc1ccc(OC)c(Br)c1,DCM,100.0,300,10,Silica-CS 4g,0.0196078431372549,0.047619047619047616,0.09090909090909091,7,110.47750000000006,159.61750000000012,False,False
COc1ccc(OC)c(Br)c1,DCM,100.0,300,10,Silica-CS 4g,0.047619047619047616,0.09090909090909091,0.16666666666666666,7,50.54499999999997,55.7974999999999,False,False
COc1ccc(OC)c(Br)c1,DCM,100.0,300,10,Silica-CS 4g,0.09090909090909091,0.16666666666666666,0.3333333333333333,7,10.069999999999999,25.980000000000057,False,False
COc1ccc(OC)c(Br)c1,DCM,100.0,300,10,Silica-CS 4g,0.16666666666666666,0.3333333333333333,0.5,7,7.800000000000004,7.29999999999998,False,False
COc1ccc(OC)c(Br)c1,DCM,100.0,300,10,Silica-CS 4g,0.3333333333333333,0.5,1.0,7,0.2666666666666693,6.366666666666675,False,False
