mode,seed,split,kind,signal,error,n,spearman
compound,42,train,gradient,V1_abs_gradient,mean_combined_endpoint_error,2754,0.491221140026862
compound,42,train,gradient,V2_abs_gradient,mean_V1_endpoint_error,2754,0.44897634446761137
compound,42,train,gradient,V2_abs_gradient,mean_V2_endpoint_error,2754,0.4249856961410956
compound,42,train,gradient,V2_abs_gradient,mean_combined_endpoint_error,2754,0.5384049935760004
compound,42,validation,gradient,V1_abs_gradient,mean_V1_endpoint_error,321,0.5271585727617628
compound,42,validation,gradient,V1_abs_gradient,mean_V2_endpoint_error,321,0.46634941908079136
compound,42,validation,gradient,V1_abs_gradient,mean_combined_endpoint_error,321,0.5893777627521277
compound,42,validation,gradient,V2_abs_gradient,mean_V1_endpoint_error,321,0.6529504252729063
compound,42,validation,gradient,V2_abs_gradient,mean_V2_endpoint_error,321,0.5665266399251396
compound,42,validation,gradient,V2_abs_gradient,mean_combined_endpoint_error,321,0.7348360925238449
compound,42,test,gradient,V1_abs_gradient,mean_V1_endpoint_error,310,0.6472114120524569
compound,42,test,gradient,V1_abs_gradient,mean_V2_endpoint_error,310,0.41940564167740735
compound,42,test,gradient,V1_abs_gradient,mean_combined_endpoint_error,310,0.5535243230142196
compound,42,test,gradient,V2_abs_gradient,mean_V1_endpoint_error,310,0.6096002418473966
compound,42,test,gradient,V2_abs_gradient,mean_V2_endpoint_error,310,0.46708026572197114
compound,42,test,gradient,V2_abs_gradient,mean_combined_endpoint_error,310,0.5843399986042648
compound,525,train,gradient,V1_abs_gradient,mean_V1_endpoint_error,2716,0.6267840242903688
compound,525,train,gradient,V1_abs_gradient,mean_V2_endpoint_error,2716,0.4448793440016706
compound,525,train,gradient,V1_abs_gradient,mean_combined_endpoint_error,2716,0.6012070439978229
compound,525,train,gradient,V2_abs_gradient,mean_V1_endpoint_error,2716,0.539586407185033
compound,525,train,gradient,V2_abs_gradient,mean_V2_endpoint_error,2716,0.47649432634556216
compound,525,train,gradient,V2_abs_gradient,mean_combined_endpoint_error,2716,0.568355802035971
compound,525,validation,gradient,V1_abs_gradient,mean_V1_endpoint_error,343,0.5230163777259578
compound,525,validation,gradient,V1_abs_gradient,mean_V2_endpoint_error,343,0.37850211812103307
compound,525,validation,gradient,V1_abs_gradient,mean_combined_endpoint_error,343,0.5204721942652156
compound,525,validation,gradient,V2_abs_gradient,mean_V1_endpoint_error,343,0.46397316379856635
compound,525,validation,gradient,V2_abs_gradient,mean_V2_endpoint_error,343,0.3889395085184384
compound,525,validation,gradient,V2_abs_gradient,mean_combined_endpoint_error,343,0.49058321247568537
compound,525,test,gradient,V1_abs_gradient,mean_V1_endpoint_error,326,0.5002941069777705
compound,525,test,gradient,V1_abs_gradient,mean_V2_endpoint_error,326,0.31105096679608374
compound,525,test,gradient,V1_abs_gradient,mean_combined_endpoint_error,326,0.44495194578789826
compound,525,test,gradient,V2_abs_gradient,mean_V1_endpoint_error,326,0.41472365183918114
compound,525,test,gradient,V2_abs_gradient,mean_V2_endpoint_error,326,0.3440475807001936
compound,525,test,gradient,V2_abs_gradient,mean_combined_endpoint_error,326,0.4231444507136372
compound,1101,train,gradient,V1_abs_gradient,mean_V1_endpoint_error,2696,0.4715296202359605
compound,1101,train,gradient,V1_abs_gradient,mean_V2_endpoint_error,2696,0.39847615988578194
compound,1101,train,gradient,V1_abs_gradient,mean_combined_endpoint_error,2696,0.5183180990385639
compound,1101,train,gradient,V2_abs_gradient,mean_V1_endpoint_error,2696,0.46619285575351416
compound,1101,train,gradient,V2_abs_gradient,mean_V2_endpoint_error,2696,0.47220802083600266
compound,1101,train,gradient,V2_abs_gradient,mean_combined_endpoint_error,2696,0.5680433538125491
compound,1101,validation,gradient,V1_abs_gradient,mean_V1_endpoint_error,346,0.505612011694866
compound,1101,validation,gradient,V1_abs_gradient,mean_V2_endpoint_error,346,0.3821426121881393
compound,1101,validation,gradient,V1_abs_gradient,mean_combined_endpoint_error,346,0.49804748737573884
compound,1101,validation,gradient,V2_abs_gradient,mean_V1_endpoint_error,346,0.5079549502192053
compound,1101,validation,gradient,V2_abs_gradient,mean_V2_endpoint_error,346,0.46549962678694096
compound,1101,validation,gradient,V2_abs_gradient,mean_combined_endpoint_error,346,0.5863323040580886
compound,1101,test,gradient,V1_abs_gradient,mean_V1_endpoint_error,343,0.5183576334152875
compound,1101,test,gradient,V1_abs_gradient,mean_V2_endpoint_error,343,0.4753992122417217
compound,1101,test,gradient,V1_abs_gradient,mean_combined_endpoint_error,343,0.5484901442307137
compound,1101,test,gradient,V2_abs_gradient,mean_V1_endpoint_error,343,0.5009026781782269
compound,1101,test,gradient,V2_abs_gradient,mean_V2_endpoint_error,343,0.45505804587944515
compound,1101,test,gradient,V2_abs_gradient,mean_combined_endpoint_error,343,0.528589666081954
