mode,seed,split,left,right,left_bin,right_bin,n,mean_combined_error,mean_V1_abs_error,mean_V2_abs_error,mean_V1_width,mean_V2_width
compound,42,test,ea_fraction,V1_q50,"(0.5, 1.0]","(0.598, 4.724]",30,0.11766455185975537,0.6074713266666666,1.9918521133333333,1.745648976666667,2.929920823333333
compound,42,test,ea_fraction,V1_q50,"(0.5, 1.0]","(4.724, 5.346]",15,0.11678414681458352,0.8053644266666666,1.9046073533333332,2.1297660466666666,3.8316605
compound,42,test,ea_fraction,V1_q50,"(0.5, 1.0]","(5.346, 6.172]",15,0.1571122750418019,1.0195743533333335,2.7936404199999996,3.2032473533333334,5.088382466666667
compound,42,test,ea_fraction,V1_q50,"(0.5, 1.0]","(6.172, 9.189]",3,0.1328113423237796,1.2631641333333334,1.4439320000000002,6.541518333333333,5.2225856666666655
compound,42,train,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(0.598, 4.724]",6,0.06381510351611965,0.5551118333333331,0.764775333333333,4.718349016666666,9.369337183333334
compound,42,train,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(4.724, 5.346]",49,0.0764076349238602,0.4821058367346938,1.2324017530612246,2.6224353714285713,5.78193013877551
compound,42,train,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(5.346, 6.172]",155,0.09264427924992709,0.7268853348387097,1.1732324780645162,3.3087122858064517,5.05426618
compound,42,train,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(6.172, 9.189]",279,0.14449249689585825,1.1232560720430107,1.8110624964157707,3.785241329390681,5.361387699999999
compound,42,train,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(9.189, 63.756]",334,0.3669701798185077,3.2777628450898204,3.8024567712574853,10.734356916167664,11.931491714071857
compound,42,train,ea_fraction,V1_q50,"(0.0476, 0.167]","(0.598, 4.724]",12,0.05722176829540615,0.5796514500000001,0.43435114166666655,2.3196067,6.0846632000000005
compound,42,train,ea_fraction,V1_q50,"(0.0476, 0.167]","(4.724, 5.346]",133,0.07609642021515224,0.5953368345864661,0.9726550233082705,2.0329981105263153,3.897943704511278
compound,42,train,ea_fraction,V1_q50,"(0.0476, 0.167]","(5.346, 6.172]",274,0.0913187500697164,0.6641598791970803,1.2528994565693432,2.351849716788321,3.895080324817519
compound,42,train,ea_fraction,V1_q50,"(0.0476, 0.167]","(6.172, 9.189]",289,0.1315574214369616,1.0535662512110726,1.593738693771626,3.1867885259515574,4.600136381314879
compound,42,train,ea_fraction,V1_q50,"(0.0476, 0.167]","(9.189, 63.756]",306,0.35287877810962953,2.9323839248366013,4.366041532679738,8.585023753921568,10.629597661764706
compound,42,train,ea_fraction,V1_q50,"(0.167, 0.333]","(0.598, 4.724]",71,0.06719748908944768,0.5389406478873239,0.8236121535211266,2.039043202816902,3.749013307042254
compound,42,train,ea_fraction,V1_q50,"(0.167, 0.333]","(4.724, 5.346]",132,0.07856841727548314,0.5866992916666668,1.0404034272727272,2.3460380515151518,3.7992230689393938
compound,42,train,ea_fraction,V1_q50,"(0.167, 0.333]","(5.346, 6.172]",153,0.08844473538645001,0.7290253267973856,1.077886653594771,2.598979237254902,3.781665430718955
compound,42,train,ea_fraction,V1_q50,"(0.167, 0.333]","(6.172, 9.189]",117,0.17454635075664862,1.3475424786324786,2.1104069658119657,3.3171621606837616,4.710019098290598
compound,42,train,ea_fraction,V1_q50,"(0.167, 0.333]","(9.189, 63.756]",51,0.3164622998071566,2.7235424313725485,3.9053545882352942,6.821587288235294,8.307143980392155
compound,42,train,ea_fraction,V1_q50,"(0.333, 0.5]","(0.598, 4.724]",141,0.08235337547041995,0.6158920609929078,1.072554390780142,2.013823353191489,4.086450075886525
compound,42,train,ea_fraction,V1_q50,"(0.333, 0.5]","(4.724, 5.346]",152,0.08565791546335307,0.6325452138157894,1.1387518421052631,2.3665465394736844,4.0682531625000005
compound,42,train,ea_fraction,V1_q50,"(0.333, 0.5]","(5.346, 6.172]",130,0.10165470276639967,0.8107210907692308,1.3026117376923079,2.556290820769231,4.25816481923077
compound,42,train,ea_fraction,V1_q50,"(0.333, 0.5]","(6.172, 9.189]",86,0.189796560228199,1.4064176441860465,2.423757589534884,4.100432675581394,5.206376436046512
