mode,seed,split,signal,error,n,spearman
row,42,validation,condition_nn_distance,V2_abs_error,416,0.025640149630023853
row,42,validation,condition_nn_distance,combined_normalized_error,416,0.06393083663126092
row,42,validation,ea_fraction,V1_abs_error,416,-0.23884994351493952
row,42,validation,ea_fraction,V2_abs_error,416,-0.136821625081231
row,42,validation,ea_fraction,combined_normalized_error,416,-0.22244045822921837
row,42,validation,V1_q50,V1_abs_error,416,0.4579551482298395
row,42,validation,V1_q50,V2_abs_error,416,0.3546939722398997
row,42,validation,V1_q50,combined_normalized_error,416,0.49406439324786444
row,42,validation,V2_q50,V1_abs_error,416,0.3797802363024641
row,42,validation,V2_q50,V2_abs_error,416,0.4095950999120462
row,42,validation,V2_q50,combined_normalized_error,416,0.4977416928321409
row,42,validation,true_retention_magnitude,V1_abs_error,416,0.43375821781382445
row,42,validation,true_retention_magnitude,V2_abs_error,416,0.4157751854673019
row,42,validation,true_retention_magnitude,combined_normalized_error,416,0.5372656046263372
row,42,validation,predicted_retention_magnitude,V1_abs_error,416,0.4074614127116232
row,42,validation,predicted_retention_magnitude,V2_abs_error,416,0.4103912008510111
row,42,validation,predicted_retention_magnitude,combined_normalized_error,416,0.5107060032653347
row,42,test,V1_interval_width_clipped,V1_abs_error,417,0.3843086780003513
row,42,test,V1_interval_width_clipped,V2_abs_error,417,0.3716355894371772
row,42,test,V1_interval_width_clipped,combined_normalized_error,417,0.4686900481290585
row,42,test,V2_interval_width_clipped,V1_abs_error,417,0.372722620160255
row,42,test,V2_interval_width_clipped,V2_abs_error,417,0.3263112820086373
row,42,test,V2_interval_width_clipped,combined_normalized_error,417,0.41367489117901646
row,42,test,descriptor_nn_distance,V1_abs_error,417,
row,42,test,descriptor_nn_distance,V2_abs_error,417,
row,42,test,descriptor_nn_distance,combined_normalized_error,417,
row,42,test,condition_nn_distance,V1_abs_error,417,0.062136717973714936
row,42,test,condition_nn_distance,V2_abs_error,417,0.08088761561029031
row,42,test,condition_nn_distance,combined_normalized_error,417,0.07704525355390525
row,42,test,ea_fraction,V1_abs_error,417,-0.1627676172525118
row,42,test,ea_fraction,V2_abs_error,417,-0.22423423718379717
row,42,test,ea_fraction,combined_normalized_error,417,-0.2192146081859255
row,42,test,V1_q50,V1_abs_error,417,0.43085348502281656
row,42,test,V1_q50,V2_abs_error,417,0.2821786786581795
row,42,test,V1_q50,combined_normalized_error,417,0.442772594447018
row,42,test,V2_q50,V1_abs_error,417,0.37987797486432934
row,42,test,V2_q50,V2_abs_error,417,0.4271463933409557
row,42,test,V2_q50,combined_normalized_error,417,0.4974612367260343
row,42,test,true_retention_magnitude,V1_abs_error,417,0.4353014713104487
row,42,test,true_retention_magnitude,V2_abs_error,417,0.3648771436630977
row,42,test,true_retention_magnitude,combined_normalized_error,417,0.5036894260779837
row,42,test,predicted_retention_magnitude,V1_abs_error,417,0.3925289703162101
row,42,test,predicted_retention_magnitude,V2_abs_error,417,0.40282344997586034
row,42,test,predicted_retention_magnitude,combined_normalized_error,417,0.49235797625445804
row,525,train,V1_interval_width_clipped,V1_abs_error,3330,0.34426203546771
row,525,train,V1_interval_width_clipped,V2_abs_error,3330,0.30776829915245646
row,525,train,V1_interval_width_clipped,combined_normalized_error,3330,0.42063523054726304
row,525,train,V2_interval_width_clipped,V1_abs_error,3330,0.31089727275216344
row,525,train,V2_interval_width_clipped,V2_abs_error,3330,0.4302974584113686
row,525,train,V2_interval_width_clipped,combined_normalized_error,3330,0.48295603280923016
row,525,train,descriptor_nn_distance,V1_abs_error,3330,
row,525,train,descriptor_nn_distance,V2_abs_error,3330,
row,525,train,descriptor_nn_distance,combined_normalized_error,3330,
row,525,train,condition_nn_distance,V1_abs_error,3330,
row,525,train,condition_nn_distance,V2_abs_error,3330,
row,525,train,condition_nn_distance,combined_normalized_error,3330,
row,525,train,ea_fraction,V1_abs_error,3330,-0.08101615408884418
row,525,train,ea_fraction,V2_abs_error,3330,-0.021543510843520557
row,525,train,ea_fraction,combined_normalized_error,3330,-0.07916638784719256
row,525,train,V1_q50,V1_abs_error,3330,0.24840603593954808
row,525,train,V1_q50,V2_abs_error,3330,0.22028874941654011
row,525,train,V1_q50,combined_normalized_error,3330,0.28957108818803745
row,525,train,V2_q50,V1_abs_error,3330,0.27401224723083206
row,525,train,V2_q50,V2_abs_error,3330,0.33447937131068023
row,525,train,V2_q50,combined_normalized_error,3330,0.40276803158345853
row,525,train,true_retention_magnitude,V1_abs_error,3330,0.3023776393639902
row,525,train,true_retention_magnitude,V2_abs_error,3330,0.3430485377685675
row,525,train,true_retention_magnitude,combined_normalized_error,3330,0.42498234535952356
row,525,train,predicted_retention_magnitude,V1_abs_error,3330,0.27360175650570073
row,525,train,predicted_retention_magnitude,V2_abs_error,3330,0.3226446003846134
row,525,train,predicted_retention_magnitude,combined_normalized_error,3330,0.3890746866753242
row,525,validation,V1_interval_width_clipped,V1_abs_error,416,0.43642800210043636
row,525,validation,V1_interval_width_clipped,V2_abs_error,416,0.2930144851282625
row,525,validation,V1_interval_width_clipped,combined_normalized_error,416,0.47368905982538073
row,525,validation,V2_interval_width_clipped,V1_abs_error,416,0.40478632353260774
row,525,validation,V2_interval_width_clipped,V2_abs_error,416,0.42498371772721355
row,525,validation,V2_interval_width_clipped,combined_normalized_error,416,0.5419577157220435
row,525,validation,descriptor_nn_distance,V1_abs_error,416,
row,525,validation,descriptor_nn_distance,V2_abs_error,416,
row,525,validation,descriptor_nn_distance,combined_normalized_error,416,
row,525,validation,condition_nn_distance,V1_abs_error,416,0.03031089166362184
row,525,validation,condition_nn_distance,V2_abs_error,416,-0.0034159972366365307
row,525,validation,condition_nn_distance,combined_normalized_error,416,0.01587555933004705
row,525,validation,ea_fraction,V1_abs_error,416,-0.18776683695576005
row,525,validation,ea_fraction,V2_abs_error,416,-0.11372985432821921
row,525,validation,ea_fraction,combined_normalized_error,416,-0.20457844436672934
row,525,validation,V1_q50,V1_abs_error,416,0.33988942848045545
row,525,validation,V1_q50,V2_abs_error,416,0.30797204828929176
row,525,validation,V1_q50,combined_normalized_error,416,0.3826415157555215
row,525,validation,V2_q50,V1_abs_error,416,0.3976075799944166
row,525,validation,V2_q50,V2_abs_error,416,0.3611604588031752
row,525,validation,V2_q50,combined_normalized_error,416,0.4975297492927997
row,525,validation,true_retention_magnitude,V1_abs_error,416,0.4272266032408504
row,525,validation,true_retention_magnitude,V2_abs_error,416,0.39053694976980124
row,525,validation,true_retention_magnitude,combined_normalized_error,416,0.5313451422755526
row,525,validation,predicted_retention_magnitude,V1_abs_error,416,0.3832125881627438
row,525,validation,predicted_retention_magnitude,V2_abs_error,416,0.3639486456553665
row,525,validation,predicted_retention_magnitude,combined_normalized_error,416,0.4769173024729798
row,525,test,V1_interval_width_clipped,V1_abs_error,417,0.3376390904092326
row,525,test,V1_interval_width_clipped,V2_abs_error,417,0.21891666801128562
row,525,test,V1_interval_width_clipped,combined_normalized_error,417,0.3701789335150443
row,525,test,V2_interval_width_clipped,V1_abs_error,417,0.30389372468756354
row,525,test,V2_interval_width_clipped,V2_abs_error,417,0.34543638652684416
row,525,test,V2_interval_width_clipped,combined_normalized_error,417,0.4400636645686501
row,525,test,descriptor_nn_distance,V1_abs_error,417,
row,525,test,descriptor_nn_distance,V2_abs_error,417,
row,525,test,descriptor_nn_distance,combined_normalized_error,417,
row,525,test,condition_nn_distance,V1_abs_error,417,0.02325417020702195
row,525,test,condition_nn_distance,V2_abs_error,417,0.07653267289425077
row,525,test,condition_nn_distance,combined_normalized_error,417,0.0866572572923624
row,525,test,ea_fraction,V1_abs_error,417,-0.14990071810794584
row,525,test,ea_fraction,V2_abs_error,417,-0.03865308441683859
row,525,test,ea_fraction,combined_normalized_error,417,-0.1292362357287027
row,525,test,V1_q50,V1_abs_error,417,0.3043539564666424
row,525,test,V1_q50,V2_abs_error,417,0.10461369532937598
row,525,test,V1_q50,combined_normalized_error,417,0.2607141039691897
row,525,test,V2_q50,V1_abs_error,417,0.3069611090907372
row,525,test,V2_q50,V2_abs_error,417,0.27767623496975535
row,525,test,V2_q50,combined_normalized_error,417,0.39663456545870446
row,525,test,true_retention_magnitude,V1_abs_error,417,0.3861939060408913
row,525,test,true_retention_magnitude,V2_abs_error,417,0.30786571094231774
row,525,test,true_retention_magnitude,combined_normalized_error,417,0.45183676515782634
row,525,test,predicted_retention_magnitude,V1_abs_error,417,0.32003212189439856
row,525,test,predicted_retention_magnitude,V2_abs_error,417,0.2532376130668764
row,525,test,predicted_retention_magnitude,combined_normalized_error,417,0.3847638622895841
row,1101,train,V1_interval_width_clipped,V1_abs_error,3330,0.427327722786143
row,1101,train,V1_interval_width_clipped,V2_abs_error,3330,0.4492350009774889
row,1101,train,V1_interval_width_clipped,combined_normalized_error,3330,0.5551865333616314
row,1101,train,V2_interval_width_clipped,V1_abs_error,3330,0.4245270234084857
row,1101,train,V2_interval_width_clipped,V2_abs_error,3330,0.4408113353885132
row,1101,train,V2_interval_width_clipped,combined_normalized_error,3330,0.5412539518410412
row,1101,train,descriptor_nn_distance,V1_abs_error,3330,
row,1101,train,descriptor_nn_distance,V2_abs_error,3330,
row,1101,train,descriptor_nn_distance,combined_normalized_error,3330,
row,1101,train,condition_nn_distance,V1_abs_error,3330,
row,1101,train,condition_nn_distance,V2_abs_error,3330,
row,1101,train,condition_nn_distance,combined_normalized_error,3330,
row,1101,train,ea_fraction,V1_abs_error,3330,-0.21220543449390616
row,1101,train,ea_fraction,V2_abs_error,3330,-0.18867104415880984
row,1101,train,ea_fraction,combined_normalized_error,3330,-0.25773138621641817
row,1101,train,V1_q50,V1_abs_error,3330,0.4971197951956375
row,1101,train,V1_q50,V2_abs_error,3330,0.40194791689957404
row,1101,train,V1_q50,combined_normalized_error,3330,0.5600021480325305
row,1101,train,V2_q50,V1_abs_error,3330,0.45460277667676235
row,1101,train,V2_q50,V2_abs_error,3330,0.4859909408663379
row,1101,train,V2_q50,combined_normalized_error,3330,0.5979139944411496
row,1101,train,true_retention_magnitude,V1_abs_error,3330,0.4475842358306511
row,1101,train,true_retention_magnitude,V2_abs_error,3330,0.4740241948952125
row,1101,train,true_retention_magnitude,combined_normalized_error,3330,0.5956991081585569
row,1101,train,predicted_retention_magnitude,V1_abs_error,3330,0.476388730553553
row,1101,train,predicted_retention_magnitude,V2_abs_error,3330,0.4823031604411957
row,1101,train,predicted_retention_magnitude,combined_normalized_error,3330,0.607217768140413
row,1101,validation,V1_interval_width_clipped,V1_abs_error,416,0.3843013095368747
row,1101,validation,V1_interval_width_clipped,V2_abs_error,416,0.41970763209685624
row,1101,validation,V1_interval_width_clipped,combined_normalized_error,416,0.5291696776387147
row,1101,validation,V2_interval_width_clipped,V1_abs_error,416,0.411138878983701
row,1101,validation,V2_interval_width_clipped,V2_abs_error,416,0.4550279437513717
row,1101,validation,V2_interval_width_clipped,combined_normalized_error,416,0.5399742142305836
row,1101,validation,descriptor_nn_distance,V1_abs_error,416,
row,1101,validation,descriptor_nn_distance,V2_abs_error,416,
row,1101,validation,descriptor_nn_distance,combined_normalized_error,416,
row,1101,validation,condition_nn_distance,V1_abs_error,416,0.018866111297661376
row,1101,validation,condition_nn_distance,V2_abs_error,416,0.0563216814018589
row,1101,validation,condition_nn_distance,combined_normalized_error,416,0.08162989184991849
row,1101,validation,ea_fraction,V1_abs_error,416,-0.2007692902696384
row,1101,validation,ea_fraction,V2_abs_error,416,-0.16529032349352032
row,1101,validation,ea_fraction,combined_normalized_error,416,-0.24847522748085615
row,1101,validation,V1_q50,V1_abs_error,416,0.465798976095181
row,1101,validation,V1_q50,V2_abs_error,416,0.3780358484619558
row,1101,validation,V1_q50,combined_normalized_error,416,0.5343856723167066
row,1101,validation,V2_q50,V1_abs_error,416,0.42411469087518383
row,1101,validation,V2_q50,V2_abs_error,416,0.46086768418179386
row,1101,validation,V2_q50,combined_normalized_error,416,0.5798319345240361
row,1101,validation,true_retention_magnitude,V1_abs_error,416,0.3897819698283496
row,1101,validation,true_retention_magnitude,V2_abs_error,416,0.397941005345941
row,1101,validation,true_retention_magnitude,combined_normalized_error,416,0.5207830127107128
row,1101,validation,predicted_retention_magnitude,V1_abs_error,416,0.4480122208828429
row,1101,validation,predicted_retention_magnitude,V2_abs_error,416,0.45634361056696005
row,1101,validation,predicted_retention_magnitude,combined_normalized_error,416,0.5881009829704703
row,1101,test,V1_interval_width_clipped,V1_abs_error,417,0.42250690523474776
row,1101,test,V1_interval_width_clipped,V2_abs_error,417,0.4568135338587884
row,1101,test,V1_interval_width_clipped,combined_normalized_error,417,0.5424177996660471
row,1101,test,V2_interval_width_clipped,V1_abs_error,417,0.42351772709390284
row,1101,test,V2_interval_width_clipped,V2_abs_error,417,0.47976422100210003
row,1101,test,V2_interval_width_clipped,combined_normalized_error,417,0.5472892063861009
row,1101,test,descriptor_nn_distance,V1_abs_error,417,
row,1101,test,descriptor_nn_distance,V2_abs_error,417,
row,1101,test,descriptor_nn_distance,combined_normalized_error,417,
row,1101,test,condition_nn_distance,V1_abs_error,417,-0.018232687321885134
row,1101,test,condition_nn_distance,V2_abs_error,417,-0.047066091181409496
row,1101,test,condition_nn_distance,combined_normalized_error,417,-0.06521408380215157
row,1101,test,ea_fraction,V1_abs_error,417,-0.22871405658862626
row,1101,test,ea_fraction,V2_abs_error,417,-0.20314861215100866
row,1101,test,ea_fraction,combined_normalized_error,417,-0.2860506419419188
row,1101,test,V1_q50,V1_abs_error,417,0.49704905965474966
row,1101,test,V1_q50,V2_abs_error,417,0.3687249102012292
row,1101,test,V1_q50,combined_normalized_error,417,0.5032550722823275
row,1101,test,V2_q50,V1_abs_error,417,0.42539307635846496
row,1101,test,V2_q50,V2_abs_error,417,0.5227921670076968
row,1101,test,V2_q50,combined_normalized_error,417,0.5821728209976899
row,1101,test,true_retention_magnitude,V1_abs_error,417,0.47272841010511507
row,1101,test,true_retention_magnitude,V2_abs_error,417,0.5142034721106375
row,1101,test,true_retention_magnitude,combined_normalized_error,417,0.6030066989297914
row,1101,test,predicted_retention_magnitude,V1_abs_error,417,0.45140701049145576
row,1101,test,predicted_retention_magnitude,V2_abs_error,417,0.509411685708046
row,1101,test,predicted_retention_magnitude,combined_normalized_error,417,0.585428534559438
compound,42,train,V1_interval_width_clipped,V1_abs_error,3401,0.44098976267782075
compound,42,train,V1_interval_width_clipped,V2_abs_error,3401,0.40108702331319407
compound,42,train,V1_interval_width_clipped,combined_normalized_error,3401,0.5492605583975912
compound,42,train,V2_interval_width_clipped,V1_abs_error,3401,0.40244047968642616
compound,42,train,V2_interval_width_clipped,V2_abs_error,3401,0.3610002719266755
compound,42,train,V2_interval_width_clipped,combined_normalized_error,3401,0.49039376202394286
compound,42,train,descriptor_nn_distance,V1_abs_error,3401,
compound,42,train,descriptor_nn_distance,V2_abs_error,3401,
compound,42,train,descriptor_nn_distance,combined_normalized_error,3401,
compound,42,train,condition_nn_distance,V1_abs_error,3401,
compound,42,train,condition_nn_distance,V2_abs_error,3401,
compound,42,train,condition_nn_distance,combined_normalized_error,3401,
compound,42,train,ea_fraction,V1_abs_error,3401,-0.2556174565596877
compound,42,train,ea_fraction,V2_abs_error,3401,-0.11245095086680891
compound,42,train,ea_fraction,combined_normalized_error,3401,-0.25026892991334465
compound,42,train,V1_q50,V1_abs_error,3401,0.4934062722918522
compound,42,train,V1_q50,V2_abs_error,3401,0.3384347062882307
compound,42,train,V1_q50,combined_normalized_error,3401,0.5371659672794848
compound,42,train,V2_q50,V1_abs_error,3401,0.4485125875333734
compound,42,train,V2_q50,V2_abs_error,3401,0.45939619727628245
compound,42,train,V2_q50,combined_normalized_error,3401,0.5906010361812696
compound,42,train,true_retention_magnitude,V1_abs_error,3401,0.43355821519812665
compound,42,train,true_retention_magnitude,V2_abs_error,3401,0.4090890518386105
compound,42,train,true_retention_magnitude,combined_normalized_error,3401,0.5570530242499682
compound,42,train,predicted_retention_magnitude,V1_abs_error,3401,0.4724588981223291
compound,42,train,predicted_retention_magnitude,V2_abs_error,3401,0.4419965570846666
compound,42,train,predicted_retention_magnitude,combined_normalized_error,3401,0.5948276553360055
compound,42,validation,V1_interval_width_clipped,V1_abs_error,389,0.6007898111962092
compound,42,validation,V1_interval_width_clipped,V2_abs_error,389,0.5671764823104488
compound,42,validation,V1_interval_width_clipped,combined_normalized_error,389,0.7042918239482985
compound,42,validation,V2_interval_width_clipped,V1_abs_error,389,0.5652251181061677
compound,42,validation,V2_interval_width_clipped,V2_abs_error,389,0.5138299523296396
compound,42,validation,V2_interval_width_clipped,combined_normalized_error,389,0.6421806678460243
compound,42,validation,descriptor_nn_distance,V1_abs_error,389,-0.014262679037732725
compound,42,validation,descriptor_nn_distance,V2_abs_error,389,-0.023014543195346255
compound,42,validation,descriptor_nn_distance,combined_normalized_error,389,-0.03713388795942786
compound,42,validation,condition_nn_distance,V1_abs_error,389,0.03449560755807985
compound,42,validation,condition_nn_distance,V2_abs_error,389,0.04816787669328518
compound,42,validation,condition_nn_distance,combined_normalized_error,389,0.0425854963767058
compound,42,validation,ea_fraction,V1_abs_error,389,-0.5424028359385439
compound,42,validation,ea_fraction,V2_abs_error,389,-0.3802572711544258
compound,42,validation,ea_fraction,combined_normalized_error,389,-0.5508961480869823
compound,42,validation,V1_q50,V1_abs_error,389,0.6648297028539268
compound,42,validation,V1_q50,V2_abs_error,389,0.4946763300512196
compound,42,validation,V1_q50,combined_normalized_error,389,0.6803645760736134
compound,42,validation,V2_q50,V1_abs_error,389,0.5955668744104086
compound,42,validation,V2_q50,V2_abs_error,389,0.5766823495776269
compound,42,validation,V2_q50,combined_normalized_error,389,0.7242608930316836
compound,42,validation,true_retention_magnitude,V1_abs_error,389,0.5947058782157537
compound,42,validation,true_retention_magnitude,V2_abs_error,389,0.4988151056120159
compound,42,validation,true_retention_magnitude,combined_normalized_error,389,0.6698933875360501
compound,42,validation,predicted_retention_magnitude,V1_abs_error,389,0.6286093905326935
compound,42,validation,predicted_retention_magnitude,V2_abs_error,389,0.5726687204035892
compound,42,validation,predicted_retention_magnitude,combined_normalized_error,389,0.7323020139754434
compound,42,test,V1_interval_width_clipped,V1_abs_error,373,0.5456406914734948
compound,42,test,V1_interval_width_clipped,V2_abs_error,373,0.5544159154152489
compound,42,test,V1_interval_width_clipped,combined_normalized_error,373,0.6100099848262089
compound,42,test,V2_interval_width_clipped,V1_abs_error,373,0.48660349880519693
compound,42,test,V2_interval_width_clipped,V2_abs_error,373,0.492302341832537
compound,42,test,V2_interval_width_clipped,combined_normalized_error,373,0.5419552315355867
compound,42,test,descriptor_nn_distance,V1_abs_error,373,0.20957264976398954
compound,42,test,descriptor_nn_distance,V2_abs_error,373,0.12001544897130442
compound,42,test,descriptor_nn_distance,combined_normalized_error,373,0.17101091066084514
compound,42,test,condition_nn_distance,V1_abs_error,373,0.20952681457551356
compound,42,test,condition_nn_distance,V2_abs_error,373,0.20844827103747338
compound,42,test,condition_nn_distance,combined_normalized_error,373,0.24811630604780238
compound,42,test,ea_fraction,V1_abs_error,373,-0.2675620236651983
compound,42,test,ea_fraction,V2_abs_error,373,-0.11661543952444967
compound,42,test,ea_fraction,combined_normalized_error,373,-0.2404552882496371
compound,42,test,V1_q50,V1_abs_error,373,0.5360267698786605
compound,42,test,V1_q50,V2_abs_error,373,0.46997198791461414
compound,42,test,V1_q50,combined_normalized_error,373,0.5386108466013436
compound,42,test,V2_q50,V1_abs_error,373,0.5197599201953862
compound,42,test,V2_q50,V2_abs_error,373,0.5346638572877437
compound,42,test,V2_q50,combined_normalized_error,373,0.5905187623625237
compound,42,test,true_retention_magnitude,V1_abs_error,373,0.658019315946835
compound,42,test,true_retention_magnitude,V2_abs_error,373,0.5864734493890345
compound,42,test,true_retention_magnitude,combined_normalized_error,373,0.7060409477353994
compound,42,test,predicted_retention_magnitude,V1_abs_error,373,0.5320335331069366
compound,42,test,predicted_retention_magnitude,V2_abs_error,373,0.5271280652237151
compound,42,test,predicted_retention_magnitude,combined_normalized_error,373,0.5853140734252392
compound,525,train,V1_interval_width_clipped,V1_abs_error,3321,0.45459040637908316
compound,525,train,V1_interval_width_clipped,V2_abs_error,3321,0.5514490893283017
compound,525,train,V1_interval_width_clipped,combined_normalized_error,3321,0.5981058169939388
compound,525,train,V2_interval_width_clipped,V1_abs_error,3321,0.46319633702410656
compound,525,train,V2_interval_width_clipped,V2_abs_error,3321,0.5504278380130205
compound,525,train,V2_interval_width_clipped,combined_normalized_error,3321,0.599929333458038
compound,525,train,descriptor_nn_distance,V1_abs_error,3321,
compound,525,train,descriptor_nn_distance,V2_abs_error,3321,
compound,525,train,descriptor_nn_distance,combined_normalized_error,3321,
compound,525,train,condition_nn_distance,V1_abs_error,3321,
compound,525,train,condition_nn_distance,V2_abs_error,3321,
compound,525,train,condition_nn_distance,combined_normalized_error,3321,
compound,525,train,ea_fraction,V1_abs_error,3321,-0.33072605798747895
compound,525,train,ea_fraction,V2_abs_error,3321,-0.11784589844827129
compound,525,train,ea_fraction,combined_normalized_error,3321,-0.2590866783367136
compound,525,train,V1_q50,V1_abs_error,3321,0.5230766488134491
compound,525,train,V1_q50,V2_abs_error,3321,0.4860208132659611
compound,525,train,V1_q50,combined_normalized_error,3321,0.5755875363131441
compound,525,train,V2_q50,V1_abs_error,3321,0.5391323314261638
compound,525,train,V2_q50,V2_abs_error,3321,0.6205758447703359
compound,525,train,V2_q50,combined_normalized_error,3321,0.6954649525869117
compound,525,train,true_retention_magnitude,V1_abs_error,3321,0.6055426874296158
compound,525,train,true_retention_magnitude,V2_abs_error,3321,0.4713865903425503
compound,525,train,true_retention_magnitude,combined_normalized_error,3321,0.6395373015917264
compound,525,train,predicted_retention_magnitude,V1_abs_error,3321,0.5584040076269975
compound,525,train,predicted_retention_magnitude,V2_abs_error,3321,0.6231321157331267
compound,525,train,predicted_retention_magnitude,combined_normalized_error,3321,0.7045932214033727
compound,525,validation,V1_interval_width_clipped,V1_abs_error,428,0.5315827415788011
compound,525,validation,V1_interval_width_clipped,V2_abs_error,428,0.6186737968906351
compound,525,validation,V1_interval_width_clipped,combined_normalized_error,428,0.6698376801678165
compound,525,validation,V2_interval_width_clipped,V1_abs_error,428,0.5684820781525551
compound,525,validation,V2_interval_width_clipped,V2_abs_error,428,0.5711954543880835
compound,525,validation,V2_interval_width_clipped,combined_normalized_error,428,0.643579340511481
compound,525,validation,descriptor_nn_distance,V1_abs_error,428,0.1416882976231576
compound,525,validation,descriptor_nn_distance,V2_abs_error,428,0.12250539615634909
compound,525,validation,descriptor_nn_distance,combined_normalized_error,428,0.1441375902358001
compound,525,validation,condition_nn_distance,V1_abs_error,428,0.10730618409922742
compound,525,validation,condition_nn_distance,V2_abs_error,428,0.0668595297512121
compound,525,validation,condition_nn_distance,combined_normalized_error,428,0.09348782271806472
compound,525,validation,ea_fraction,V1_abs_error,428,-0.4445285903426046
compound,525,validation,ea_fraction,V2_abs_error,428,-0.3725471252132505
compound,525,validation,ea_fraction,combined_normalized_error,428,-0.47944421640589746
compound,525,validation,V1_q50,V1_abs_error,428,0.4799726180690118
compound,525,validation,V1_q50,V2_abs_error,428,0.5406896244584138
compound,525,validation,V1_q50,combined_normalized_error,428,0.5710317597159156
compound,525,validation,V2_q50,V1_abs_error,428,0.5562961228344785
compound,525,validation,V2_q50,V2_abs_error,428,0.6464187811012171
compound,525,validation,V2_q50,combined_normalized_error,428,0.7010145128490376
compound,525,validation,true_retention_magnitude,V1_abs_error,428,0.3847455240471363
compound,525,validation,true_retention_magnitude,V2_abs_error,428,0.33215713063940144
compound,525,validation,true_retention_magnitude,combined_normalized_error,428,0.4438736193757121
compound,525,validation,predicted_retention_magnitude,V1_abs_error,428,0.5657778634928746
compound,525,validation,predicted_retention_magnitude,V2_abs_error,428,0.6422216466456885
compound,525,validation,predicted_retention_magnitude,combined_normalized_error,428,0.6994646556724391
compound,525,test,V1_interval_width_clipped,V1_abs_error,414,0.35051990628471197
compound,525,test,V1_interval_width_clipped,V2_abs_error,414,0.3799828000194577
compound,525,test,V1_interval_width_clipped,combined_normalized_error,414,0.45678643213648484
compound,525,test,V2_interval_width_clipped,V1_abs_error,414,0.2902921725695907
compound,525,test,V2_interval_width_clipped,V2_abs_error,414,0.47095847412837305
compound,525,test,V2_interval_width_clipped,combined_normalized_error,414,0.45441700356005316
compound,525,test,descriptor_nn_distance,V1_abs_error,414,0.17675094854085596
compound,525,test,descriptor_nn_distance,V2_abs_error,414,0.22670176083444654
compound,525,test,descriptor_nn_distance,combined_normalized_error,414,0.256435987032327
compound,525,test,condition_nn_distance,V1_abs_error,414,0.02242677801741037
compound,525,test,condition_nn_distance,V2_abs_error,414,-0.1535517654031966
compound,525,test,condition_nn_distance,combined_normalized_error,414,-0.10673736531991458
compound,525,test,ea_fraction,V1_abs_error,414,-0.2510442296524958
compound,525,test,ea_fraction,V2_abs_error,414,-0.11187882561029457
compound,525,test,ea_fraction,combined_normalized_error,414,-0.2312452330786764
compound,525,test,V1_q50,V1_abs_error,414,0.21452601547624803
compound,525,test,V1_q50,V2_abs_error,414,0.32307431544501986
compound,525,test,V1_q50,combined_normalized_error,414,0.2756423644734868
compound,525,test,V2_q50,V1_abs_error,414,0.4102864564625279
