method,stage,epoch,reported_step_loss,post_step_train_loss,train_loss,validation_score
P1,A,17.0,1644.784912109375,1640.738525390625,1640.738525390625,2.2267381605471583
P1,A,18.0,1640.738525390625,1636.69970703125,1636.69970703125,2.2229741737534527
P1,A,19.0,1636.6995849609375,1632.668212890625,1632.668212890625,2.2192126530534892
P1,A,20.0,1632.6680908203125,1628.64453125,1628.64453125,2.2154537996732317
P1,A,21.0,1628.64453125,1624.628662109375,1624.628662109375,2.2116975139998174
P1,A,22.0,1624.62841796875,1620.6201171875,1620.6201171875,2.2079440972382622
P1,A,23.0,1620.6201171875,1616.6199951171875,1616.6199951171875,2.2041933498864297
P1,A,24.0,1616.619873046875,1612.62744140625,1612.62744140625,2.2004457732166167
P1,A,25.0,1612.62744140625,1608.6427001953125,1608.6427001953125,2.1967012677480793
P1,A,26.0,1608.6427001953125,1604.666015625,1604.666015625,2.1929597327664934
P1,A,27.0,1604.6661376953125,1600.697509765625,1600.697509765625,2.1892212699098508
P1,A,28.0,1600.6973876953125,1596.73681640625,1596.73681640625,2.185485979613605
P1,A,29.0,1596.73681640625,1592.784423828125,1592.784423828125,2.181754061969724
P1,A,30.0,1592.7843017578125,1588.8402099609375,1588.8402099609375,2.1780253177021076
P1,A,31.0,1588.8402099609375,1584.904052734375,1584.904052734375,2.174299847025853
P1,A,32.0,1584.904052734375,1580.9759521484375,1580.9759521484375,2.1705777511979862
P1,A,33.0,1580.9759521484375,1577.05615234375,1577.05615234375,2.166859129108623
P1,A,34.0,1577.05615234375,1573.14453125,1573.14453125,2.1631438812913393
P1,A,35.0,1573.1444091796875,1569.2413330078125,1569.2413330078125,2.1594321090298942
