canonical_smiles,source_smiles,status,conformer_method,error,seconds
O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)[N+](=O)[O-],success,MMFF,,0.1457
O=C(CC(=O)C(F)(F)F)c1ccccc1,C1=CC=C(C=C1)C(=O)CC(=O)C(F)(F)F,success,MMFF,,0.1222
O=C(CC(=O)c1ccccc1)c1ccccc1,C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=CC=C2,success,MMFF,,0.172
O=C(CCCl)c1ccccc1,C1=CC=C(C=C1)C(=O)CCCl,success,MMFF,,0.0919
Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1,C1=CC=C(C=C1)C2=CC(=CC(=C2)Br)C3=CC=CC=C3,success,MMFF,,0.1801
O=Cc1ccc(-c2ccccc2)cc1,C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,success,MMFF,,0.1481
c1ccc(-c2ccccc2)cc1,C1=CC=C(C=C1)C2=CC=CC=C2,success,MMFF,,0.1018
Brc1ccccc1-c1ccccc1,C1=CC=C(C=C1)C2=CC=CC=C2Br,success,MMFF,,0.1104
c1ccc(-c2ccccn2)cc1,C1=CC=C(C=C1)C2=CC=CC=N2,success,MMFF,,0.0988
O=C(Cc1ccccc1)c1ccccc1,C1=CC=C(C=C1)CC(=O)C2=CC=CC=C2,success,MMFF,,0.1406
c1ccc(Cc2ccccc2)cc1,C1=CC=C(C=C1)CC2=CC=CC=C2,success,MMFF,,0.1321
O=CCCc1ccccc1,C1=CC=C(C=C1)CCC=O,success,MMFF,,0.0909
BrCCCc1ccccc1,C1=CC=C(C=C1)CCCBr,success,MMFF,,0.0961
ClCCCc1ccccc1,C1=CC=C(C=C1)CCCCl,success,MMFF,,0.0951
OCCCc1ccccc1,C1=CC=C(C=C1)CCCO,success,MMFF,,0.0982
ClCCc1ccccc1,C1=CC=C(C=C1)CCCl,success,MMFF,,0.0795
c1ccc(CNCc2ccccc2)cc1,C1=CC=C(C=C1)CNCC2=CC=CC=C2,success,MMFF,,0.1675
O=C(OCc1ccccc1)c1ccccc1,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,success,MMFF,,0.1599
c1ccc(COCc2ccccc2)cc1,C1=CC=C(C=C1)COCC2=CC=CC=C2,success,MMFF,,0.1596
O=[P+](Oc1ccccc1)Oc1ccccc1,C1=CC=C(C=C1)O[P+](=O)OC2=CC=CC=C2,success,MMFF,,0.1432
O=S(c1ccccc1)c1ccccc1,C1=CC=C(C=C1)S(=O)C2=CC=CC=C2,success,MMFF,,0.1217
Brc1ccc(Br)c2ccccc12,C1=CC=C2C(=C1)C(=CC=C2Br)Br,success,MMFF,,0.0884
O=C1c2ccccc2-c2ccccc21,C1=CC=C2C(=C1)C3=CC=CC=C3C2=O,success,MMFF,,0.1136
Brc1cc2ccccc2c2ccccc12,C1=CC=C2C(=C1)C=C(C3=CC=CC=C23)Br,success,MMFF,,0.1288
O=Cc1ccc2ccccc2c1Br,C1=CC=C2C(=C1)C=CC(=C2Br)C=O,success,MMFF,,0.0991
OCCc1cccc2ccccc12,C1=CC=C2C(=C1)C=CC=C2CCO,success,MMFF,,0.1231
c1ccc2ncccc2c1,C1=CC=C2C(=C1)C=CC=N2,success,MMFF,,0.0796
Brc1ccc2ccccc2c1,C1=CC=C2C=C(C=CC2=C1)Br,success,MMFF,,0.0816
O=C(CC(=O)C(F)(F)F)c1ccc2ccccc2c1,C1=CC=C2C=C(C=CC2=C1)C(=O)CC(=O)C(F)(F)F,success,MMFF,,0.1675
O=Cc1ccc2ccccc2c1,C1=CC=C2C=C(C=CC2=C1)C=O,success,MMFF,,0.0929
OCc1ccc2ccccc2c1,C1=CC=C2C=C(C=CC2=C1)CO,success,MMFF,,0.1051
c1ccc2ccccc2c1,C1=CC=C2C=CC=CC2=C1,success,MMFF,,0.0818
Ic1cccs1,C1=CSC(=C1)I,success,MMFF,,0.0426
C1=Cc2ccccc2C1,C1C=CC2=CC=CC=C21,success,MMFF,,0.076
O=C1CCc2ccccc2O1,C1CC(=O)OC2=CC=CC=C21,success,MMFF,,0.0916
O=C(Cc1ccccc1F)C1CC1,C1CC1C(=O)CC2=CC=CC=C2F,success,MMFF,,0.1367
O=C1CCCc2ccccc21,C1CC2=CC=CC=C2C(=O)C1,success,MMFF,,0.099
O=C1CCCCc2ccccc21,C1CCC(=O)C2=CC=CC=C2C1,success,MMFF,,0.1137
OC1(c2ccccc2)CCCCC1,C1CCC(CC1)(C2=CC=CC=C2)O,success,MMFF,,0.1534
O=C(c1ccccc1)C1CCCCC1,C1CCC(CC1)C(=O)C2=CC=CC=C2,success,MMFF,,0.1896
O=Cc1ccc2c(c1)CCO2,C1COC2=C1C=C(C=C2)C=O,success,MMFF,,0.1052
Brc1ccc2c(c1)OCO2,C1OC2=C(O1)C=C(C=C2)Br,success,MMFF,,0.1576
C=C(c1ccccc1)c1ccccc1,C=C(C1=CC=CC=C1)C2=CC=CC=C2,success,MMFF,,0.1427
C=CC(=O)OC1CCCCC1,C=CC(=O)OC1CCCCC1,success,MMFF,,0.1186
C=CC(=O)OCC(F)(F)F,C=CC(=O)OCC(F)(F)F,success,MMFF,,0.0648
C=CC(=O)OCc1ccccc1,C=CC(=O)OCC1=CC=CC=C1,success,MMFF,,0.1053
C=CC(=O)OCCOc1ccccc1,C=CC(=O)OCCOC1=CC=CC=C1,success,MMFF,,0.1336
C=CCCc1ccccc1,C=CCCC1=CC=CC=C1,success,MMFF,,0.1073
C=C(C)C(=O)OCCOC(=O)CC(C)=O,CC(=C)C(=O)OCCOC(=O)CC(=O)C,success,MMFF,,0.1651
CC(C)=CCBr,CC(=CCBr)C,success,MMFF,,0.0615
CC(C)=CCC/C(C)=C/C=O,CC(=CCC/C(=C/C=O)/C)C,success,MMFF,,0.1426
CC(=O)c1ccc2c(c1)Cc1ccccc1-2,CC(=O)C1=CC2=C(C=C1)C3=CC=CC=C3C2,success,MMFF,,0.1612
CC(=O)c1ccc2c(c1)OCO2,CC(=O)C1=CC2=C(C=C1)OCO2,success,MMFF,,0.0954
CC(=O)c1ccc2ccccc2c1,CC(=O)C1=CC2=CC=CC=C2C=C1,success,MMFF,,0.1115
CC(=O)c1ccc(Br)cc1,CC(=O)C1=CC=C(C=C1)Br,success,MMFF,,0.0758
CC(=O)c1ccc(C#N)cc1,CC(=O)C1=CC=C(C=C1)C#N,success,MMFF,,0.0795
CC(=O)c1ccc(F)cc1,CC(=O)C1=CC=C(C=C1)F,success,MMFF,,0.0756
CC(=O)c1ccc(I)cc1,CC(=O)C1=CC=C(C=C1)I,success,MMFF,,0.0773
CC(=O)c1ccc(N)cc1,CC(=O)C1=CC=C(C=C1)N,success,MMFF,,0.0878
COc1ccc(C(C)=O)cc1,CC(=O)C1=CC=C(C=C1)OC,success,MMFF,,0.0965
CSc1ccc(C(C)=O)cc1,CC(=O)C1=CC=C(C=C1)SC,success,MMFF,,0.1001
CC(=O)c1ccc([N+](=O)[O-])cc1,CC(=O)C1=CC=C(C=C1)[N+](=O)[O-],success,MMFF,,0.0893
CC(=O)c1ccccc1,CC(=O)C1=CC=CC=C1,success,MMFF,,0.0741
CC(=O)c1ccccc1Br,CC(=O)C1=CC=CC=C1Br,success,MMFF,,0.0817
COc1ccccc1C(C)=O,CC(=O)C1=CC=CC=C1OC,success,MMFF,,0.1115
CC(=O)CC(=O)c1ccccc1,CC(=O)CC(=O)C1=CC=CC=C1,success,MMFF,,0.1096
COC(=O)CC(C)=O,CC(=O)CC(=O)OC,success,MMFF,,0.0709
CC(=O)CC(=O)OC(C)(C)C,CC(=O)CC(=O)OC(C)(C)C,success,MMFF,,0.1216
COCCOC(=O)CC(C)=O,CC(=O)CC(=O)OCCOC,success,MMFF,,0.2056
CC(=O)CCCCl,CC(=O)CCCCl,success,MMFF,,0.0709
CC(=O)Oc1ccc(C=O)cc1,CC(=O)OC1=CC=C(C=C1)C=O,success,MMFF,,0.0976
CC(Br)C(=O)O,CC(C(=O)O)Br,success,MMFF,,0.0494
CC(Br)C(=O)OC(C)(C)C,CC(C(=O)OC(C)(C)C)Br,success,MMFF,,0.1011
COC(=O)C(C)(C)Br,CC(C)(C(=O)OC)Br,success,MMFF,,0.0698
CC(C)(C)C(=O)CC#N,CC(C)(C)C(=O)CC#N,success,MMFF,,0.0852
CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1,CC(C)(C)C1=CC(=CC(=C1)C=O)C(C)(C)C,success,MMFF,,0.224
COC(=O)c1ccc(C(C)(C)C)cc1,CC(C)(C)C1=CC=C(C=C1)C(=O)OC,success,MMFF,,0.1528
CC(C)(C)OCl,CC(C)(C)OCl,success,MMFF,,0.0601
CC(C)(O)CCc1ccccc1,CC(C)(CCC1=CC=CC=C1)O,success,MMFF,,0.1407
CC(C)(CCl)c1ccccc1,CC(C)(CCl)C1=CC=CC=C1,success,MMFF,,0.1091
CC(C)C(=O)c1ccccc1,CC(C)C(=O)C1=CC=CC=C1,success,MMFF,,0.1107
CC(C)c1ccc(Br)cc1,CC(C)C1=CC=C(C=C1)Br,success,MMFF,,0.0954
CC(C)c1ccccc1O,CC(C)C1=CC=CC=C1O,success,MMFF,,0.1021
CC(C)CCOC(=O)c1ccccc1,CC(C)CCOC(=O)C1=CC=CC=C1,success,MMFF,,0.1628
CC(C)COC(=O)c1ccccc1,CC(C)COC(=O)C1=CC=CC=C1,success,MMFF,,0.135
CC(O)c1ccccc1,CC(C1=CC=CC=C1)O,success,MMFF,,0.0858
CC(C=O)Cc1ccc2c(c1)OCO2,CC(CC1=CC2=C(C=C1)OCO2)C=O,success,MMFF,,0.1394
CC(O)CCc1ccccc1,CC(CCC1=CC=CC=C1)O,success,MMFF,,0.1209
Cc1cccc(C=O)c1Br,CC1=C(C(=CC=C1)C=O)Br,success,MMFF,,0.0792
Cc1ccc(C(=O)c2ccccc2)cc1C,CC1=C(C=C(C=C1)C(=O)C2=CC=CC=C2)C,success,MMFF,,0.1705
Cc1ccc(Cl)cc1Br,CC1=C(C=C(C=C1)Cl)Br,success,MMFF,,0.0643
