phase,candidate_id,member_seed,fit_seed,train_rows,validation_rows,validation_ids_hash,frozen_unchanged,trainable_changed,best_epoch,epochs_run,fit_seconds,reused_completed_fit,checkpoint_sha256
candidate,41a468134f078d2de17d,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,110,210,14.561553084058689,False,b76927a60978647e9e9295df605ad7f8a384566c9e0e2faa04f22ba0ca23518b
candidate,47404d0982a587f0393e,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,434,500,34.18038791697472,False,4faae2668154eea2c86a20cbcde3c1a0ee04dfafbce3790eb01c75d91923936a
candidate,47404d0982a587f0393e,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,79,179,11.984743792098016,False,e928094b24d2445dcd317ebf3f657aee0336ffe66f3b0000887be2aa326237a8
candidate,47404d0982a587f0393e,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,38,138,9.093102332903072,False,e3dca101669c6716cb7465ae1183770c87c6b965f941ec215ec574fa09324f55
candidate,474238f822b0c38795c6,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,81,181,11.910034832777455,False,c4be13812574c0164757bd4b703d8e4f8f4681cc793ad8993af523ebf9a259a5
candidate,474238f822b0c38795c6,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,47,147,9.673603790812194,False,3de3373ef06cf1df9c81df331c2bbb0fe4612a05a560edf7d0f166659f9046a3
candidate,474238f822b0c38795c6,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,77,177,12.124517374904826,False,c297ad23fd85a06a7ca2ec0387fade4650fdee82d2ef68267b13d9c6d9a8ae74
candidate,4c36e8e7d179b4bfa11a,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,311,411,26.804590833140537,False,cde7eefadc2f2fcc6dc0bba376e8ac99f93d10da5d580f9d0100383350ec8ed2
candidate,4c36e8e7d179b4bfa11a,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,49,149,9.967712207930164,False,7e00fd804eecc21db14f029ddd0d584fea6be3267664088ccabc3f07536f7dcc
candidate,4c36e8e7d179b4bfa11a,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,78,178,12.272726333001629,False,3a0b2b4b88c480dfdd2583b73a771f9490f8cc17afb1d1441fe43093f797c7ef
candidate,4c6a8ef1c87748df99f2,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,87,187,12.856306167086586,False,17f73275a667639f3a6a43e1905e5a838a56713ee9878bc98fa237dda72008d0
candidate,4c6a8ef1c87748df99f2,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,50,150,9.666931124869734,False,36ec81c22bff5a6f53ebd484b5111ddaa5952d18502381f122dd4ccee95f140c
candidate,4c6a8ef1c87748df99f2,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,88,188,13.418425667099656,False,1316561f1f882665db4620e3bdc12d6f724bad33860ff9317f1443d14266bb44
candidate,5ac5df671efee45d3ddf,42,4200042,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,73,173,20.118327665841207,False,f0beb4613dc444d81e159ba0755380ba24ea720bd657119285c950b296cfce0c
candidate,5ac5df671efee45d3ddf,525,4200525,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,48,148,17.7307330830954,False,21d94c067b7b30a721c65b443db04c8b7dc9c0a83bbac5e6e3e2991542a57405
candidate,5ac5df671efee45d3ddf,1101,4201101,23,8,cc204a4462997541609f7fb3e5f243ed2207e28efd71b6a3ee34db34302f4067,True,True,87,187,25.498539875028655,False,3325f15bca265833bf32ba566e8420c694da98b97e4d45e095d6929fab6720d3
