column,protocol,method,reference,endpoint,gain_percent,wins,median_delta,material,stronger_10pct
8g,row,source_anchored_full,conditional_policy,aulc,-60.28411237821134,0,0.3798690385408468,False,False
8g,row,source_anchored_full,standard_full_finetune,aulc,3.92360069149205,3,-0.0100102592421247,False,False
25g,compound,standard_shallow_finetune,scale_only,budget100,-29.463175468001566,0,0.4496809506143848,False,False
25g,compound,standard_shallow_finetune,local_identity_shrinkage,budget100,-37.852523190378676,0,0.4770366263522922,False,False
25g,compound,standard_shallow_finetune,conditional_EA,budget100,-44.38968124566498,0,0.6087037846125269,False,False
25g,compound,standard_shallow_finetune,conditional_policy,budget100,-43.93968372739147,0,0.6087037846125269,False,False
25g,compound,standard_full_finetune,scale_only,budget100,-84.47378560818322,0,1.2327990028006912,False,False
25g,compound,standard_full_finetune,local_identity_shrinkage,budget100,-96.42787778563647,0,1.2481911459955963,False,False
25g,compound,standard_full_finetune,conditional_EA,budget100,-105.74276048659227,0,1.3839411280031395,False,False
25g,compound,standard_full_finetune,conditional_policy,budget100,-105.10155308989341,0,1.3839411280031395,False,False
25g,compound,source_anchored_shallow,scale_only,budget100,-94.9132732321069,0,1.291936776532587,False,False
25g,compound,source_anchored_shallow,local_identity_shrinkage,budget100,-107.54385500904627,0,1.45683388495408,False,False
25g,compound,source_anchored_shallow,conditional_EA,budget100,-117.38587278425845,0,1.395906948508692,False,False
25g,compound,source_anchored_shallow,conditional_policy,budget100,-116.70837905744429,0,1.395906948508692,False,False
25g,compound,source_anchored_shallow,standard_shallow_finetune,budget100,-50.554991817176706,0,0.7208968288950808,False,False
25g,compound,source_anchored_full,scale_only,budget100,-170.02908208430014,0,2.7109884043012995,False,False
25g,compound,source_anchored_full,local_identity_shrinkage,budget100,-187.52724599516,0,2.847169159866559,False,False
25g,compound,source_anchored_full,conditional_EA,budget100,-201.16218722634622,0,2.9788363181267936,False,False
25g,compound,source_anchored_full,conditional_policy,budget100,-200.22360050961888,0,2.9788363181267936,False,False
25g,compound,source_anchored_full,standard_full_finetune,budget100,-46.378023952863316,0,1.2452952065987182,False,False
25g,row,standard_shallow_finetune,scale_only,budget100,6.623912071910009,4,-0.0800638822319346,True,False
25g,row,standard_shallow_finetune,local_identity_shrinkage,budget100,4.25095630322008,3,-0.0493480162404083,False,False
25g,row,standard_shallow_finetune,conditional_EA,budget100,0.9709410006033901,2,0.0461424254298505,False,False
25g,row,standard_shallow_finetune,conditional_policy,budget100,1.52208258830736,2,0.0461424254298505,False,False
25g,row,standard_full_finetune,scale_only,budget100,-45.653604569799185,0,0.7727609164996465,False,False
25g,row,standard_full_finetune,local_identity_shrinkage,budget100,-49.35508284826979,0,0.8922579192718607,False,False
25g,row,standard_full_finetune,conditional_EA,budget100,-54.47144681757785,0,0.9647930801533362,False,False
25g,row,standard_full_finetune,conditional_policy,budget100,-53.611743218309215,0,0.9647930801533362,False,False
25g,row,source_anchored_shallow,scale_only,budget100,-33.238333816126456,0,0.5099649498226957,False,False
25g,row,source_anchored_shallow,local_identity_shrinkage,budget100,-36.62430424876117,0,0.5702688356389898,False,False
25g,row,source_anchored_shallow,conditional_EA,budget100,-41.3045578716009,0,0.6139476180349577,False,False
25g,row,source_anchored_shallow,conditional_policy,budget100,-40.5181339758065,0,0.6139476180349577,False,False
25g,row,source_anchored_shallow,standard_shallow_finetune,budget100,-42.68999352246889,0,0.6678674623112384,False,False
25g,row,source_anchored_full,scale_only,budget100,-128.96373108014308,0,2.7734280982745565,False,False
25g,row,source_anchored_full,local_identity_shrinkage,budget100,-134.78236000905915,0,2.802484590745889,False,False
25g,row,source_anchored_full,conditional_EA,budget100,-142.825152959064,0,2.8564820671236313,False,False
25g,row,source_anchored_full,conditional_policy,budget100,-141.47372094821225,0,2.8564820671236313,False,False
25g,row,source_anchored_full,standard_full_finetune,budget100,-57.19743548840257,0,1.7743277841504286,False,False
40g,compound,standard_shallow_finetune,scale_only,budget100,-9.23098647228888,1,0.2434704922417894,False,False
40g,compound,standard_shallow_finetune,local_identity_shrinkage,budget100,-13.258950180066838,1,0.3001001644163894,False,False
40g,compound,standard_shallow_finetune,conditional_EA,budget100,-15.54256415951902,0,0.456013564637785,False,False
40g,compound,standard_shallow_finetune,conditional_policy,budget100,-13.258950181946648,1,0.3001001644163894,False,False
40g,compound,standard_full_finetune,scale_only,budget100,-93.4888917896518,0,3.391625354975967,False,False
40g,compound,standard_full_finetune,local_identity_shrinkage,budget100,-100.62392058649064,0,3.478795592427196,False,False
