column,protocol,method,V1_macro_compound_mae,V1_macro_compound_rmse,V1_median_relative_absolute_error,V2_macro_compound_mae,V2_macro_compound_rmse,V2_median_relative_absolute_error
8g,compound,local_identity_shrinkage,3.375326892873944,4.632394680942896,0.13192824311763518,4.969652334189203,6.600082984799211,0.12031798501635108
8g,compound,scale_only,3.8823208360917674,5.091166578866891,0.1723547351857845,4.8114059710327854,6.467588209175473,0.11341547412675476
8g,compound,source_anchored_full,8.385231561361554,10.971381218599522,0.35786646792483956,13.364365003007052,17.48751928614735,0.3327097392272522
8g,compound,source_anchored_shallow,5.386906931469136,7.2371030647410945,0.24042392093526505,9.205202575485009,11.919286264499533,0.2370496985716295
8g,compound,standard_full_finetune,7.092785137659613,9.194946785168977,0.2876265481415978,11.487394034444446,14.595865026585699,0.25019928255155177
8g,compound,standard_shallow_finetune,3.8205898161904757,5.502933326922007,0.1472342969530766,5.617538593386243,7.652316818004867,0.12597822170345077
8g,compound,target_head_only,3.188344845643739,4.633154499587177,0.12174750030492217,5.117249088130511,7.084466771049025,0.10619005527539045
8g,row,conditional_EA,3.366869505053427,3.748745926786613,0.13500587973737596,5.449372840237599,5.974444606953007,0.13908033563901068
8g,row,conditional_policy,3.4345517967220056,3.8214364192508405,0.13776951293712064,5.462925043834074,5.987054797533275,0.13790409903266626
8g,row,local_identity_shrinkage,3.42852044704291,3.8235721786496044,0.1372371394677917,5.530780640834363,6.050635872956251,0.14527809552989474
8g,row,scale_only,3.7244129364860816,4.06827366403761,0.18587739775529416,5.416906719321511,5.936713238229662,0.13773937862676938
8g,row,source_anchored_full,5.431032824455031,6.012992110210871,0.22147611928358762,9.020191632642227,9.856015613646742,0.23274917110821117
8g,row,source_anchored_shallow,4.766015806324358,5.1852886326562055,0.2335128966025138,7.468487394742359,8.120595260350274,0.2138302157480688
8g,row,standard_full_finetune,6.272808932715548,6.842561204672985,0.30460783864416313,9.47353156994914,10.38119083461635,0.24693037648556904
8g,row,standard_shallow_finetune,3.5418622169526834,3.879038256052567,0.1507995582534176,5.670539142894458,6.1996545802366585,0.12771422933333432
8g,row,target_head_only,3.2912474362560986,3.627899602072334,0.1297629135324066,5.170250465802725,5.684953235406249,0.12748998404437156
