column,protocol,seed,budget,actual_budget,method,best_epoch,epochs_run,validation_score,source_replay_draws,source_replay_unique_rows,target_train_count,target_validation_count,wall_seconds,fit_success,checkpoint_sha256,trainable_parameters,total_parameters,backbone_l2_drift,condition_branch_l2_drift,target_head_l2_drift,source_head_l2_drift,best_target_train_loss,best_source_train_loss,best_validation_loss,best_validation_score,initial_epoch,initial_target_train_loss,initial_source_train_loss,initial_validation_loss,initial_validation_score,final_epoch,final_target_train_loss,final_source_train_loss,final_validation_loss,final_validation_score,target_purchased_labels,other_target_labels_used
25g,row,1362771960,100,100,standard_full_finetune,441,500,1.6379565816589277,0,0,92,8,155.51581679098308,True,7f077b97c4608758176a8991fa36e3be4b1c67a622f732136b7a61160d879b0a,458952,459726,9.556006325953563,0.7931834679400526,0.38802407019108515,0.0,1.3736679553985596,0.0,731.4444580078125,1.6379565816589277,1,4248.767578125,0.0,2216.264892578125,2.783383694253916,500,0.5748578310012817,0.0,741.5095825195312,1.6440644762485532,100,0
25g,row,1362771960,100,100,source_anchored_shallow,140,240,1.3545856838916586,22080,3326,92,8,118.81634970899904,True,9961cd39ac18ffe14566e679f9b01b05148204fdc650405ff00680ce4e0f41c5,36387,459726,2.0600586463827995,0.3067305125171556,0.3026473825328672,0.0,1462.4307861328125,496.2967529296875,625.6068725585938,1.3545856838916586,1,4328.6064453125,19.499027252197266,2287.466796875,2.8378787413080255,240,1043.2833251953125,254.10647583007812,681.1915893554688,1.3990219436985796,100,0
25g,row,1362771960,100,100,source_anchored_full,189,289,2.235083149554343,26588,3329,92,8,153.29214058400248,True,7aa7a7a0a6f4aa21802c8ff308e541e7f9b104d2f06deeb6d824939377e54397,458952,459726,4.863938524689006,0.40914698929738613,0.34971044054661665,0.0,16.841798782348633,96.4361572265625,1483.16455078125,2.235083149554343,1,4248.767578125,20.691265106201172,2487.1591796875,2.9434811408009574,289,9.14808177947998,56.84086608886719,1818.83056640625,2.4762981187336726,100,0
25g,compound,769539383,30,30,standard_shallow_finetune,124,224,0.7700297478146015,0,0,22,8,18.659497334010666,True,4d35d4a9831f3e4c7429fcf57c105f05d6690fc2a8ef34b6879c3f20a2603b84,36387,459726,1.8974777251757127,0.5068745934450327,0.34335089317967044,0.0,509.78179931640625,0.0,225.85911560058594,0.7700297478146015,1,10495.6875,0.0,5138.310546875,4.140792742793345,224,111.81410217285156,0.0,522.7178344726562,1.8259490789143014,30,0
25g,compound,769539383,30,30,standard_full_finetune,199,299,0.7057397545551547,0,0,22,8,35.26815791599802,True,f89bf779aef71bf46a9910dcc2d33b8044dff9dec59de775bb7c3c3eebf99ab2,458952,459726,5.39960782215573,0.6359325287989335,0.43959634145009674,0.0,5.674985885620117,0.0,188.0741424560547,0.7057397545551547,1,11005.07421875,0.0,5037.2392578125,4.086823982122039,299,1.1919552087783813,0.0,238.61575317382812,0.7556122117149575,30,0
25g,compound,769539383,30,30,source_anchored_shallow,101,201,3.1332846775828007,4422,2450,22,8,27.38958154199645,True,76c8a96560dc6c83b21d33c4bb8eeb7b18024497171e9f3b6248b82bad5c6ab2,36387,459726,1.5842331826255733,0.3671674368320819,0.28010714000765335,0.0,2315.634765625,299.9311218261719,3321.8955078125,3.1332846775828007,1,10495.6875,27.901792526245117,5137.19921875,4.1398820547955655,201,577.0753173828125,317.3345642089844,4529.37255859375,3.661361019977914,30,0
25g,compound,769539383,30,30,source_anchored_full,96,196,3.053002274336673,4312,2418,22,8,33.50635558299837,True,af9c9fdd734aa442a6456eee574583cd9849ba6e5203c3203c6b9ce2369e3968,458952,459726,2.8734671251332817,0.3648963127905423,0.2742880350538291,0.0,683.7296752929688,29.589303970336914,3019.8974609375,3.053002274336673,1,11005.07421875,26.92578125,5201.62939453125,4.15270780204886,196,19.602645874023438,233.55931091308594,5140.728515625,3.983290892263237,30,0
25g,compound,769539383,50,52,standard_shallow_finetune,96,196,0.606671056125691,0,0,44,8,28.41162025000085,True,9ed211c33b2c3b64ebe07ece233e039f0652c81aa471b36bbf0a40cac778567d,36387,459726,1.5311412310916614,0.38867173729626925,0.2660908756419077,0.0,748.1244506835938,0.0,144.71400451660156,0.606671056125691,1,7261.4697265625,0.0,5101.0537109375,4.120858415985144,196,140.1768798828125,0.0,861.9598999023438,2.029488455115105,52,0
25g,compound,769539383,50,52,standard_full_finetune,145,245,0.9166275302620688,0,0,44,8,40.32016199998907,True,fe31aaeed9131387b7979bfc12c84960d27a7816f8afdf9cd7bbe12dacb9b863,458952,459726,4.086551132944606,0.49416547128680977,0.35919446588328663,0.0,14.238187789916992,0.0,275.3022155761719,0.9166275302620688,1,7333.640625,0.0,5034.65234375,4.1093185083495225,245,2.0805792808532715,0.0,322.634033203125,1.0054877777388507,52,0
25g,compound,769539383,50,52,source_anchored_shallow,93,193,3.0417138946036384,8492,3079,44,8,47.6940207919979,True,67a6508fa2c68a4a52f425f0f4a720313990d64403e71572cee5c8bd5028d23a,36387,459726,1.4434380799149675,0.2726064253086644,0.25317121531927655,0.0,2172.356201171875,698.4833984375,3106.970947265625,3.0417138946036384,1,7261.4697265625,20.036022186279297,5113.03271484375,4.124758083143393,193,1118.187255859375,603.6751708984375,3259.80419921875,3.1249593371977182,52,0
25g,compound,769539383,50,52,source_anchored_full,115,215,3.105396740219818,9460,3158,44,8,59.750798166991444,True,f0aa65fab38b2ae9d4193f280627678f0446a84bb9ac9ae291a89e62bf0e23a3,458952,459726,3.318656117087054,0.3754193880312434,0.31414664087606314,0.0,96.48768615722656,117.18743133544922,2959.640380859375,3.105396740219818,1,7333.640625,16.970806121826172,5686.2998046875,4.331916316006245,215,8.285107612609863,49.46430206298828,4659.3193359375,3.939091683053308,52,0
25g,compound,769539383,70,70,standard_shallow_finetune,83,183,0.6615209646112482,0,0,62,8,35.41302750000614,True,20c6b7af433b53d9f422ffe7c9d5a56d2068c8008f2f64902a14934b2d1c9809,36387,459726,1.3194048225007442,0.33540457124984774,0.22313855523948692,0.0,967.3842163085938,0.0,166.9392547607422,0.6615209646112482,1,5327.9951171875,0.0,5071.1640625,4.1120076617128305,183,361.06146240234375,0.0,1146.9871826171875,2.2730434762596405,70,0
25g,compound,769539383,70,70,standard_full_finetune,280,380,1.1399621280162413,0,0,62,8,80.87359466700582,True,9739ecb3fca8774a944f181d7426a2735d0cdd1aa2393b4bad8697e0ab03e67f,458952,459726,6.727625820432141,0.6144308765677153,0.3708219997709863,0.0,3.6454432010650635,0.0,470.852294921875,1.1399621280162413,1,5343.69677734375,0.0,4892.3515625,4.061847661653795,380,3.301532745361328,0.0,482.45068359375,1.1596433475727934,70,0
25g,compound,769539383,70,70,source_anchored_shallow,85,185,3.061497836769408,11470,3223,62,8,61.08741704100976,True,d825ba81fde9cc653c5ff4c4aec864d292fac64cd4d1a40bbdb837d4093f246a,36387,459726,1.2966737334442369,0.2559715501350001,0.22840195173928426,0.0,2058.668701171875,500.7431945800781,3128.3173828125,3.061497836769408,1,5327.9951171875,12.261241912841797,5081.197265625,4.11599447263823,185,1200.390380859375,329.9211730957031,3493.04248046875,3.254332146983867,70,0
25g,compound,769539383,70,70,source_anchored_full,112,212,3.0486392949325047,13144,3274,62,8,76.84335345801082,True,8ba211a2e661f33787a4ee6ec1d03e60befa5185a90c6c04eaaa5fe683aa74d1,458952,459726,3.210140708712905,0.34272239094880574,0.2974195466592892,0.0,46.063018798828125,82.3496322631836,3000.3544921875,3.0486392949325047,1,5343.69677734375,11.838733673095703,5595.4619140625,4.305315391355849,212,11.360389709472656,73.2740478515625,3762.4384765625,3.5786517932774893,70,0
25g,compound,769539383,100,98,standard_shallow_finetune,84,184,0.7660856678564107,0,0,90,8,47.03741983298096,True,be38447f180b1b090d5c53b69470cc887e166e8d1a2c5b3e67f857d2a3c4da09,36387,459726,1.3494278308998855,0.34685034254827224,0.23587095720286314,0.0,947.3363037109375,0.0,215.4449462890625,0.7660856678564107,1,5516.79296875,0.0,5083.8056640625,4.116404110824069,184,341.38519287109375,0.0,749.054931640625,1.8597849298833886,98,0
25g,compound,769539383,100,98,standard_full_finetune,321,421,0.7663194574473472,0,0,90,8,130.96468274999643,True,4992ce932dbc490fee1551bf88714bc645751c67c96562bfd114936b8ab18c0e,458952,459726,7.487568702733449,0.6703423519197088,0.38742168047306097,0.0,3.0521650314331055,0.0,238.65081787109375,0.7663194574473472,1,5451.068359375,0.0,4841.9140625,4.043752743914246,421,2.435744524002075,0.0,260.2475280761719,0.8017482923916476,98,0
25g,compound,769539383,100,98,source_anchored_shallow,474,500,1.0977371234424453,45000,3330,90,8,234.1706382080156,True,9b0cb15cbb557b6dec1f4313037f2b1243ec467882ba6d4e66e5a8a32dfd76f4,36387,459726,4.566196109422709,0.9345121004178039,0.7213786944004514,0.0,388.4952392578125,200.4595184326172,500.1544494628906,1.0977371234424453,1,5516.79296875,16.47677993774414,5093.8330078125,4.116523620321885,500,368.83221435546875,141.91085815429688,521.8244018554688,1.1107736394470287,98,0
25g,compound,769539383,100,98,source_anchored_full,193,293,3.197715825104804,26370,3328,90,8,145.27075433300342,True,218749a90c0c893fbf69af3427e8e6067c3d2c3d0a20b1705fc6fcf38a27ee95,458952,459726,4.983872576684694,0.4104983680318709,0.3626798123186753,0.0,15.544118881225586,79.9197998046875,2931.01171875,3.197715825104804,1,5451.068359375,16.161914825439453,5352.2568359375,4.189836996929813,293,14.382030487060547,63.628868103027344,5300.37548828125,4.159661138600281,98,0
25g,compound,1425370602,30,33,standard_shallow_finetune,79,179,0.7962644283894645,0,0,25,8,13.623612249997677,True,3e023526f5e55b10096a95bc41bbf2a09ae75d70612e3674e7997e2bac11e28d,36387,459726,1.3000339903365319,0.3234708876687419,0.23247898341574535,0.0,901.6548461914062,0.0,222.9043426513672,0.7962644283894645,1,6160.74169921875,0.0,5097.55029296875,4.1230842081551895,179,18.40277862548828,0.0,1652.7066650390625,2.6532341873860696,33,0
25g,compound,1425370602,30,33,standard_full_finetune,52,152,1.1283821405511174,0,0,25,8,13.806338541995501,True,7c6ed02d131f29b7b84d152528ca02c464c7fea7029780f1b18ac91bdd76f5b7,458952,459726,1.857360491020706,0.2268397464154851,0.1458314692121281,0.0,1025.2349853515625,0.0,500.9408874511719,1.1283821405511174,1,7138.52197265625,0.0,5542.458984375,4.282564867803385,152,1.7410801649093628,0.0,8386.4638671875,5.5403861151240115,33,0
25g,compound,1425370602,30,33,source_anchored_shallow,85,185,2.7626503567581793,4625,2512,25,8,26.789037042006385,True,29e35c64c8145d05e1b16e16497f569659ce5c83a25b52880a620dfef116c60c,36387,459726,1.3178934116395689,0.25392660101068737,0.25011960445567416,0.0,1603.77392578125,409.8479309082031,2576.761962890625,2.7626503567581793,1,6160.74169921875,8.879155158996582,5104.990234375,4.123017591915721,185,470.2646484375,244.15313720703125,3743.7099609375,3.356587146596584,33,0
25g,compound,1425370602,30,33,source_anchored_full,82,182,3.011313621328432,4550,2494,25,8,30.432397832977585,True,820b0cd0487d36870f7cd426981168b715f4814999777bd6034984ac4ebaa762,458952,459726,2.4871974530612726,0.28873038951889785,0.23571818444186024,0.0,258.40087890625,39.259490966796875,2834.189453125,3.011313621328432,1,7138.52197265625,11.251794815063477,5794.46435546875,4.364881442791064,182,5.057812690734863,89.01593780517578,4478.5810546875,3.780943760560868,33,0
25g,compound,1425370602,50,47,standard_shallow_finetune,70,170,0.7767002800372056,0,0,39,8,17.76703320798697,True,ddc45e02bb2e21a36ec23d9a94e31fb65c17fc46ef49d04afbdcc5a0a5beae7e,36387,459726,1.1562678721546353,0.29207662251235467,0.2037444791766454,0.0,775.873779296875,0.0,214.1641845703125,0.7767002800372056,1,4423.5,0.0,5076.22216796875,4.115632577005726,170,23.95608901977539,0.0,1631.102294921875,2.6602458823967434,47,0
25g,compound,1425370602,50,47,standard_full_finetune,56,156,0.42119743543830135,0,0,39,8,20.08983608399285,True,650d7bc346f48ce5c69bb88f9a39fa9c190c0c79047d23f803b238499dc13ed2,458952,459726,1.9497951888319183,0.24085306632349504,0.15822675668481603,0.0,548.9730834960938,0.0,80.06037139892578,0.42119743543830135,1,4964.90478515625,0.0,5387.2802734375,4.225722333403517,156,1.2339751720428467,0.0,1894.0078125,2.880937450595123,47,0
25g,compound,1425370602,50,47,source_anchored_shallow,89,189,2.843108745158182,7371,2981,39,8,33.7851234159898,True,dacfd9949bad6d9c86a97bcbbaeb717384dd1d78175c034913a98d2dcfc3dd35,36387,459726,1.3595720971659322,0.25988883534762064,0.25879864225271837,0.0,1247.859619140625,504.1659240722656,2745.924560546875,2.843108745158182,1,4423.5,16.508831024169922,5082.033203125,4.11059292765379,189,584.1851806640625,460.7546691894531,3611.26953125,3.2804479987827313,47,0
