column,protocol,method,reference,endpoint,relative_gain,mean_delta,median_delta,std_delta,wins,ties,seeds,no_output_regression,material,stronger_10pct
40g,compound,standard_full_finetune,source_anchored_shallow,aulc,-0.16497927033635285,1.0247189916508488,0.8752727355739633,2.127135545836889,1,0,5,True,False,False
40g,compound,standard_full_finetune,source_anchored_full,aulc,0.20638424224409202,-1.8817410413844677,-2.424829946607436,1.923930833668161,4,0,5,True,True,True
40g,compound,source_anchored_shallow,scale_only,aulc,-0.7247588990945986,2.610000370616186,2.348508433726407,0.7029685991169925,0,0,5,True,False,False
40g,compound,source_anchored_shallow,local_identity_shrinkage,aulc,-0.676674482306308,2.5067236092526786,2.4120311544913897,0.7736083702691111,0,0,5,True,False,False
40g,compound,source_anchored_shallow,conditional_EA,aulc,-0.8177562993148526,2.794239622673774,2.644213142556816,0.6275034059172856,0,0,5,True,False,False
40g,compound,source_anchored_shallow,conditional_policy,aulc,-0.6766744809581853,2.506723606274112,2.4120311544913897,0.7736083742327745,0,0,5,True,False,False
40g,compound,source_anchored_shallow,target_head_only,aulc,0.195337157757575,-1.5078089752492212,-1.3030783406447481,0.36579121186324,5,0,5,True,True,True
40g,compound,source_anchored_shallow,standard_shallow_finetune,aulc,-0.5689173905270468,2.252291196127794,2.3864809452760825,0.3795919977846342,0,0,5,True,False,False
40g,compound,source_anchored_shallow,standard_full_finetune,aulc,0.14161562745122502,-1.0247189916508488,-0.8752727355739633,2.127135545836889,4,0,5,True,True,True
40g,compound,source_anchored_shallow,source_anchored_full,aulc,0.3187726357338744,-2.9064600330353167,-2.7495980344581534,0.31854514107290544,5,0,5,True,True,True
40g,compound,source_anchored_full,scale_only,aulc,-1.5318403070209183,5.516460403651502,5.296582483777161,0.5678116030427746,0,0,5,True,False,False
40g,compound,source_anchored_full,local_identity_shrinkage,aulc,-1.4612553315625543,5.413183642287994,5.466060268948039,0.7157555597922257,0,0,5,True,False,False
40g,compound,source_anchored_full,conditional_EA,aulc,-1.6683547882329854,5.70069965570909,5.532898264795746,0.4679598799353206,0,0,5,True,False,False
40g,compound,source_anchored_full,conditional_policy,aulc,-1.4612553295835928,5.413183639309428,5.466060268948039,0.7157555649504033,0,0,5,True,False,False
40g,compound,source_anchored_full,target_head_only,aulc,-0.18119571298970683,1.398651057786095,1.469465311576494,0.14143255871309837,0,0,5,True,False,False
40g,compound,source_anchored_full,standard_shallow_finetune,aulc,-1.3030745281602334,5.15875122916311,5.201051367399527,0.08478342514559677,0,0,5,True,False,False
40g,compound,source_anchored_full,standard_full_finetune,aulc,-0.2600556254423183,1.8817410413844677,2.424829946607436,1.923930833668161,1,0,5,True,False,False
40g,compound,source_anchored_full,source_anchored_shallow,aulc,-0.46793868311100884,2.9064600330353167,2.7495980344581534,0.31854514107290544,0,0,5,True,False,False
40g,row,standard_shallow_finetune,scale_only,aulc,0.04270307014256347,-0.15522003584350888,-0.08457654362914102,0.49361988744475016,3,0,5,True,False,False
40g,row,standard_shallow_finetune,local_identity_shrinkage,aulc,-0.05886068673432332,0.19342911566026863,0.3904069608687739,0.6285325115462417,1,0,5,True,False,False
40g,row,standard_shallow_finetune,conditional_EA,aulc,-0.12628586715603785,0.3901588494234157,0.6180609416173937,0.6537281733074141,1,0,5,True,False,False
40g,row,standard_shallow_finetune,conditional_policy,aulc,-0.11424534164343858,0.35677385359532143,0.5474382908143234,0.6370827310803782,1,0,5,True,False,False
40g,row,standard_shallow_finetune,target_head_only,aulc,0.5630993039414813,-4.484743401567212,-5.02845502949107,0.7941600686212463,5,0,5,True,True,True
40g,row,standard_shallow_finetune,standard_full_finetune,aulc,0.35236017139467213,-1.8931656200267135,-1.6585721597111873,0.5038095030841396,5,0,5,True,True,True
40g,row,standard_shallow_finetune,source_anchored_shallow,aulc,0.4019323819038537,-2.3385036598789593,-2.2324070105044282,0.7562205216547724,5,0,5,True,True,True
40g,row,standard_shallow_finetune,source_anchored_full,aulc,0.6040102165606182,-5.307569002132185,-5.879644218235226,1.0168560021473445,5,0,5,True,True,True
40g,row,standard_full_finetune,scale_only,aulc,-0.4781316521544785,1.7379455841832048,1.41964745829996,0.8891572450428534,0,0,5,True,False,False
40g,row,standard_full_finetune,local_identity_shrinkage,aulc,-0.6349530093208546,2.0865947356869823,1.7548275745156587,0.9875221130827352,0,0,5,True,False,False
40g,row,standard_full_finetune,conditional_EA,aulc,-0.739062079584357,2.2833244694501293,2.0902121547789223,0.9828770073515136,0,0,5,True,False,False
40g,row,standard_full_finetune,conditional_policy,aulc,-0.7204706882264038,2.249939473622035,2.0902121547789223,0.952720702004192,0,0,5,True,False,False
40g,row,standard_full_finetune,target_head_only,aulc,0.3253955721046825,-2.591577781540498,-2.513555664658827,0.918340898867165,5,0,5,True,True,True
40g,row,standard_full_finetune,standard_shallow_finetune,aulc,-0.5440681005574792,1.8931656200267135,1.6585721597111873,0.5038095030841396,0,0,5,True,False,False
40g,row,standard_full_finetune,source_anchored_shallow,aulc,0.07654286892134743,-0.4453380398522457,-0.6113603408149473,1.0821437230898354,3,0,5,True,False,False
40g,row,standard_full_finetune,source_anchored_full,aulc,0.3885648072445861,-3.4144033821054705,-3.5426423403242877,1.0658102251064319,5,0,5,True,True,True
40g,row,source_anchored_shallow,scale_only,aulc,-0.6006499949033186,2.1832836240354503,2.1024539668059496,0.5514039684032401,0,0,5,True,False,False
40g,row,source_anchored_shallow,local_identity_shrinkage,aulc,-0.7704698510597159,2.531932775539228,2.3486175427388085,0.564108700688309,0,0,5,True,False,False
40g,row,source_anchored_shallow,conditional_EA,aulc,-0.883208241137333,2.728662509302375,2.5762715234874283,0.6198195391094369,0,0,5,True,False,False
40g,row,source_anchored_shallow,conditional_policy,aulc,-0.8630758595331784,2.695277513474281,2.5762715234874283,0.6684180535614913,0,0,5,True,False,False
40g,row,source_anchored_shallow,target_head_only,aulc,0.2694794320258921,-2.1462397416882526,-2.028834092939146,0.4128222640091363,5,0,5,True,True,True
40g,row,source_anchored_shallow,standard_shallow_finetune,aulc,-0.6720517375331938,2.3385036598789593,2.2324070105044282,0.7562205216547724,0,0,5,True,False,False
40g,row,source_anchored_shallow,standard_full_finetune,aulc,-0.0828873007152382,0.4453380398522457,0.6113603408149473,1.0821437230898354,2,0,5,True,False,False
40g,row,source_anchored_shallow,source_anchored_full,aulc,0.3378845945547885,-2.969065342253225,-2.9807864888139877,0.6052859248123708,5,0,5,True,True,True
40g,row,source_anchored_full,scale_only,aulc,-1.4174788590321792,5.152348966288676,4.912702793254379,0.9970555106715787,0,0,5,True,False,False
40g,row,source_anchored_full,local_identity_shrinkage,aulc,-1.673959609607993,5.500998117792453,5.019684869025712,1.0085340811922943,0,0,5,True,False,False
40g,row,source_anchored_full,conditional_EA,aulc,-1.8442296095966069,5.697727851555601,5.130871267864883,1.0306144300782445,0,0,5,True,False,False
40g,row,source_anchored_full,conditional_policy,aulc,-1.813823457680209,5.664342855727506,5.130871267864883,1.0600916284350252,0,0,5,True,False,False
40g,row,source_anchored_full,target_head_only,aulc,-0.10331305081611908,0.8228256005649728,0.7814147335092834,0.2697420367502362,0,0,5,True,False,False
40g,row,source_anchored_full,standard_shallow_finetune,aulc,-1.5253176769220365,5.307569002132185,5.879644218235226,1.0168560021473445,0,0,5,True,False,False
40g,row,source_anchored_full,standard_full_finetune,aulc,-0.6354963074557922,3.4144033821054705,3.5426423403242877,1.0658102251064319,0,0,5,True,False,False
40g,row,source_anchored_full,source_anchored_shallow,aulc,-0.5103107279728558,2.969065342253225,2.9807864888139877,0.6052859248123708,0,0,5,True,False,False
8g,compound,standard_shallow_finetune,scale_only,aulc,-0.1201033935928324,0.08826274495155646,0.1340787982724737,0.1658140749365419,1,0,5,True,False,False
8g,compound,standard_shallow_finetune,local_identity_shrinkage,aulc,-0.13045338359066472,0.0949911080916733,0.17124106547131202,0.1563605826646069,1,0,5,True,False,False
8g,compound,standard_shallow_finetune,conditional_EA,aulc,-0.09417543119019234,0.07084854284937396,0.14907732217297354,0.18396150111393036,1,0,5,True,False,False
8g,compound,standard_shallow_finetune,conditional_policy,aulc,-0.09340525517915643,0.07031863282447151,0.1446709002563874,0.1834340709502779,1,0,5,True,False,False
8g,compound,standard_shallow_finetune,target_head_only,aulc,-0.13537052359511237,0.09814467874155557,0.10681560592779804,0.132598909562181,1,0,5,True,False,False
8g,compound,standard_shallow_finetune,standard_full_finetune,aulc,0.4115974275486629,-0.5758088731327757,-0.6122015560710582,0.1886066844969292,5,0,5,True,True,True
8g,compound,standard_shallow_finetune,source_anchored_shallow,aulc,0.18932200361478024,-0.19223522508758117,-0.1455532153493242,0.10597350669907507,5,0,5,True,True,True
8g,compound,standard_shallow_finetune,source_anchored_full,aulc,0.4140369983194765,-0.5816332427465704,-0.5377491164166501,0.2829277993343965,5,0,5,True,True,True
8g,compound,standard_full_finetune,scale_only,aulc,-0.9036344265566052,0.6640716180843322,0.7951598561617039,0.22637383715724446,0,0,5,True,False,False
8g,compound,standard_full_finetune,local_identity_shrinkage,aulc,-0.9212244074343456,0.6707999812244492,0.7345775486128305,0.20510171497966423,0,0,5,True,False,False
8g,compound,standard_full_finetune,conditional_EA,aulc,-0.8595694213772058,0.6466574159821498,0.7188024284881419,0.22775464959364755,0,0,5,True,False,False
8g,compound,standard_full_finetune,conditional_policy,aulc,-0.8582604943821601,0.6461275059572473,0.7174019634671047,0.22255045416515576,0,0,5,True,False,False
8g,compound,standard_full_finetune,target_head_only,aulc,-0.929581169003151,0.6739535518743314,0.7142737202508733,0.12362790201849203,0,0,5,True,False,False
8g,compound,standard_full_finetune,standard_shallow_finetune,aulc,-0.6995167030523195,0.5758088731327757,0.6122015560710582,0.1886066844969292,0,0,5,True,False,False
8g,compound,standard_full_finetune,source_anchored_shallow,aulc,-0.3777607956536688,0.38357364804519456,0.41101000183025294,0.1260446390250239,0,0,5,True,False,False
8g,compound,standard_full_finetune,source_anchored_full,aulc,0.00414609127327592,-0.005824369613794645,0.021401922159722808,0.1852033446775527,2,0,5,True,False,False
8g,compound,source_anchored_shallow,scale_only,aulc,-0.3816871786175622,0.2804979700391376,0.37422194072855663,0.19296210956924148,1,0,5,True,False,False
8g,compound,source_anchored_shallow,local_identity_shrinkage,aulc,-0.3944542575860088,0.2872263331792545,0.34456891596216765,0.17268188669857698,0,0,5,True,False,False
8g,compound,source_anchored_shallow,conditional_EA,aulc,-0.3497041193532773,0.26308376793695515,0.32879379583747903,0.19921853417588323,1,0,5,True,False,False
8g,compound,source_anchored_shallow,conditional_policy,aulc,-0.3487540799856492,0.26255385791205266,0.32739333081644184,0.19713479678029708,1,0,5,True,False,False
8g,compound,source_anchored_shallow,target_head_only,aulc,-0.4005197238085694,0.29037990382913675,0.32043242896983803,0.04604235103040061,0,0,5,True,False,False
8g,compound,source_anchored_shallow,standard_shallow_finetune,aulc,-0.2335353919299148,0.19223522508758117,0.1455532153493242,0.10597350669907507,0,0,5,True,False,False
8g,compound,source_anchored_shallow,standard_full_finetune,aulc,0.2741846021786699,-0.38357364804519456,-0.41101000183025294,0.1260446390250239,5,0,5,True,True,True
8g,compound,source_anchored_shallow,source_anchored_full,aulc,0.2771938990655862,-0.3893980176589892,-0.3098543808739346,0.2176306477859792,5,0,5,True,True,True
8g,compound,source_anchored_full,scale_only,aulc,-0.9115599284944802,0.6698959876981269,0.6718279146891238,0.24020882852090808,0,0,5,True,False,False
8g,compound,source_anchored_full,local_identity_shrinkage,aulc,-0.9292231426703732,0.6766243508382436,0.6696452328922518,0.2044162081115346,0,0,5,True,False,False
8g,compound,source_anchored_full,conditional_EA,aulc,-0.8673114651473413,0.6524817855959444,0.6835351924174444,0.21395898419468984,0,0,5,True,False,False
8g,compound,source_anchored_full,conditional_policy,aulc,-0.8659970886272759,0.651951875571042,0.6765146334237037,0.21006167524629066,0,0,5,True,False,False
8g,compound,source_anchored_full,target_head_only,aulc,-0.9376146963868115,0.679777921488126,0.6332808627099158,0.17452483535289778,0,0,5,True,False,False
8g,compound,source_anchored_full,standard_shallow_finetune,aulc,-0.7065923908711496,0.5816332427465704,0.5377491164166501,0.2829277993343965,0,0,5,True,False,False
8g,compound,source_anchored_full,standard_full_finetune,aulc,-0.004163352914462237,0.005824369613794645,-0.021401922159722808,0.1852033446775527,3,0,5,True,False,False
8g,compound,source_anchored_full,source_anchored_shallow,aulc,-0.38349690007768533,0.3893980176589892,0.3098543808739346,0.2176306477859792,0,0,5,True,False,False
8g,row,standard_shallow_finetune,scale_only,aulc,0.006299776648696964,-0.004596661650833789,0.011045078110261786,0.12436113952441395,1,0,5,True,False,False
8g,row,standard_shallow_finetune,local_identity_shrinkage,aulc,0.03866534951464429,-0.029162188754339978,-0.049133311369755295,0.10349683076333918,4,0,5,True,False,False
8g,row,standard_shallow_finetune,conditional_EA,aulc,0.039563574939444734,-0.02986755536440915,-0.05450063948938133,0.1155767180282512,3,0,5,True,False,False
8g,row,standard_shallow_finetune,conditional_policy,aulc,0.03703585433048817,-0.02788592292864587,-0.05450063948938133,0.1071083721066518,4,0,5,True,False,False
8g,row,standard_shallow_finetune,target_head_only,aulc,-0.06786362331921358,0.04607804277068543,0.055615713106566655,0.04153684065761816,0,0,5,True,False,False
8g,row,standard_shallow_finetune,standard_full_finetune,aulc,0.4227866604719276,-0.5310772402012901,-0.5727726024689669,0.1592565027527658,5,0,5,True,True,True
8g,row,standard_shallow_finetune,source_anchored_shallow,aulc,0.21421776755836075,-0.19766330703141538,-0.21972574970558534,0.07868951776023765,5,0,5,True,True,True
8g,row,standard_shallow_finetune,source_anchored_full,aulc,0.39921422567617193,-0.4817915076627199,-0.40409108151321405,0.20929551439137103,5,0,5,True,True,True
8g,row,standard_full_finetune,scale_only,aulc,-0.721547572278473,0.5264805785504563,0.5736567224074232,0.21402325380138426,0,0,5,True,False,False
8g,row,standard_full_finetune,local_identity_shrinkage,aulc,-0.6654754570837527,0.50191505144695,0.5236392910992116,0.18756064072042058,0,0,5,True,False,False
8g,row,standard_full_finetune,conditional_EA,aulc,-0.6639193159427061,0.5012096848368809,0.5182719629795856,0.1766623502438783,0,0,5,True,False,False
8g,row,standard_full_finetune,conditional_policy,aulc,-0.6682984950708655,0.5031913172726441,0.5182719629795856,0.18875104407071994,0,0,5,True,False,False
8g,row,standard_full_finetune,target_head_only,aulc,-0.85003282181991,0.5771552829719754,0.6394850676106856,0.19149269597710608,0,0,5,True,False,False
8g,row,standard_full_finetune,standard_shallow_finetune,aulc,-0.7324616940031157,0.5310772402012901,0.5727726024689669,0.1592565027527658,0,0,5,True,False,False
8g,row,standard_full_finetune,source_anchored_shallow,aulc,-0.3613376175333922,0.33341393316987467,0.3723437020531305,0.14530250229740366,0,0,5,True,False,False
8g,row,standard_full_finetune,source_anchored_full,aulc,-0.040838340318032795,0.04928573253857009,0.01001025924212473,0.1817567257807516,2,0,5,True,False,False
8g,row,source_anchored_shallow,scale_only,aulc,-0.26460001553306456,0.19306664538058158,0.22362836903170535,0.18836527274077836,1,0,5,True,False,False
8g,row,source_anchored_shallow,local_identity_shrinkage,aulc,-0.22341103017591446,0.1685011182770754,0.17361093772349379,0.1463118031295009,1,0,5,True,False,False
8g,row,source_anchored_shallow,conditional_EA,aulc,-0.2222679330330719,0.16779575166700622,0.16824360960386775,0.14811352522484464,1,0,5,True,False,False
8g,row,source_anchored_shallow,conditional_policy,aulc,-0.2254847538068152,0.1697773841027695,0.17295784327828068,0.1487965576733223,1,0,5,True,False,False
8g,row,source_anchored_shallow,target_head_only,aulc,-0.3589816354094324,0.24374134980210077,0.275341462812152,0.11794327397960908,0,0,5,True,False,False
8g,row,source_anchored_shallow,standard_shallow_finetune,aulc,-0.272617219776945,0.19766330703141538,0.21972574970558534,0.07868951776023765,0,0,5,True,False,False
