column,protocol,seed,method,normalized_aulc,actual_budget_aulc
40g,row,1362771960,standard_shallow_finetune,4.397478165107115,4.397478165107115
40g,row,1362771960,target_head_only,9.463065169217405,9.463065169217405
40g,row,1425370602,conditional_EA,2.63213847987724,2.63213847987724
40g,row,1425370602,conditional_policy,2.7990634590177113,2.7990634590177113
40g,row,1425370602,local_identity_shrinkage,2.7990634590177113,2.7990634590177113
40g,row,1425370602,scale_only,3.176356363792929,3.176356363792929
40g,row,1425370602,source_anchored_full,7.6582428542402745,7.6582428542402745
40g,row,1425370602,source_anchored_shallow,4.677456365426287,4.677456365426287
40g,row,1425370602,standard_full_finetune,5.681594724384312,5.681594724384312
40g,row,1425370602,standard_shallow_finetune,3.3465017498320346,3.3465017498320346
40g,row,1425370602,target_head_only,6.923493013521786,6.923493013521786
40g,row,2767143051,conditional_EA,3.8679483443651534,3.8679483443651534
40g,row,2767143051,conditional_policy,3.8679483443651534,3.8679483443651534
40g,row,2767143051,local_identity_shrinkage,3.9791347432043245,3.9791347432043245
40g,row,2767143051,scale_only,4.086116818975658,4.086116818975658
40g,row,2767143051,source_anchored_full,8.998819612230037,8.998819612230037
40g,row,2767143051,source_anchored_shallow,6.188570785781607,6.188570785781607
40g,row,2767143051,standard_full_finetune,4.777747553705998,4.777747553705998
40g,row,2767143051,standard_shallow_finetune,3.119175393994811,3.119175393994811
40g,row,2767143051,target_head_only,8.217404878720753,8.217404878720753
8g,compound,536279090,conditional_EA,0.6727466205846505,0.7020066839561288
8g,compound,536279090,conditional_policy,0.6741470856056877,0.6965476483827888
8g,compound,536279090,local_identity_shrinkage,0.6569715004599619,0.6803418293264066
8g,compound,536279090,scale_only,0.5963891929110885,0.5979416250381884
8g,compound,536279090,source_anchored_full,1.6418201712033744,1.6696888512984547
8g,compound,536279090,source_anchored_shallow,1.0015404164221295,1.0241275561289342
8g,compound,536279090,standard_full_finetune,1.3915490490727924,1.3975274837899834
8g,compound,536279090,standard_shallow_finetune,0.6777152661136802,0.6859356463870857
8g,compound,536279090,target_head_only,0.7723091264939904,0.7867930716218068
8g,compound,769539383,conditional_EA,1.0957838489338525,1.1019139979632584
8g,compound,769539383,conditional_policy,1.0957838489338525,1.1019139979632584
8g,compound,769539383,local_identity_shrinkage,1.022085658772582,1.0257683519940728
8g,compound,769539383,scale_only,1.0653369356897546,1.068492082193872
8g,compound,769539383,source_anchored_full,1.619646436879909,1.6134771183820251
8g,compound,769539383,source_anchored_shallow,1.0229686276977121,1.0224614419906253
8g,compound,769539383,standard_full_finetune,1.4848735266714632,1.4891966445342306
8g,compound,769539383,standard_shallow_finetune,0.8774154123483879,0.8806618970802658
8g,compound,769539383,target_head_only,0.7705998064205899,0.7698955037700141
8g,compound,1362771960,conditional_EA,0.5288342849138346,0.5288885762393459
8g,compound,1362771960,conditional_policy,0.5358548439075753,0.5359860992803985
8g,compound,1362771960,local_identity_shrinkage,0.5427242444390272,0.5428185240265124
8g,compound,1362771960,scale_only,0.5282931557287878,0.5283148214178605
8g,compound,1362771960,source_anchored_full,1.212369477331279,1.2083872347964866
8g,compound,1362771960,source_anchored_shallow,0.9025150964573444,0.902662470983828
8g,compound,1362771960,standard_full_finetune,1.3886133401870975,1.3891937750578367
8g,compound,1362771960,standard_shallow_finetune,0.7764117841160393,0.7779750809857204
8g,compound,1362771960,target_head_only,0.5790886146213632,0.5807628662399517
8g,compound,1425370602,conditional_EA,0.6663135277859198,0.6642723680817321
8g,compound,1425370602,conditional_policy,0.6707199497025059,0.6689908658838183
8g,compound,1425370602,local_identity_shrinkage,0.6441497844875813,0.643448335937989
8g,compound,1425370602,scale_only,0.6813120516864196,0.679101508686645
8g,compound,1425370602,source_anchored_full,1.3531399663755435,1.3604745224097796
8g,compound,1425370602,source_anchored_shallow,1.1004063637998038,1.0974688066751086
8g,compound,1425370602,standard_full_finetune,1.5114163656300568,1.5198816452676995
8g,compound,1425370602,standard_shallow_finetune,0.8153908499588933,0.8139566331293493
8g,compound,1425370602,target_head_only,0.7739658666652007,0.7704622848995797
8g,compound,2767143051,conditional_EA,0.7978411477428056,0.7984957994585644
8g,compound,2767143051,conditional_policy,0.7876632519359538,0.787973746111123
8g,compound,2767143051,local_identity_shrinkage,0.7748754155904138,0.7752468228703425
8g,compound,2767143051,scale_only,0.8031170834340999,0.8041951757209598
8g,compound,2767143051,source_anchored_full,1.1969523061506788,1.1976671516840391
8g,compound,2767143051,source_anchored_shallow,1.0495077652688487,1.050757742924597
8g,compound,2767143051,standard_full_finetune,1.2183542283104016,1.228321131038732
8g,compound,2767143051,standard_shallow_finetune,0.968828831670932,0.971628585479952
8g,compound,2767143051,target_head_only,0.7290753362990107,0.7290374532225223
8g,row,536279090,conditional_EA,0.7669203038041252,0.7669203038041252
8g,row,536279090,conditional_policy,0.7304559319685534,0.7304559319685534
8g,row,536279090,local_identity_shrinkage,0.7304559293835365,0.7304559293835365
8g,row,536279090,scale_only,0.6268265294150106,0.6268265294150106
8g,row,536279090,source_anchored_full,1.4104437579167401,1.4104437579167401
8g,row,536279090,source_anchored_shallow,0.9301631696892482,0.9301631696892482
8g,row,536279090,standard_full_finetune,1.3025068717423787,1.3025068717423787
8g,row,536279090,standard_shallow_finetune,0.6378716075252724,0.6378716075252724
