outer_seed,budget,method,bottleneck_width,source_member,run_key,initial_status,attempts,final_status,action,reason,errors
769539383,100,graph_adapter_r32,32,42,seed_769539383/budget_100/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
769539383,100,graph_adapter_r32,32,525,seed_769539383/budget_100/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
769539383,100,graph_adapter_r32,32,1101,seed_769539383/budget_100/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
1425370602,30,graph_adapter_r8,8,42,seed_1425370602/budget_30/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
1425370602,30,graph_adapter_r8,8,525,seed_1425370602/budget_30/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
1425370602,30,graph_adapter_r8,8,1101,seed_1425370602/budget_30/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
1425370602,30,graph_adapter_r16,16,42,seed_1425370602/budget_30/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
1425370602,30,graph_adapter_r16,16,525,seed_1425370602/budget_30/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
1425370602,30,graph_adapter_r16,16,1101,seed_1425370602/budget_30/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
1425370602,30,graph_adapter_r32,32,42,seed_1425370602/budget_30/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
1425370602,30,graph_adapter_r32,32,525,seed_1425370602/budget_30/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
1425370602,30,graph_adapter_r32,32,1101,seed_1425370602/budget_30/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
1425370602,50,graph_adapter_r8,8,42,seed_1425370602/budget_50/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
1425370602,50,graph_adapter_r8,8,525,seed_1425370602/budget_50/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
1425370602,50,graph_adapter_r8,8,1101,seed_1425370602/budget_50/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
1425370602,50,graph_adapter_r16,16,42,seed_1425370602/budget_50/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
1425370602,50,graph_adapter_r16,16,525,seed_1425370602/budget_50/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
1425370602,50,graph_adapter_r16,16,1101,seed_1425370602/budget_50/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
1425370602,50,graph_adapter_r32,32,42,seed_1425370602/budget_50/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
1425370602,50,graph_adapter_r32,32,525,seed_1425370602/budget_50/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
1425370602,50,graph_adapter_r32,32,1101,seed_1425370602/budget_50/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
1425370602,70,graph_adapter_r8,8,42,seed_1425370602/budget_70/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
1425370602,70,graph_adapter_r8,8,525,seed_1425370602/budget_70/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
1425370602,70,graph_adapter_r8,8,1101,seed_1425370602/budget_70/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
1425370602,70,graph_adapter_r16,16,42,seed_1425370602/budget_70/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
1425370602,70,graph_adapter_r16,16,525,seed_1425370602/budget_70/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
1425370602,70,graph_adapter_r16,16,1101,seed_1425370602/budget_70/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
1425370602,70,graph_adapter_r32,32,42,seed_1425370602/budget_70/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
1425370602,70,graph_adapter_r32,32,525,seed_1425370602/budget_70/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
1425370602,70,graph_adapter_r32,32,1101,seed_1425370602/budget_70/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
1425370602,100,graph_adapter_r8,8,42,seed_1425370602/budget_100/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
1425370602,100,graph_adapter_r8,8,525,seed_1425370602/budget_100/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
1425370602,100,graph_adapter_r8,8,1101,seed_1425370602/budget_100/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
1425370602,100,graph_adapter_r16,16,42,seed_1425370602/budget_100/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
1425370602,100,graph_adapter_r16,16,525,seed_1425370602/budget_100/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
1425370602,100,graph_adapter_r16,16,1101,seed_1425370602/budget_100/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
1425370602,100,graph_adapter_r32,32,42,seed_1425370602/budget_100/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
1425370602,100,graph_adapter_r32,32,525,seed_1425370602/budget_100/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
1425370602,100,graph_adapter_r32,32,1101,seed_1425370602/budget_100/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
536279090,30,graph_adapter_r8,8,42,seed_536279090/budget_30/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
536279090,30,graph_adapter_r8,8,525,seed_536279090/budget_30/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
536279090,30,graph_adapter_r8,8,1101,seed_536279090/budget_30/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
536279090,30,graph_adapter_r16,16,42,seed_536279090/budget_30/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
536279090,30,graph_adapter_r16,16,525,seed_536279090/budget_30/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
536279090,30,graph_adapter_r16,16,1101,seed_536279090/budget_30/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
536279090,30,graph_adapter_r32,32,42,seed_536279090/budget_30/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
536279090,30,graph_adapter_r32,32,525,seed_536279090/budget_30/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
536279090,30,graph_adapter_r32,32,1101,seed_536279090/budget_30/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
536279090,50,graph_adapter_r8,8,42,seed_536279090/budget_50/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
536279090,50,graph_adapter_r8,8,525,seed_536279090/budget_50/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
536279090,50,graph_adapter_r8,8,1101,seed_536279090/budget_50/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
536279090,50,graph_adapter_r16,16,42,seed_536279090/budget_50/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
536279090,50,graph_adapter_r16,16,525,seed_536279090/budget_50/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
536279090,50,graph_adapter_r16,16,1101,seed_536279090/budget_50/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
536279090,50,graph_adapter_r32,32,42,seed_536279090/budget_50/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
536279090,50,graph_adapter_r32,32,525,seed_536279090/budget_50/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
536279090,50,graph_adapter_r32,32,1101,seed_536279090/budget_50/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
536279090,70,graph_adapter_r8,8,42,seed_536279090/budget_70/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
536279090,70,graph_adapter_r8,8,525,seed_536279090/budget_70/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
536279090,70,graph_adapter_r8,8,1101,seed_536279090/budget_70/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
536279090,70,graph_adapter_r16,16,42,seed_536279090/budget_70/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
536279090,70,graph_adapter_r16,16,525,seed_536279090/budget_70/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
536279090,70,graph_adapter_r16,16,1101,seed_536279090/budget_70/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
536279090,70,graph_adapter_r32,32,42,seed_536279090/budget_70/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
536279090,70,graph_adapter_r32,32,525,seed_536279090/budget_70/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
536279090,70,graph_adapter_r32,32,1101,seed_536279090/budget_70/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
536279090,100,graph_adapter_r8,8,42,seed_536279090/budget_100/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
536279090,100,graph_adapter_r8,8,525,seed_536279090/budget_100/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
536279090,100,graph_adapter_r8,8,1101,seed_536279090/budget_100/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
536279090,100,graph_adapter_r16,16,42,seed_536279090/budget_100/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
536279090,100,graph_adapter_r16,16,525,seed_536279090/budget_100/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
536279090,100,graph_adapter_r16,16,1101,seed_536279090/budget_100/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
536279090,100,graph_adapter_r32,32,42,seed_536279090/budget_100/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
536279090,100,graph_adapter_r32,32,525,seed_536279090/budget_100/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
536279090,100,graph_adapter_r32,32,1101,seed_536279090/budget_100/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
2767143051,30,graph_adapter_r8,8,42,seed_2767143051/budget_30/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
2767143051,30,graph_adapter_r8,8,525,seed_2767143051/budget_30/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
2767143051,30,graph_adapter_r8,8,1101,seed_2767143051/budget_30/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
2767143051,30,graph_adapter_r16,16,42,seed_2767143051/budget_30/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
2767143051,30,graph_adapter_r16,16,525,seed_2767143051/budget_30/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
2767143051,30,graph_adapter_r16,16,1101,seed_2767143051/budget_30/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
2767143051,30,graph_adapter_r32,32,42,seed_2767143051/budget_30/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
2767143051,30,graph_adapter_r32,32,525,seed_2767143051/budget_30/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
2767143051,30,graph_adapter_r32,32,1101,seed_2767143051/budget_30/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
2767143051,50,graph_adapter_r8,8,42,seed_2767143051/budget_50/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
2767143051,50,graph_adapter_r8,8,525,seed_2767143051/budget_50/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
2767143051,50,graph_adapter_r8,8,1101,seed_2767143051/budget_50/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
2767143051,50,graph_adapter_r16,16,42,seed_2767143051/budget_50/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
2767143051,50,graph_adapter_r16,16,525,seed_2767143051/budget_50/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
2767143051,50,graph_adapter_r16,16,1101,seed_2767143051/budget_50/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
2767143051,50,graph_adapter_r32,32,42,seed_2767143051/budget_50/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
2767143051,50,graph_adapter_r32,32,525,seed_2767143051/budget_50/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
2767143051,50,graph_adapter_r32,32,1101,seed_2767143051/budget_50/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
2767143051,70,graph_adapter_r8,8,42,seed_2767143051/budget_70/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
2767143051,70,graph_adapter_r8,8,525,seed_2767143051/budget_70/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
2767143051,70,graph_adapter_r8,8,1101,seed_2767143051/budget_70/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
2767143051,70,graph_adapter_r16,16,42,seed_2767143051/budget_70/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
2767143051,70,graph_adapter_r16,16,525,seed_2767143051/budget_70/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
2767143051,70,graph_adapter_r16,16,1101,seed_2767143051/budget_70/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
2767143051,70,graph_adapter_r32,32,42,seed_2767143051/budget_70/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
2767143051,70,graph_adapter_r32,32,525,seed_2767143051/budget_70/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
2767143051,70,graph_adapter_r32,32,1101,seed_2767143051/budget_70/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
2767143051,100,graph_adapter_r8,8,42,seed_2767143051/budget_100/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
2767143051,100,graph_adapter_r8,8,525,seed_2767143051/budget_100/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
2767143051,100,graph_adapter_r8,8,1101,seed_2767143051/budget_100/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
2767143051,100,graph_adapter_r16,16,42,seed_2767143051/budget_100/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
2767143051,100,graph_adapter_r16,16,525,seed_2767143051/budget_100/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
2767143051,100,graph_adapter_r16,16,1101,seed_2767143051/budget_100/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
2767143051,100,graph_adapter_r32,32,42,seed_2767143051/budget_100/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
2767143051,100,graph_adapter_r32,32,525,seed_2767143051/budget_100/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
2767143051,100,graph_adapter_r32,32,1101,seed_2767143051/budget_100/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
1362771960,30,graph_adapter_r8,8,42,seed_1362771960/budget_30/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
1362771960,30,graph_adapter_r8,8,525,seed_1362771960/budget_30/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
1362771960,30,graph_adapter_r8,8,1101,seed_1362771960/budget_30/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
1362771960,30,graph_adapter_r16,16,42,seed_1362771960/budget_30/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
1362771960,30,graph_adapter_r16,16,525,seed_1362771960/budget_30/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
1362771960,30,graph_adapter_r16,16,1101,seed_1362771960/budget_30/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
1362771960,30,graph_adapter_r32,32,42,seed_1362771960/budget_30/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
1362771960,30,graph_adapter_r32,32,525,seed_1362771960/budget_30/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
1362771960,30,graph_adapter_r32,32,1101,seed_1362771960/budget_30/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
1362771960,50,graph_adapter_r8,8,42,seed_1362771960/budget_50/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
1362771960,50,graph_adapter_r8,8,525,seed_1362771960/budget_50/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
1362771960,50,graph_adapter_r8,8,1101,seed_1362771960/budget_50/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
1362771960,50,graph_adapter_r16,16,42,seed_1362771960/budget_50/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
1362771960,50,graph_adapter_r16,16,525,seed_1362771960/budget_50/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
1362771960,50,graph_adapter_r16,16,1101,seed_1362771960/budget_50/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
1362771960,50,graph_adapter_r32,32,42,seed_1362771960/budget_50/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
1362771960,50,graph_adapter_r32,32,525,seed_1362771960/budget_50/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
1362771960,50,graph_adapter_r32,32,1101,seed_1362771960/budget_50/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
1362771960,70,graph_adapter_r8,8,42,seed_1362771960/budget_70/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
1362771960,70,graph_adapter_r8,8,525,seed_1362771960/budget_70/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
1362771960,70,graph_adapter_r8,8,1101,seed_1362771960/budget_70/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
1362771960,70,graph_adapter_r16,16,42,seed_1362771960/budget_70/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
1362771960,70,graph_adapter_r16,16,525,seed_1362771960/budget_70/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
1362771960,70,graph_adapter_r16,16,1101,seed_1362771960/budget_70/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
1362771960,70,graph_adapter_r32,32,42,seed_1362771960/budget_70/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
1362771960,70,graph_adapter_r32,32,525,seed_1362771960/budget_70/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
1362771960,70,graph_adapter_r32,32,1101,seed_1362771960/budget_70/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
1362771960,100,graph_adapter_r8,8,42,seed_1362771960/budget_100/graph_adapter_r8/member_42,missing,1,complete,executed,same_config_success,[]
1362771960,100,graph_adapter_r8,8,525,seed_1362771960/budget_100/graph_adapter_r8/member_525,missing,1,complete,executed,same_config_success,[]
1362771960,100,graph_adapter_r8,8,1101,seed_1362771960/budget_100/graph_adapter_r8/member_1101,missing,1,complete,executed,same_config_success,[]
1362771960,100,graph_adapter_r16,16,42,seed_1362771960/budget_100/graph_adapter_r16/member_42,missing,1,complete,executed,same_config_success,[]
1362771960,100,graph_adapter_r16,16,525,seed_1362771960/budget_100/graph_adapter_r16/member_525,missing,1,complete,executed,same_config_success,[]
1362771960,100,graph_adapter_r16,16,1101,seed_1362771960/budget_100/graph_adapter_r16/member_1101,missing,1,complete,executed,same_config_success,[]
1362771960,100,graph_adapter_r32,32,42,seed_1362771960/budget_100/graph_adapter_r32/member_42,missing,1,complete,executed,same_config_success,[]
1362771960,100,graph_adapter_r32,32,525,seed_1362771960/budget_100/graph_adapter_r32/member_525,missing,1,complete,executed,same_config_success,[]
1362771960,100,graph_adapter_r32,32,1101,seed_1362771960/budget_100/graph_adapter_r32/member_1101,missing,1,complete,executed,same_config_success,[]
