scope,outer_seed,method,metric,target,threshold,interpolated_labels,first_observed_labels,sustained_labels,status,censor_budget
seed,887.0,adaptive_lcmd,V2_R2,Random@653,0.6306170556500172,350.90773098884455,365.0,365.0,REACHED,653.0
seed,887.0,adaptive_lcmd,V2_R2,N80,0.8235862925028448,563.0385434433686,589.0,589.0,REACHED,653.0
seed,887.0,adaptive_lcmd,V2_R2,N90,0.8576996069052463,,,,CENSORED,653.0
seed,887.0,adaptive_lcmd,V2_R2,N95,0.874756264106447,,,,CENSORED,653.0
seed,887.0,random,V2_R2,Random@653,0.6306170556500172,653.0,653.0,653.0,REACHED,653.0
seed,887.0,random,V2_R2,N80,0.8235862925028448,,,,CENSORED,653.0
seed,887.0,random,V2_R2,N90,0.8576996069052463,,,,CENSORED,653.0
seed,887.0,random,V2_R2,N95,0.874756264106447,,,,CENSORED,653.0
seed,887.0,static_lcmd,V2_R2,Random@653,0.6306170556500172,350.90773098884455,365.0,365.0,REACHED,653.0
seed,887.0,static_lcmd,V2_R2,N80,0.8235862925028448,461.5834711693704,493.0,493.0,REACHED,653.0
seed,887.0,static_lcmd,V2_R2,N90,0.8576996069052463,556.8412706090172,557.0,,REACHED,653.0
seed,887.0,static_lcmd,V2_R2,N95,0.874756264106447,,,,CENSORED,653.0
seed,2357.0,adaptive_lcmd,combined_normalized_RMSE,Random@653,0.5275423584511438,403.98735340711073,429.0,429.0,REACHED,653.0
seed,2357.0,adaptive_lcmd,combined_normalized_RMSE,N80,0.37030818453394415,585.6451052775518,589.0,653.0,REACHED,653.0
seed,2357.0,adaptive_lcmd,combined_normalized_RMSE,N90,0.3357278266369091,,,,CENSORED,653.0
seed,2357.0,adaptive_lcmd,combined_normalized_RMSE,N95,0.31843764768839156,,,,CENSORED,653.0
seed,2357.0,random,combined_normalized_RMSE,Random@653,0.5275423584511438,514.5644167329656,525.0,653.0,REACHED,653.0
seed,2357.0,random,combined_normalized_RMSE,N80,0.37030818453394415,,,,CENSORED,653.0
seed,2357.0,random,combined_normalized_RMSE,N90,0.3357278266369091,,,,CENSORED,653.0
seed,2357.0,random,combined_normalized_RMSE,N95,0.31843764768839156,,,,CENSORED,653.0
seed,2357.0,static_lcmd,combined_normalized_RMSE,Random@653,0.5275423584511438,412.20328139531676,429.0,429.0,REACHED,653.0
seed,2357.0,static_lcmd,combined_normalized_RMSE,N80,0.37030818453394415,,,,CENSORED,653.0
seed,2357.0,static_lcmd,combined_normalized_RMSE,N90,0.3357278266369091,,,,CENSORED,653.0
seed,2357.0,static_lcmd,combined_normalized_RMSE,N95,0.31843764768839156,,,,CENSORED,653.0
seed,2357.0,adaptive_lcmd,V1_RMSE,Random@653,4.416038945368891,401.0456803215314,429.0,429.0,REACHED,653.0
