sample_id,canonical_index,source_canonical_index,V1_q50,V2_q50,V1_q10,V1_q90,V2_q10,V2_q90,checkpoint_sha256,ensemble_pred_V1,ensemble_pred_V2,ensemble_variance_V1,ensemble_variance_V2,ensemble_covariance_V1_V2,ensemble_score,V1_quantile_width,V2_quantile_width,quantile_width,member_0_seed,member_0_V1_q50,member_0_V2_q50,member_1_seed,member_1_V1_q50,member_1_V2_q50,member_2_seed,member_2_V1_q50,member_2_V2_q50,latent_distance,random_score,true_V1,true_V2,standardized_abs_error,ensemble_mean_standardized_abs_error,tail_flag,compound_id,outer_seed,split_mode,slice,round,strategy,seed
9e3f598e00375ec93d9b,2691,2691,22.442549,47.15039,20.22405,22.871948,2.5060043,47.15039,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,32.01042874654134,73.88172912597656,1.9921664702345003,2.8621325775852045,2.367714514517488,4.854299047819705,2.6478977,44.644386,1.4774019,4200,22.442548751831055,47.150390625,4201,28.86009979248047,70.23514556884766,4202,44.7286376953125,104.25965118408203,8.168577869803922,0.9054164879727256,44.09166666666667,91.85,2.647903754050928,1.2722471789607277,False,C=C(C)C(=O)OCCOC(=O)CC(C)=O,42,compound,u0_full,1,ensemble,42
c4bb286978fe9078a303,2690,2690,22.442549,47.15039,20.22405,22.871948,2.5060043,47.15039,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,32.01042874654134,73.88172912597656,1.9921664702345003,2.8621325775852045,2.367714514517488,4.854299047819705,2.6478977,44.644386,1.4774019,4200,22.442548751831055,47.150390625,4201,28.86009979248047,70.23514556884766,4202,44.7286376953125,104.25965118408203,8.231659923900756,0.8334750461958397,53.00833333333333,93.275,3.2383778227798983,1.8627212476896977,False,C=C(C)C(=O)OCCOC(=O)CC(C)=O,42,compound,u0_full,1,ensemble,42
ca467c94f14b2219503e,2692,2692,22.442549,47.15039,20.22405,22.871948,2.5060043,47.15039,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,32.01042874654134,73.88172912597656,1.9921664702345003,2.8621325775852045,2.367714514517488,4.854299047819705,2.6478977,44.644386,1.4774019,4200,22.442548751831055,47.150390625,4201,28.86009979248047,70.23514556884766,4202,44.7286376953125,104.25965118408203,8.253173018162453,0.3886705777731727,36.925,94.20833333333331,2.2764792769551025,0.9008227018649019,False,C=C(C)C(=O)OCCOC(=O)CC(C)=O,42,compound,u0_full,1,ensemble,42
6b5982c6e1bbaadd6a95,3929,3929,40.251896,75.359406,32.65106,41.593983,6.969658,75.359406,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,24.5808588663737,53.04582977294922,2.8397070205096773,1.308870436711779,1.926909689176098,4.148577457221457,8.9429245,68.38975,2.5638068,4200,40.251895904541016,75.35940551757812,4201,18.593826293945312,43.891849517822266,4202,14.896854400634766,39.886234283447266,9.944522817640774,0.054640307653649356,10.075,23.958333333333332,3.3698157530522037,1.7487954487380333,False,C/C(=N\O)c1ccccc1,42,compound,u0_full,1,ensemble,42
7d406784048b9e313d67,3930,3930,40.251896,75.359406,32.65106,41.593983,6.969658,75.359406,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,24.5808588663737,53.04582977294922,2.8397070205096773,1.308870436711779,1.926909689176098,4.148577457221457,8.9429245,68.38975,2.5638068,4200,40.251895904541016,75.35940551757812,4201,18.593826293945312,43.891849517822266,4202,14.896854400634766,39.886234283447266,9.957320765699214,0.2541836636579936,9.741666666666667,24.6,3.3714277292187402,1.7504074249045702,False,C/C(=N\O)c1ccccc1,42,compound,u0_full,1,ensemble,42
efe14b6a1dc3741d71ba,3928,3928,40.251896,75.359406,32.65106,41.593983,6.969658,75.359406,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,24.5808588663737,53.04582977294922,2.8397070205096773,1.308870436711779,1.926909689176098,4.148577457221457,8.9429245,68.38975,2.5638068,4200,40.251895904541016,75.35940551757812,4201,18.593826293945312,43.891849517822266,4202,14.896854400634766,39.886234283447266,10.03081307840021,0.790823202960046,9.633333333333333,22.733333333333334,3.4330542805359197,1.8120339762217492,False,C/C(=N\O)c1ccccc1,42,compound,u0_full,1,ensemble,42
b7cf293311f83700cd9a,2566,2566,75.54784,144.48079,60.246033,83.896126,10.832748,144.48079,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,62.55441665649414,120.5994160970052,2.180063093837435,1.725452959835792,1.9386707803302916,3.9055160536732267,23.650093,133.64804,5.3900027,4200,75.54783630371094,144.4807891845703,4201,60.22932434082031,117.0146255493164,4202,51.88608932495117,100.3028335571289,25.790586232016306,0.2547078754135542,55.81666666666667,113.20833333333331,2.134568996701039,0.6321021727993305,False,OCc1ccc2ccccc2c1,42,compound,u0_full,1,ensemble,42
48679ae48dd485ffb7a6,566,566,13.830705,35.194683,12.500922,18.221062,2.4938622,35.194683,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,23.517706871032715,59.71261342366537,1.7068947166284059,2.1601214086776572,1.9092847383405538,3.867016125306063,5.7201395,32.70082,1.3147258,4200,13.830704689025879,35.19468307495117,4201,34.87166976928711,85.08865356445312,4202,21.850746154785156,58.8545036315918,7.539426912427051,0.3450394386633986,8.391666666666667,13.541666666666666,0.9721407387854022,2.2899533854376966,False,COC(=O)C#CC(=O)OC,42,compound,u0_full,1,ensemble,42
1395836aef00d6a880b0,2153,2153,55.51625,108.17142,41.533382,55.536327,2.4592743,108.17142,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,43.67637252807617,86.25492858886719,2.0205933662645097,1.3887730289198714,1.6546896153444388,3.409366395184381,14.002945,105.71214,3.9740028,4200,55.51625061035156,108.17141723632812,4201,43.081077575683594,81.63898468017578,4202,32.43178939819336,68.95438385009766,14.81971669714568,0.053571744596447646,56.46666666666667,117.4,0.33019303033614195,1.7038445088259757,False,N#Cc1ccc(C(=O)c2ccccc2)cc1,42,compound,u0_full,1,ensemble,42
a17bcdddcf0799baeee2,2152,2152,55.51625,108.17142,41.533382,55.536327,2.4592743,108.17142,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,43.67637252807617,86.25492858886719,2.0205933662645097,1.3887730289198714,1.6546896153444388,3.409366395184381,14.002945,105.71214,3.9740028,4200,55.51625061035156,108.17141723632812,4201,43.081077575683594,81.63898468017578,4202,32.43178939819336,68.95438385009766,14.807813740227681,0.1701864054255764,57.875,117.925,0.4322859911723803,1.8059374696622141,False,N#Cc1ccc(C(=O)c2ccccc2)cc1,42,compound,u0_full,1,ensemble,42
58057b7c6f59599617ed,565,565,11.900689,31.114569,10.802734,16.173775,2.415306,31.114569,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,20.887075742085774,53.259026209513344,1.4585894408328506,1.9447428193857872,1.6835331857566418,3.4033322602186376,5.3710403,28.699263,1.1754283,4200,11.900689125061035,31.11456871032715,4201,31.36309242248535,78.22419738769531,4202,19.397445678710938,50.43831253051758,7.011635498457769,0.8769891742642758,9.945833333333333,13.625,0.6352193469746021,1.8400482488477974,False,COC(=O)C#CC(=O)OC,42,compound,u0_full,1,ensemble,42
93f10a8edf06f7acae26,564,564,11.900689,31.114569,10.802734,16.173775,2.415306,31.114569,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,20.887075742085774,53.259026209513344,1.4585894408328506,1.9447428193857872,1.6835331857566418,3.4033322602186376,5.3710403,28.699263,1.1754283,4200,11.900689125061035,31.11456871032715,4201,31.36309242248535,78.22419738769531,4202,19.397445678710938,50.43831253051758,7.045450156957119,0.5529576774172946,9.025,13.3,0.7014345155414837,1.9062634174146786,False,COC(=O)C#CC(=O)OC,42,compound,u0_full,1,ensemble,42
bc98537714d620facf79,563,563,11.900689,31.114569,10.802734,16.173775,2.415306,31.114569,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,20.887075742085774,53.259026209513344,1.4585894408328506,1.9447428193857872,1.6835331857566418,3.4033322602186376,5.3710403,28.699263,1.1754283,4200,11.900689125061035,31.11456871032715,4201,31.36309242248535,78.22419738769531,4202,19.397445678710938,50.43831253051758,7.011635498457769,0.6251017084008793,10.266666666666667,13.516666666666667,0.618672794306476,1.823501696179671,False,COC(=O)C#CC(=O)OC,42,compound,u0_full,1,ensemble,42
4862e2fb71344ce16021,2069,2069,44.392094,87.07885,35.348076,44.397022,6.495163,87.07885,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,43.986227671305336,91.72208658854167,1.9154344961412353,1.078332503656621,1.3883869240020716,2.993766999797856,9.048946,80.58369,2.9293685,4200,44.392093658447266,87.07884979248047,4201,55.02687454223633,111.21298217773438,4202,32.53971481323242,76.87442779541016,14.889899274773267,0.32495905201261,5.266666666666667,7.308333333333334,4.755605125565323,4.867353907033131,False,O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1,42,compound,u0_full,1,ensemble,42
5b706e17e8412d02342f,2068,2068,44.392094,87.07885,35.348076,44.397022,6.495163,87.07885,f2f7518e73ff3ff87d9a032d79c7f0790fb6471986c79751811f2b6df32a3388,43.986227671305336,91.72208658854167,1.9154344961412353,1.078332503656621,1.3883869240020716,2.993766999797856,9.048946,80.58369,2.9293685,4200,44.392093658447266,87.07884979248047,4201,55.02687454223633,111.21298217773438,4202,32.53971481323242,76.87442779541016,14.892896004613306,0.23501818530991558,21.325,59.875,2.2199846777172167,2.331733459185026,False,O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1,42,compound,u0_full,1,ensemble,42
