outer_seed,selection_order,canonical_u0_position,canonical_index,sample_id,uncertainty_score,uncertainty_rank,in_top25_shortlist
6101,4,297,410,a2f83665cfe821271b30,0.9807639158285018,42,True
6101,5,2160,2986,a2febf036cd726eb4526,0.3941200158070711,291,True
6101,6,2938,4075,3f6b817d855e67b3b406,0.5355708179753694,170,True
6101,7,2969,4121,0c5c35afb3a24375c153,1.8701688445348834,1,True
6101,8,451,624,302e458c5ed2285ca328,0.9279162185331488,49,True
6101,9,1573,2165,fe66b2381d33aa2ea3a8,1.394206864671527,5,True
6101,10,1950,2692,ca467c94f14b2219503e,1.1953301189275782,14,True
6101,11,1415,1939,3b2c663a28a9f32bd1d3,1.1327246734305552,20,True
6101,12,2883,3995,d9c8c8af50a10bf07765,1.80559164489525,2,True
6101,13,2968,4120,855456da9ea892f7216b,1.033202700884706,31,True
6101,14,1633,2251,66747ae127e03516ffda,0.27205908430285886,554,True
6101,15,999,1375,9b1545dfa05c9439870b,0.29870175712383695,474,True
6101,16,622,853,2d178efe0181baca2bd5,0.587553052783749,144,True
6101,17,1332,1833,d3047299bd8817ee87dd,0.9586974788215862,48,True
6101,18,1002,1381,80f546c47198fa7c6dbf,0.4389286695128957,243,True
6101,19,2991,4156,6802f0b28c5a0c7b4c2a,0.41669352437227736,257,True
6101,20,866,1192,87996db5ddb7565fe66f,0.5651602706884256,155,True
6101,21,85,113,28e9fea3e3293f2b8a0e,0.3028714061081243,468,True
6101,22,842,1155,222a68fc192f66c1c080,0.29168555408025865,501,True
6101,23,2277,3155,f156391514f509a6ea3a,0.5068674035541928,196,True
6101,24,1105,1521,0d588f7534b7a34cb10a,0.3276780900104376,418,True
6101,25,2942,4079,b7fffd840d208b29776c,0.32247897260369973,440,True
6101,26,1505,2065,aef5cafc63ca445e92fa,0.3666225399322576,349,True
6101,27,918,1269,51f4126a3aadb3239225,0.8930999618497077,54,True
6101,28,2882,3993,7e834c7b870ef7024d35,1.0096933782192898,35,True
6101,29,1483,2032,9948433906d4afa41345,0.31066331466231295,454,True
6101,30,1172,1617,8fa8d7ec035c6a829dc4,1.0947549621805193,24,True
6101,31,1380,1896,c08c4700ae34281b3318,0.8722970835776427,65,True
12203,0,297,410,a2f83665cfe821271b30,0.46447886355790136,191,True
12203,1,1177,1659,129036e0bccc4ff7e848,0.6532361338945262,92,True
12203,2,1693,2371,86258f5c8ffdb874521f,0.5633490289526905,127,True
12203,3,2827,3935,efd84dffe823b6298db6,1.1732219867901883,12,True
12203,4,1910,2666,d76d74e2a624a532f9f8,0.21022310849422002,645,True
12203,5,2258,3153,e4a7e43d15fcdee2ba1d,0.2917850442739561,389,True
12203,6,866,1211,23ef03f3e75e40b20095,1.4695449472928304,2,True
12203,7,1916,2674,769f1d04efb22c05cfdf,0.5619839079954361,130,True
12203,8,1071,1500,942b8fc9cf013acda52b,0.37415329323540014,284,True
12203,9,2996,4162,b37608f8c4a8ee4b8696,0.40269200921176135,260,True
12203,10,266,355,f7d57d8bb988f7016502,0.3230216922642442,349,True
12203,11,1909,2664,61771d230b285babe4b6,0.4299016423880754,227,True
12203,12,2896,4023,4c46ceefd6147b1e0a7a,0.8794382150796433,33,True
12203,13,1356,1895,a01a137fa48c1391b9e7,0.6202234228747494,102,True
12203,14,2820,3926,3b4634411832718c26e4,0.5040770887411828,168,True
12203,15,1634,2285,aa83ae83c0fa0cc37777,0.2670214911266244,443,True
12203,16,855,1197,4d1e1e0eca90a46d77b2,1.324452057031067,6,True
12203,17,1834,2566,b7cf293311f83700cd9a,0.8904020472511629,29,True
12203,18,2957,4107,b1c5816f929ef59f5a87,0.733148495353265,60,True
12203,19,1610,2249,9ed7c1fb1c2cc499bbf9,0.4200898523371909,247,True
12203,20,1925,2690,c4bb286978fe9078a303,0.7876489840480092,51,True
12203,21,1847,2583,80762b40f399bb68342a,0.6576696154702945,84,True
12203,22,1175,1656,b24f66ff77974f8ba6e1,0.4354166435679687,217,True
12203,23,1081,1516,f7f0c7d2b8250e0e304f,0.4530597867648819,201,True
