selection_order,pool_position,selected_from_center,largest_cluster_score,nearest_center_sq_distance_before_selection
188,461,296,55170.13921433453,9301.012842456657
189,2117,230,55005.23868995544,7262.257021588877
190,1144,23,54546.763059727935,11096.389077996893
191,1815,241,53142.20026424504,2099.6052743016603
192,2369,297,53071.297296585515,26535.66022053492
193,2809,363,52622.40499398523,13444.595544995624
194,1954,216,51635.37186845721,7235.213596310412
195,396,27,51508.66648049434,4200.732734656503
196,393,483,51492.50974425496,15037.674933622679
197,2634,308,51439.007868146364,7613.511576031142
198,2789,44,51333.749542126825,6450.335558666822
199,1646,280,51258.754996886324,5209.438027608517
200,586,63,51219.447487796104,5321.145017262614
201,1395,153,51205.59485206305,25602.943440072646
202,415,35,51150.14545876924,5901.491311826296
203,2857,431,50966.56500027606,6316.4555471721105
204,631,352,50944.22708348365,16981.430741547374
205,2957,96,50912.157261914566,4553.463873658642
206,2850,213,50028.62181697981,3485.5777333306432
207,1003,47,49824.49690758607,4257.634471065973
208,1104,88,49672.7430983302,7829.307182136306
209,2206,240,49157.14018947622,1638.3907699892052
210,1057,109,49072.282544661604,24536.259980344417
211,889,347,49031.75978446094,24516.132460002438
212,1346,190,48242.23498050355,5854.46039016455
213,425,14,47644.71806543374,7664.159344919986
214,2350,262,47241.06222730224,1971.2481989430216
215,2383,241,46843.567887001205,2096.406739139333
216,1931,32,46710.65416778497,4139.738758347761
217,2713,55,46564.84809375768,15521.803139933065
218,18,1,46505.46792157405,5016.46782558552
219,2610,309,46468.198268153414,5881.984974385174
220,1079,96,46358.693388255924,4104.158896604635
221,2618,317,46119.023187774364,2429.7536587506984
222,2024,240,45880.408024649,1629.4922903239162
223,1409,16,45592.01868680147,11815.61634121943
224,1054,48,45359.457397183534,15119.855574186182
225,1119,99,45358.936025870455,5500.0587275738835
226,1698,192,44502.42292263021,22251.23130882054
227,2940,240,44250.91573432506,1606.1294111219304
228,299,348,44246.853722009575,7374.761724600074
229,2861,21,44104.592227041656,7882.637088585885
230,2323,68,44040.5877485198,4306.044850985839
231,2724,289,43878.73412667412,4071.380854547213
232,2891,104,43758.91294163716,7571.004493309225
233,1469,26,43634.33272999798,9445.208928501674
234,2601,143,43617.91156552956,5629.85237172009
235,2590,368,43511.93220644862,14504.060926659338
236,1324,205,43367.92654636324,9070.845239632974
237,1141,22,43319.63768162945,7442.767354800926
238,1501,237,42992.28166464914,3468.870656303844
239,1124,117,42787.63734048774,21393.85950988978
240,2243,240,42644.78632320313,1219.594794778921
241,1028,475,42566.53234695564,8911.693792137703
242,1359,369,42525.54412909827,21262.800078492975
243,1005,47,41309.241683297354,3478.6926283330577
244,1385,15,41150.902670083975,13717.04001206506
245,146,335,41088.20645820175,10272.118856275745
246,370,60,40899.85544887134,4523.131363681046
247,2953,328,40773.41275336483,40773.41275336483
248,1069,269,40573.41925336968,14642.66498842495
249,848,397,40480.690069027056,13493.58935917326
250,1234,140,40079.82341999124,10367.301678260672
251,1692,14,39980.558720513756,7361.916160200304
252,1489,471,39489.516843317804,5612.166054845069
253,760,35,39347.39910483372,3391.7169598321652
254,2023,240,38986.08984011191,1187.6980034200137
255,2993,414,38720.83458525046,19360.597567288787
256,777,83,38615.8652072659,7933.4903110543455
257,2990,78,38480.856239447654,14891.19285160098
258,63,59,38428.44166737998,4477.919858860014
259,2121,424,37967.05344927043,12656.013576825877
260,480,461,37890.36548342844,15102.074169212268
261,1861,406,37478.29756347691,6294.750905738572
262,2062,241,37397.91957110367,2011.1490642438994
263,800,130,36965.49909770782,3801.5856662760625
264,1874,209,36798.86003925732,26889.51983839421
265,600,40,36720.51425217085,18360.254712039205
266,2833,212,36642.86254528602,4532.3223755642175
267,2306,291,36452.30528457808,6783.500866543553
268,2529,260,36395.13930945639,8388.283189565494
269,2212,104,36187.90844832793,6266.870769682228
270,2328,299,35845.729390234366,4246.745956920071
271,2913,280,35630.496012386146,3459.531448742924
272,2426,262,35413.69427818938,1891.046540817384
273,2897,63,35256.39924250101,5067.13878283188
274,1577,317,35087.57630435827,2353.6499649303187
275,67,27,34705.86134627044,4127.18991896847
276,475,47,34351.912330085346,2994.5120188257624
277,1617,187,34206.72581715777,3710.916987423876
278,1480,398,33894.48083950795,11298.345277113986
279,282,132,33846.006915929356,8461.580127647374
280,514,371,33758.092169811796,14690.13248467182
281,1510,115,33736.48711135933,11245.602627908585
282,463,521,33722.609375211716,12998.137399915599
283,2336,409,33676.87292146191,21328.19821434925
284,2161,323,33638.47660837939,6370.249182124207
285,1441,466,33172.82808645178,3772.783510080879
286,1722,195,33146.37420431423,11048.89954037228
287,1198,84,32629.394575347887,10385.312025967407
288,2215,226,32481.66478569661,4328.753283364791
289,221,143,32358.245738804508,5393.079032543976
290,316,23,32354.03587691771,10784.686133355164
291,1305,322,32273.080913898677,9310.097090113057
292,2907,240,32245.403991600568,1132.4585941463074
293,2942,280,32170.964563643225,2810.416856549834
294,2917,176,32036.92264453352,5997.810319626253
295,1599,127,31995.24591211142,6414.554426506111
296,683,262,31631.666816190504,1792.5315387606593
297,1544,9,31330.06407914865,10443.447848314958
298,454,294,31293.475626074178,3254.0079379604304
299,1356,468,31175.075516516976,6948.350399472256
300,2755,68,31122.84865592058,2590.102242114599
301,2866,366,30865.42548445775,15432.728417118953
302,1706,2,30840.92206755631,3961.065776746528
303,808,386,30784.741948549592,10261.587403116398
304,2367,525,30715.04348031996,30715.042778690462
305,1582,492,30696.919898639622,15348.529456197859
306,2631,63,30189.260459669127,4465.295097187613
307,1227,241,30106.00923228074,2008.4859176833943
308,2113,268,30092.00038810324,3756.71929388649
309,1507,114,30017.742937961033,7145.350212867379
310,1251,138,29950.032639764828,3316.523398018515
311,2969,342,29846.746844519308,29846.745984740293
312,932,429,29666.609709641314,29666.609709641314
313,2693,412,29611.905796506646,14805.987593625498
314,2972,146,29413.9296144291,29413.9296144291
315,1434,466,29400.0445763709,2419.175085154857
316,2319,280,29360.547707093392,2806.6268823644277
317,1314,155,29065.944389170323,8856.127747872986
318,921,236,28852.292690434428,3498.431365810032
319,2145,308,28598.870833680343,4836.090307736289
